Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,
LTBQ602,BUILDING,BUILDING,404156.204N,0300659.696E,570.30,34.45,NO,,NO,,
LTBQ603,BUILDING,BUILDING,404142.530N,0300704.426E,716.14,34.45,NO,,NO,,
LTBQ604,BUILDING,BUILDING,404143.348N,0300704.992E,705.79,34.45,NO,,NO,,
LTBQ605,BUILDING,BUILDING,404145.220N,0300659.226E,684.95,34.45,NO,,NO,,
LTBQ606,BUILDING,BUILDING,404151.893N,0300701.547E,608.95,34.45,NO,,NO,,
LTBQ607,BUILDING,BUILDING,404137.370N,0300711.168E,807.75,34.45,NO,,NO,,
LTBQ608,BUILDING,BUILDING,404139.217N,0300716.723E,755.08,34.45,NO,,NO,,
LTBQ609,BUILDING,BUILDING,404141.054N,0300716.254E,731.63,34.45,NO,,NO,,
LTBQ610,BUILDING,BUILDING,404209.734N,0300621.807E,330.77,14.76,NO,,NO,,
LTBQ611,BUILDING,BUILDING,404202.027N,0300617.005E,332.48,14.76,NO,,NO,,
LTBQ612,BUILDING,BUILDING,404202.200N,0300617.239E,344.72,24.60,NO,,NO,,
LTBQ613,BUILDING,BUILDING,404133.992N,0300527.034E,430.56,14.76,NO,,NO,,
LTBQ614,BUILDING,BUILDING,404132.528N,0300522.867E,435.94,14.76,NO,,NO,,
LTBQ615,BUILDING,BUILDING,404130.922N,0300521.716E,445.58,14.76,NO,,NO,,
LTBQ616,BUILDING,BUILDING,404148.298N,0300711.092E,660.24,34.45,NO,,NO,,
LTBQ617,BUILDING,BUILDING,404157.488N,0300715.076E,524.96,34.45,NO,,NO,,
LTBQ618,BUILDING,BUILDING,404158.106N,0300709.909E,546.66,34.45,NO,,NO,,
LTBQ619,BUILDING,BUILDING,404159.028N,0300710.652E,527.70,34.45,NO,,NO,,
LTBQ620,BUILDING,BUILDING,404158.857N,0300711.572E,534.86,44.29,NO,,NO,,
LTBQ621,BUILDING,BUILDING,404159.325N,0300713.104E,512.70,34.45,NO,,NO,,
LTBQ622,BUILDING,BUILDING,404158.877N,0300713.995E,523.01,44.29,NO,,NO,,
LTBQ623,BUILDING,BUILDING,404136.984N,0300653.137E,758.85,34.45,NO,,NO,,
LTBQ624,BUILDING,BUILDING,404148.541N,0300710.310E,660.06,34.45,NO,,NO,,
LTBQ625,BUILDING,BUILDING,404148.965N,0300709.767E,654.19,34.45,NO,,NO,,
LTBQ626,BUILDING,BUILDING,404149.723N,0300709.991E,653.52,44.29,NO,,NO,,
LTBQ627,BUILDING,BUILDING,404150.221N,0300710.858E,632.53,34.45,NO,,NO,,
LTBQ628,BUILDING,BUILDING,404120.513N,0300701.609E,907.88,34.45,NO,,NO,,
LTBQ629,BUILDING,BUILDING,404126.266N,0300516.375E,479.24,14.76,NO,,NO,,
LTBQ630,BUILDING,BUILDING,404128.273N,0300517.608E,459.93,14.76,NO,,NO,,
LTBQ631,BUILDING,BUILDING,404405.276N,0300713.751E,287.08,24.60,NO,,NO,,
LTBQ632,BUILDING,BUILDING,404405.149N,0300712.841E,296.93,34.45,NO,,NO,,
LTBQ633,BUILDING,BUILDING,404407.466N,0300714.226E,287.08,24.60,NO,,NO,,
LTBQ634,PLANT-HOUSE,BUILDING,404214.278N,0300634.485E,332.42,14.76,NO,,NO,,
LTBQ635,PLANT-HOUSE,BUILDING,404139.867N,0300546.431E,401.02,14.76,NO,,NO,,
LTBQ636,BUILDING,BUILDING,404213.616N,0300657.198E,330.99,14.76,NO,,NO,,
LTBQ637,BUILDING,BUILDING,404214.323N,0300647.253E,338.33,14.76,NO,,NO,,
LTBQ638,BUILDING,BUILDING,404210.088N,0300624.206E,339.60,14.76,NO,,NO,,
LTBQ639,BUILDING,BUILDING,404213.671N,0300628.706E,336.59,24.60,NO,,NO,,
LTBQ640,BUILDING,BUILDING,404213.519N,0300629.460E,329.70,14.76,NO,,NO,,
LTBQ641,BUILDING,BUILDING,404214.500N,0300634.390E,330.60,14.76,NO,,NO,,
LTBQ642,BUILDING,BUILDING,404213.493N,0300644.547E,332.14,14.76,NO,,NO,,
LTBQ643,BUILDING,BUILDING,404213.356N,0300642.454E,336.72,14.76,NO,,NO,,
LTBQ644,BUILDING,BUILDING,404210.169N,0300622.163E,329.12,14.76,NO,,NO,,
LTBQ645,BUILDING,BUILDING,404201.221N,0300614.420E,341.15,14.76,NO,,NO,,
LTBQ646,BUILDING,BUILDING,404201.473N,0300614.906E,337.78,14.76,NO,,NO,,
LTBQ647,BUILDING,BUILDING,404201.299N,0300614.870E,339.70,14.76,NO,,NO,,
LTBQ648,BUILDING,BUILDING,404201.181N,0300615.336E,342.10,14.76,NO,,NO,,
LTBQ649,BUILDING,BUILDING,404200.866N,0300612.761E,339.10,14.76,NO,,NO,,
LTBQ650,BUILDING,BUILDING,404200.518N,0300610.634E,332.01,14.76,NO,,NO,,
LTBQ651,BUILDING,BUILDING,404118.536N,0300450.659E,524.40,14.76,NO,,NO,,
LTBQ652,BUILDING,BUILDING,404127.463N,0300431.052E,494.13,14.76,NO,,NO,,
LTBQ653,BUILDING,BUILDING,404118.693N,0300449.135E,529.09,14.76,NO,,NO,,
LTBQ654,BUILDING,BUILDING,404128.162N,0300434.186E,480.37,14.76,NO,,NO,,
LTBQ655,BUILDING,BUILDING,404123.123N,0300439.967E,506.63,14.76,NO,,NO,,
LTBQ656,BUILDING,BUILDING,404127.619N,0300436.151E,485.04,14.76,NO,,NO,,
LTBQ657,BUILDING,BUILDING,404128.128N,0300436.249E,481.14,14.76,NO,,NO,,
LTBQ658,BUILDING,BUILDING,404118.694N,0300449.584E,525.95,14.76,NO,,NO,,
LTBQ659,BUILDING,BUILDING,404118.550N,0300448.399E,536.09,14.76,NO,,NO,,
LTBQ660,BUILDING,BUILDING,404137.652N,0300540.732E,404.74,14.76,NO,,NO,,
LTBQ661,BUILDING,BUILDING,404139.287N,0300540.068E,395.15,24.60,NO,,NO,,
LTBQ662,BUILDING,BUILDING,404140.422N,0300546.635E,395.94,14.76,NO,,NO,,
LTBQ663,BUILDING,BUILDING,404155.418N,0300558.095E,329.07,14.76,NO,,NO,,
LTBQ664,BUILDING,BUILDING,404151.563N,0300554.651E,339.43,14.76,NO,,NO,,
LTBQ665,BUILDING,BUILDING,404150.928N,0300553.870E,336.37,14.76,NO,,NO,,
LTBQ666,BUILDING,BUILDING,404150.815N,0300554.298E,340.77,14.76,NO,,NO,,
LTBQ667,BUILDING,BUILDING,404137.608N,0300540.574E,404.02,14.76,NO,,NO,,
LTBQ668,BUILDING,BUILDING,404155.896N,0300600.769E,334.91,14.76,NO,,NO,,
LTBQ669,BUILDING,BUILDING,404150.905N,0300554.218E,338.57,14.76,NO,,NO,,
LTBQ670,BUILDING,BUILDING,404154.052N,0300557.672E,340.54,14.76,NO,,NO,,
LTBQ671,BUILDING,BUILDING,404155.403N,0300559.274E,333.78,14.76,NO,,NO,,
LTBQ672,BUILDING,BUILDING,404155.483N,0300558.201E,330.03,14.76,NO,,NO,,
LTBQ673,BUILDING,BUILDING,404149.180N,0300554.771E,342.86,14.76,NO,,NO,,
LTBQ674,BUILDING,BUILDING,404148.716N,0300556.300E,349.86,14.76,NO,,NO,,
LTBQ675,BUILDING,BUILDING,404154.854N,0300559.295E,339.26,14.76,NO,,NO,,
LTBQ676,BUILDING,BUILDING,404144.934N,0300548.687E,361.46,14.76,NO,,NO,,
LTBQ677,BUILDING,BUILDING,404136.597N,0300540.696E,412.04,14.76,NO,,NO,,
LTBQ678,BUILDING,BUILDING,404137.007N,0300540.647E,408.48,14.76,NO,,NO,,
LTBQ679,BUILDING,BUILDING,404129.103N,0300518.264E,462.67,24.60,NO,,NO,,
LTBQ680,BUILDING,BUILDING,404128.486N,0300517.607E,457.73,14.76,NO,,NO,,
LTBQ681,BUILDING,BUILDING,404134.081N,0300533.820E,434.92,24.60,NO,,NO,,
LTBQ682,BUILDING,BUILDING,404128.824N,0300518.056E,456.03,14.76,NO,,NO,,
LTBQ683,BUILDING,BUILDING,404156.022N,0300600.148E,331.29,14.76,NO,,NO,,
LTBQ684,BUILDING,BUILDING,404157.066N,0300604.861E,334.20,14.76,NO,,NO,,
LTBQ685,BUILDING,BUILDING,404157.337N,0300605.688E,332.26,14.76,NO,,NO,,
LTBQ686,BUILDING,BUILDING,404134.012N,0300534.523E,426.27,14.76,NO,,NO,,
LTBQ687,BUILDING,BUILDING,404134.231N,0300534.556E,423.94,14.76,NO,,NO,,
LTBQ688,BUILDING,BUILDING,404134.317N,0300534.927E,422.91,14.76,NO,,NO,,
LTBQ689,BUILDING,BUILDING,404133.481N,0300535.392E,436.70,14.76,NO,,NO,,
LTBQ690,BUILDING,BUILDING,404157.805N,0300611.092E,340.60,14.76,NO,,NO,,
LTBQ691,BUILDING,BUILDING,404157.270N,0300611.710E,342.86,14.76,NO,,NO,,
LTBQ692,BUILDING,BUILDING,404138.359N,0300642.947E,691.34,34.45,NO,,NO,,
LTBQ693,BUILDING,BUILDING,404158.912N,0300638.281E,503.69,34.45,NO,,NO,,
LTBQ694,BUILDING,BUILDING,404151.504N,0300710.570E,617.23,34.45,NO,,NO,,
LTBQ695,BUILDING,BUILDING,404150.922N,0300712.103E,617.70,34.45,NO,,NO,,
LTBQ696,BUILDING,BUILDING,404124.784N,0300530.082E,578.23,44.29,NO,,NO,,
LTBQ697,BUILDING,BUILDING,404102.962N,0300516.025E,844.52,34.45,NO,,NO,,
LTBQ698,BUILDING,BUILDING,404105.593N,0300510.386E,829.30,34.45,NO,,NO,,
LTBQ699,BUILDING,BUILDING,404059.861N,0300510.323E,982.94,34.45,NO,,NO,,
LTBQ700,BUILDING,BUILDING,404407.051N,0300735.855E,319.89,24.60,NO,,NO,,
LTBQ701,BUILDING,BUILDING,404406.985N,0300735.528E,319.89,24.60,NO,,NO,,
LTBQ702,BUILDING,BUILDING,404407.807N,0300708.608E,285.99,34.45,NO,,NO,,
LTBQ703,BUILDING,BUILDING,404405.734N,0300711.217E,286.77,24.60,NO,,NO,,
LTBQ704,BUILDING,BUILDING,404405.144N,0300710.645E,284.07,24.60,NO,,NO,,
LTBQ705,BUILDING,BUILDING,404405.077N,0300711.123E,285.79,24.60,NO,,NO,,
LTBQ706,BUILDING,BUILDING,404405.169N,0300710.220E,282.67,24.60,NO,,NO,,
LTBQ707,BUILDING,BUILDING,404405.893N,0300709.099E,278.20,24.60,NO,,NO,,
LTBQ708,BUILDING,BUILDING,404404.330N,0300711.499E,296.24,34.45,NO,,NO,,
LTBQ709,BUILDING,BUILDING,404404.410N,0300710.998E,294.58,34.45,NO,,NO,,
LTBQ710,BUILDING,BUILDING,404404.283N,0300712.762E,296.93,34.45,NO,,NO,,
LTBQ711,BUILDING,BUILDING,404403.943N,0300713.426E,287.08,24.60,NO,,NO,,
LTBQ712,BUILDING,BUILDING,404113.049N,0300415.529E,573.64,14.76,NO,,NO,,
LTBQ713,MOSQUE,BUILDING,404406.754N,0300735.128E,329.74,34.45,NO,,NO,,
LTBQ714,BUILDING,BUILDING,404353.678N,0300804.474E,329.74,34.45,NO,,NO,,
LTBQ715,BUILDING,BUILDING,404423.667N,0300808.683E,333.17,24.60,NO,,NO,,
LTBQ716,BUILDING,BUILDING,404423.422N,0300809.502E,341.16,24.60,NO,,NO,,
LTBQ717,BUILDING,BUILDING,404423.940N,0300809.952E,349.01,24.60,NO,,NO,,
LTBQ718,BUILDING,BUILDING,404424.215N,0300809.035E,338.82,24.60,NO,,NO,,
LTBQ719,BUILDING,BUILDING,404424.489N,0300808.123E,328.40,24.60,NO,,NO,,
LTBQ720,BUILDING,BUILDING,404425.261N,0300807.724E,337.24,24.60,NO,,NO,,
LTBQ721,BUILDING,BUILDING,404423.061N,0300918.236E,482.65,34.45,NO,,NO,,
LTBQ722,BUILDING,BUILDING,404422.514N,0300917.013E,465.10,34.45,NO,,NO,,
LTBQ723,BUILDING,BUILDING,404421.282N,0300916.837E,458.25,34.45,NO,,NO,,
LTBQ724,BUILDING,BUILDING,404421.037N,0300916.355E,456.06,34.45,NO,,NO,,
LTBQ725,BUILDING,BUILDING,404420.620N,0300913.070E,441.16,34.45,NO,,NO,,
LTBQ726,BUILDING,BUILDING,404420.273N,0300912.488E,438.20,34.45,NO,,NO,,
LTBQ727,BUILDING,BUILDING,404420.131N,0300910.822E,416.66,24.60,NO,,NO,,
LTBQ728,BUILDING,BUILDING,404418.403N,0300910.143E,412.10,24.60,NO,,NO,,
LTBQ729,BUILDING,BUILDING,404416.143N,0300911.581E,430.75,34.45,NO,,NO,,
LTBQ730,BUILDING,BUILDING,404414.903N,0300910.481E,411.81,24.60,NO,,NO,,
LTBQ731,BUILDING,BUILDING,404415.661N,0300913.377E,424.41,24.60,NO,,NO,,
LTBQ732,BUILDING,BUILDING,404415.824N,0300914.003E,426.85,24.60,NO,,NO,,
LTBQ733,BUILDING,BUILDING,404416.373N,0300914.536E,429.57,24.60,NO,,NO,,
LTBQ734,BUILDING,BUILDING,404416.097N,0300915.037E,427.99,24.60,NO,,NO,,
LTBQ735,BUILDING,BUILDING,404416.943N,0300915.632E,433.85,24.60,NO,,NO,,
LTBQ736,BUILDING,BUILDING,404424.303N,0300917.503E,477.26,34.45,NO,,NO,,
LTBQ737,BUILDING,BUILDING,404406.945N,0300709.793E,291.49,34.45,NO,,NO,,
LTBQ738,BUILDING,BUILDING,404359.749N,0300714.344E,288.93,24.60,NO,,NO,,
LTBQ739,BUILDING,BUILDING,404359.615N,0300715.042E,290.42,24.60,NO,,NO,,
LTBQ740,BUILDING,BUILDING,404400.248N,0300714.992E,291.21,24.60,NO,,NO,,
LTBQ741,BUILDING,BUILDING,404206.922N,0300623.919E,373.31,34.45,NO,,NO,,
LTBQ742,BUILDING,BUILDING,404206.564N,0300625.606E,386.77,34.45,NO,,NO,,
LTBQ743,BUILDING,BUILDING,404150.492N,0300645.482E,613.32,34.45,NO,,NO,,
LTBQ744,BUILDING,BUILDING,404148.572N,0300645.155E,646.14,54.13,NO,,NO,,
LTBQ745,BUILDING,BUILDING,404144.495N,0300554.842E,393.89,24.60,NO,,NO,,
LTBQ746,BUILDING,BUILDING,404344.152N,0300837.334E,336.30,24.60,NO,,NO,,
LTBQ747,MOSQUE,BUILDING,404407.032N,0300735.147E,319.89,24.60,NO,,NO,,
LTBQ748,BUILDING,BUILDING,404343.938N,0300830.542E,328.82,24.60,NO,,NO,,
LTBQ749,BUILDING,BUILDING,404345.110N,0300808.189E,329.74,34.45,NO,,NO,,
LTBQ750,BUILDING,BUILDING,404343.659N,0300803.891E,329.74,34.45,NO,,NO,,
LTBQ751,BUILDING,BUILDING,404342.711N,0300841.761E,336.30,24.60,NO,,NO,,
LTBQ752,BUILDING,BUILDING,404420.837N,0300911.324E,409.59,14.76,NO,,NO,,
LTBQ753,BUILDING,BUILDING,404411.184N,0300840.387E,332.00,14.76,NO,,NO,,
LTBQ754,BUILDING,BUILDING,404420.723N,0300913.940E,446.89,34.45,NO,,NO,,
LTBQ755,BUILDING,BUILDING,404413.331N,0300911.518E,412.23,34.45,NO,,NO,,
LTBQ756,BUILDING,BUILDING,404412.602N,0300831.412E,343.45,24.60,NO,,NO,,
LTBQ757,BUILDING,BUILDING,404428.450N,0300845.313E,458.09,34.45,NO,,NO,,
LTBQ758,BUILDING,BUILDING,404439.753N,0300734.150E,348.52,54.13,NO,,NO,,
LTBQ759,BUILDING,BUILDING,404440.121N,0300733.654E,329.74,34.45,NO,,NO,,
LTBQ760,BUILDING,BUILDING,404440.213N,0300733.851E,329.74,34.45,NO,,NO,,
LTBQ761,BUILDING,BUILDING,404440.293N,0300734.047E,329.74,34.45,NO,,NO,,
LTBQ762,BUILDING,BUILDING,404440.386N,0300733.771E,329.74,34.45,NO,,NO,,
LTBQ763,BUILDING,BUILDING,404411.169N,0300832.687E,363.22,44.29,NO,,NO,,
LTBQ764,BUILDING,BUILDING,404357.097N,0300800.499E,329.74,34.45,NO,,NO,,
LTBQ765,BUILDING,BUILDING,404353.384N,0300805.363E,329.74,34.45,NO,,NO,,
LTBQ766,BUILDING,BUILDING,404545.719N,0300814.892E,410.64,14.76,NO,,NO,,
LTBQ767,BUILDING,BUILDING,404547.445N,0300814.759E,412.05,14.76,NO,,NO,,
LTBQ768,BUILDING,BUILDING,404555.223N,0300815.277E,443.85,34.45,NO,,NO,,
LTBQ769,BUILDING,BUILDING,404547.905N,0300815.201E,425.11,24.60,NO,,NO,,
LTBQ770,BUILDING,BUILDING,404555.291N,0300817.668E,451.61,24.60,NO,,NO,,
LTBQ771,BUILDING,BUILDING,404552.437N,0300817.638E,455.07,24.60,NO,,NO,,
LTBQ772,BUILDING,BUILDING,404548.777N,0300816.173E,431.64,24.60,NO,,NO,,
LTBQ773,BUILDING,BUILDING,404548.296N,0300816.093E,424.65,14.76,NO,,NO,,
LTBQ774,BUILDING,BUILDING,404552.087N,0300820.051E,481.61,34.45,NO,,NO,,
LTBQ775,BUILDING,BUILDING,404554.092N,0300818.445E,451.42,14.76,NO,,NO,,
LTBQ776,BUILDING,BUILDING,404540.679N,0300821.083E,523.64,34.45,NO,,NO,,
LTBQ777,BUILDING,BUILDING,404540.152N,0300821.009E,524.10,34.45,NO,,NO,,
LTBQ778,BUILDING,BUILDING,404537.661N,0300820.117E,521.98,34.45,NO,,NO,,
LTBQ779,BUILDING,BUILDING,404536.494N,0300820.478E,523.30,34.45,NO,,NO,,
LTBQ780,BUILDING,BUILDING,404533.146N,0300823.662E,544.96,34.45,NO,,NO,,
LTBQ781,BUILDING,BUILDING,404532.538N,0300823.709E,547.29,34.45,NO,,NO,,
LTBQ782,BUILDING,BUILDING,404528.156N,0300827.299E,589.96,34.45,NO,,NO,,
LTBQ783,BUILDING,BUILDING,404532.422N,0300828.896E,547.21,34.45,NO,,NO,,
LTBQ784,BUILDING,BUILDING,404535.844N,0300824.279E,552.84,44.29,NO,,NO,,
LTBQ785,BUILDING,BUILDING,404535.125N,0300823.031E,537.74,34.45,NO,,NO,,
LTBQ786,BUILDING,BUILDING,404537.443N,0300823.084E,544.62,34.45,NO,,NO,,
LTBQ787,BUILDING,BUILDING,404530.368N,0300843.396E,690.65,34.45,NO,,NO,,
LTBQ788,BUILDING,BUILDING,404522.007N,0300857.866E,750.65,44.29,NO,,NO,,
LTBQ789,BUILDING,BUILDING,404505.146N,0300950.722E,794.00,34.45,NO,,NO,,
LTBQ790,BUILDING,BUILDING,404505.474N,0300951.825E,780.40,14.76,NO,,NO,,
LTBQ791,BUILDING,BUILDING,404509.727N,0300952.497E,809.63,14.76,NO,,NO,,
LTBQ792,BUILDING,BUILDING,404507.074N,0301000.432E,815.13,14.76,NO,,NO,,
LTBQ793,BUILDING,BUILDING,404447.953N,0300729.597E,341.05,24.60,NO,,NO,,
LTBQ794,BUILDING,BUILDING,404422.865N,0300809.184E,332.12,24.60,NO,,NO,,
LTBQ795,BUILDING,BUILDING,404353.960N,0300804.510E,388.79,93.50,NO,,NO,,
LTBQ796,BUILDING,BUILDING,404417.580N,0300918.230E,420.86,14.76,NO,,NO,,
LTBQ797,BUILDING,BUILDING,404419.386N,0300915.825E,425.76,14.76,NO,,NO,,
LTBQ798,BUILDING,BUILDING,404419.838N,0300921.083E,442.42,24.60,NO,,NO,,
LTBQ799,BUILDING,BUILDING,404437.269N,0300948.483E,559.87,14.76,NO,,NO,,
LTBQ800,BUILDING,BUILDING,404439.907N,0300733.668E,396.37,103.3,NO,,NO,,
LTBQ801,BUILDING,BUILDING,404447.466N,0300733.464E,362.55,34.45,NO,,NO,,
LTBQ802,BUILDING,BUILDING,404441.938N,0300825.507E,524.85,34.45,NO,,NO,,
LTBQ803,BUILDING,BUILDING,404441.767N,0300826.374E,526.60,34.45,NO,,NO,,
LTBQ804,BUILDING,BUILDING,404441.590N,0300827.281E,523.47,34.45,NO,,NO,,
LTBQ805,BUILDING,BUILDING,404441.420N,0300828.145E,517.27,34.45,NO,,NO,,
LTBQ806,BUILDING,BUILDING,404424.992N,0300808.623E,342.31,24.60,NO,,NO,,
LTBQ807,BUILDING,BUILDING,404421.639N,0300814.130E,362.55,34.45,NO,,NO,,
LTBQ808,BUILDING,BUILDING,404418.715N,0300814.342E,335.43,34.45,NO,,NO,,
LTBQ809,BUILDING,BUILDING,404419.575N,0300815.045E,339.94,24.60,NO,,NO,,
LTBQ810,BUILDING,BUILDING,404417.882N,0300838.519E,428.17,34.45,NO,,NO,,
LTBQ811,BUILDING,BUILDING,404418.638N,0300838.282E,428.17,34.45,NO,,NO,,
LTBQ812,BUILDING,BUILDING,404419.197N,0300839.325E,440.62,44.29,NO,,NO,,
LTBQ813,BUILDING,BUILDING,404418.461N,0300839.600E,429.04,34.45,NO,,NO,,
LTBQ814,BUILDING,BUILDING,404417.773N,0300841.603E,438.94,44.29,NO,,NO,,
LTBQ815,BUILDING,BUILDING,404417.145N,0300840.489E,428.17,34.45,NO,,NO,,
LTBQ816,BUILDING,BUILDING,404416.055N,0300840.495E,428.17,34.45,NO,,NO,,
LTBQ817,BUILDING,BUILDING,404416.060N,0300841.123E,438.01,44.29,NO,,NO,,
LTBQ818,BUILDING,BUILDING,404420.270N,0300840.822E,436.53,34.45,NO,,NO,,
LTBQ819,BUILDING,BUILDING,404420.104N,0300841.513E,437.00,34.45,NO,,NO,,
LTBQ820,BUILDING,BUILDING,404420.413N,0300842.384E,439.72,34.45,NO,,NO,,
LTBQ821,BUILDING,BUILDING,404421.028N,0300844.853E,439.88,34.45,NO,,NO,,
LTBQ822,BUILDING,BUILDING,404419.419N,0300842.877E,436.28,34.45,NO,,NO,,
LTBQ823,BUILDING,BUILDING,404415.545N,0300841.908E,428.17,34.45,NO,,NO,,
LTBQ824,BUILDING,BUILDING,404421.512N,0300838.921E,419.14,34.45,NO,,NO,,
LTBQ825,BUILDING,BUILDING,404422.071N,0300837.473E,423.42,34.45,NO,,NO,,
LTBQ826,BUILDING,BUILDING,404415.969N,0300839.474E,428.17,34.45,NO,,NO,,
LTBQ827,BUILDING,BUILDING,404431.932N,0300841.696E,460.98,34.45,NO,,NO,,
LTBQ828,BUILDING,BUILDING,404429.950N,0300842.521E,460.98,34.45,NO,,NO,,
LTBQ829,BUILDING,BUILDING,404423.047N,0300839.634E,429.54,34.45,NO,,NO,,
LTBQ830,BUILDING,BUILDING,404430.750N,0300845.505E,460.98,34.45,NO,,NO,,
LTBQ831,BUILDING,BUILDING,404429.807N,0300845.037E,460.98,34.45,NO,,NO,,
LTBQ832,BUILDING,BUILDING,404427.372N,0300845.705E,449.24,34.45,NO,,NO,,
LTBQ833,BUILDING,BUILDING,404426.651N,0300846.155E,444.79,34.45,NO,,NO,,
LTBQ834,BUILDING,BUILDING,404421.832N,0300848.604E,427.99,34.45,NO,,NO,,
LTBQ835,BUILDING,BUILDING,404418.878N,0300846.264E,429.08,34.45,NO,,NO,,
LTBQ836,MINARET,BUILDING,404416.574N,0300839.992E,467.54,73.82,NO,,NO,,
LTBQ837,BUILDING,BUILDING,404418.684N,0300827.009E,404.25,44.29,NO,,NO,,
LTBQ838,BUILDING,BUILDING,404416.257N,0300830.336E,341.51,14.76,NO,,NO,,
LTBQ839,BUILDING,BUILDING,404423.413N,0300825.663E,419.22,34.45,NO,,NO,,
LTBQ840,BUILDING,BUILDING,404419.800N,0300816.320E,354.99,34.45,NO,,NO,,
LTBQ841,BUILDING,BUILDING,404420.334N,0300816.670E,352.70,24.60,NO,,NO,,
LTBQ842,BUILDING,BUILDING,404421.037N,0300818.274E,372.04,34.45,NO,,NO,,
LTBQ843,BUILDING,BUILDING,404419.331N,0300834.008E,395.36,34.45,NO,,NO,,
LTBQ844,BUILDING,BUILDING,404424.152N,0300832.497E,453.63,34.45,NO,,NO,,
LTBQ845,BUILDING,BUILDING,404425.045N,0300831.233E,436.31,34.45,NO,,NO,,
LTBQ846,BUILDING,BUILDING,404424.868N,0300830.567E,428.17,34.45,NO,,NO,,
LTBQ847,BUILDING,BUILDING,404424.758N,0300829.743E,428.17,34.45,NO,,NO,,
LTBQ848,BUILDING,BUILDING,404423.704N,0300829.274E,428.17,34.45,NO,,NO,,
LTBQ849,BUILDING,BUILDING,404415.778N,0300829.878E,336.59,14.76,NO,,NO,,
LTBQ850,BUILDING,BUILDING,404415.420N,0300829.348E,332.83,14.76,NO,,NO,,
LTBQ851,BUILDING,BUILDING,404425.442N,0300832.512E,459.43,34.45,NO,,NO,,
LTBQ852,BUILDING,BUILDING,404420.058N,0300815.384E,347.26,24.60,NO,,NO,,
LTBQ853,BUILDING,BUILDING,404429.819N,0300924.958E,559.41,34.45,NO,,NO,,
LTBQ854,BUILDING,BUILDING,404427.938N,0300926.079E,530.07,34.45,NO,,NO,,
LTBQ855,BUILDING,BUILDING,404426.474N,0300925.852E,519.36,34.45,NO,,NO,,
LTBQ856,BUILDING,BUILDING,404428.251N,0300930.116E,475.16,24.60,NO,,NO,,
LTBQ857,BUILDING,BUILDING,404429.344N,0300931.165E,477.84,24.60,NO,,NO,,
LTBQ858,BUILDING,BUILDING,404419.775N,0300922.517E,454.74,24.60,NO,,NO,,
LTBQ859,BUILDING,BUILDING,404418.800N,0300925.536E,449.44,24.60,NO,,NO,,
LTBQ860,BUILDING,BUILDING,404418.299N,0300923.032E,451.13,24.60,NO,,NO,,
LTBQ861,BUILDING,BUILDING,404417.701N,0300922.731E,451.13,24.60,NO,,NO,,
LTBQ862,BUILDING,BUILDING,404417.227N,0300922.834E,441.29,14.76,NO,,NO,,
LTBQ863,BUILDING,BUILDING,404416.757N,0300922.395E,451.13,24.60,NO,,NO,,
LTBQ864,BUILDING,BUILDING,404416.722N,0300922.894E,451.13,24.60,NO,,NO,,
LTBQ865,BUILDING,BUILDING,404416.331N,0300922.364E,451.13,24.60,NO,,NO,,
LTBQ866,BUILDING,BUILDING,404415.486N,0300922.251E,443.48,24.60,NO,,NO,,
LTBQ867,BUILDING,BUILDING,404420.317N,0300922.492E,459.16,24.60,NO,,NO,,
LTBQ868,BUILDING,BUILDING,404414.949N,0300903.721E,365.25,24.60,NO,,NO,,
LTBQ869,BUILDING,BUILDING,404414.963N,0300907.331E,394.44,24.60,NO,,NO,,
LTBQ870,BUILDING,BUILDING,404426.126N,0300921.040E,520.61,34.45,NO,,NO,,
LTBQ871,BUILDING,BUILDING,404417.524N,0300909.055E,394.89,14.76,NO,,NO,,
LTBQ872,BUILDING,BUILDING,404416.713N,0300908.215E,400.98,24.60,NO,,NO,,
LTBQ873,BUILDING,BUILDING,404416.410N,0300907.046E,391.84,24.60,NO,,NO,,
LTBQ874,BUILDING,BUILDING,404415.433N,0300905.369E,380.61,24.60,NO,,NO,,
LTBQ875,BUILDING,BUILDING,404415.573N,0300909.121E,395.54,14.76,NO,,NO,,
LTBQ876,BUILDING,BUILDING,404415.895N,0300908.991E,395.26,14.76,NO,,NO,,
LTBQ877,BUILDING,BUILDING,404414.979N,0300908.718E,411.50,34.45,NO,,NO,,
LTBQ878,BUILDING,BUILDING,404415.125N,0300915.610E,430.57,34.45,NO,,NO,,
LTBQ879,BUILDING,BUILDING,404417.483N,0300916.240E,424.88,14.76,NO,,NO,,
LTBQ880,BUILDING,BUILDING,404417.919N,0300915.618E,434.73,24.60,NO,,NO,,
LTBQ881,BUILDING,BUILDING,404417.787N,0300921.241E,445.83,24.60,NO,,NO,,
LTBQ882,BUILDING,BUILDING,404417.133N,0300921.219E,457.78,34.45,NO,,NO,,
LTBQ883,BUILDING,BUILDING,404416.563N,0300920.564E,448.73,34.45,NO,,NO,,
LTBQ884,BUILDING,BUILDING,404417.053N,0300920.225E,434.40,24.60,NO,,NO,,
