Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,
LTBQ161,BUILDING,BUILDING,404126.875N,0300329.596E,525.43,14.76,NO,,NO,,
LTBQ162,BUILDING,BUILDING,404126.662N,0300323.431E,516.62,34.45,NO,,NO,,
LTBQ163,BUILDING,BUILDING,404126.578N,0300322.365E,516.08,34.45,NO,,NO,,
LTBQ164,BUILDING,BUILDING,404126.988N,0300328.266E,526.75,24.60,NO,,NO,,
LTBQ165,BUILDING,BUILDING,404127.340N,0300329.262E,542.02,34.45,NO,,NO,,
LTBQ166,BUILDING,BUILDING,404128.020N,0300328.272E,512.95,14.76,NO,,NO,,
LTBQ167,BUILDING,BUILDING,404127.908N,0300319.956E,514.41,44.29,NO,,NO,,
LTBQ168,BUILDING,BUILDING,404128.349N,0300327.869E,508.82,14.76,NO,,NO,,
LTBQ169,BUILDING,BUILDING,404128.706N,0300333.498E,537.65,34.45,NO,,NO,,
LTBQ170,BUILDING,BUILDING,404129.218N,0300330.207E,506.84,14.76,NO,,NO,,
LTBQ171,BUILDING,BUILDING,404129.225N,0300328.599E,504.95,14.76,NO,,NO,,
LTBQ172,BUILDING,BUILDING,404130.136N,0300327.430E,495.97,14.76,NO,,NO,,
LTBQ173,BUILDING,BUILDING,404129.941N,0300325.625E,499.70,24.60,NO,,NO,,
LTBQ174,BUILDING,BUILDING,404130.791N,0300331.951E,494.67,14.76,NO,,NO,,
LTBQ175,BUILDING,BUILDING,404130.457N,0300323.401E,496.03,34.45,NO,,NO,,
LTBQ176,BUILDING,BUILDING,404130.889N,0300329.777E,512.62,34.45,NO,,NO,,
LTBQ177,BUILDING,BUILDING,404130.756N,0300323.851E,497.12,34.45,NO,,NO,,
LTBQ178,BUILDING,BUILDING,404130.686N,0300320.226E,498.63,44.29,NO,,NO,,
LTBQ179,BUILDING,BUILDING,404132.512N,0300333.675E,490.50,24.60,NO,,NO,,
LTBQ180,BUILDING,BUILDING,404132.192N,0300325.830E,488.25,24.60,NO,,NO,,
LTBQ181,BUILDING,BUILDING,404132.497N,0300327.451E,497.69,34.45,NO,,NO,,
LTBQ182,BUILDING,BUILDING,404132.857N,0300324.208E,488.38,34.45,NO,,NO,,
LTBQ183,BUILDING,BUILDING,404133.339N,0300324.846E,485.74,34.45,NO,,NO,,
LTBQ184,BUILDING,BUILDING,404133.809N,0300325.483E,483.56,34.45,NO,,NO,,
LTBQ185,BUILDING,BUILDING,404134.740N,0300322.075E,477.86,44.29,NO,,NO,,
LTBQ186,BUILDING,BUILDING,404135.190N,0300327.959E,470.83,34.45,NO,,NO,,
LTBQ187,BUILDING,BUILDING,404135.939N,0300333.743E,473.40,44.29,NO,,NO,,
LTBQ188,BUILDING,BUILDING,404136.971N,0300331.283E,462.39,44.29,NO,,NO,,
LTBQ189,BUILDING,BUILDING,404352.784N,0300612.553E,227.23,34.45,NO,,NO,,
LTBQ190,BUILDING,BUILDING,404354.383N,0300610.874E,218.36,24.60,NO,,NO,,
LTBQ191,BUILDING,BUILDING,404356.114N,0300612.916E,211.62,14.76,NO,,NO,,
LTBQ192,BUILDING,BUILDING,404354.788N,0300542.141E,221.46,24.60,NO,,NO,,
LTBQ193,BUILDING,BUILDING,404356.397N,0300553.700E,195.21,14.76,NO,,NO,,
LTBQ194,BUILDING,BUILDING,404355.109N,0300512.225E,270.68,24.60,NO,,NO,,
LTBQ195,BUILDING,BUILDING,404357.746N,0300559.567E,206.78,14.76,NO,,NO,,
LTBQ196,BUILDING,BUILDING,404357.499N,0300516.737E,251.04,14.76,NO,,NO,,
LTBQ197,BUILDING,BUILDING,404358.532N,0300508.216E,244.43,14.76,NO,,NO,,
LTBQ198,BUILDING,BUILDING,404358.582N,0300507.288E,244.43,14.76,NO,,NO,,
LTBQ199,BUILDING,BUILDING,404358.696N,0300506.655E,244.43,14.76,NO,,NO,,
LTBQ200,BUILDING,BUILDING,404358.847N,0300508.254E,244.43,14.76,NO,,NO,,
LTBQ201,BUILDING,BUILDING,404358.929N,0300508.950E,244.43,14.76,NO,,NO,,
LTBQ202,BUILDING,BUILDING,404358.909N,0300507.483E,264.12,34.45,NO,,NO,,
LTBQ203,BUILDING,BUILDING,404358.910N,0300507.391E,254.27,24.60,NO,,NO,,
LTBQ204,BUILDING,BUILDING,404359.991N,0300513.012E,231.30,14.76,NO,,NO,,
LTBQ205,BUILDING,BUILDING,404359.603N,0300506.510E,244.43,14.76,NO,,NO,,
LTBQ206,BUILDING,BUILDING,404359.594N,0300506.725E,244.43,14.76,NO,,NO,,
LTBQ207,BUILDING,BUILDING,404405.032N,0300615.793E,238.31,34.45,NO,,NO,,
LTBQ208,BUILDING,BUILDING,404410.283N,0300515.662E,228.02,14.76,NO,,NO,,
LTBQ209,BUILDING,BUILDING,404416.131N,0300355.057E,195.21,14.76,NO,,NO,,
LTBQ210,BUILDING,BUILDING,404416.928N,0300353.423E,195.21,14.76,NO,,NO,,
LTBQ211,BUILDING,BUILDING,404414.903N,0300416.899E,195.21,14.76,NO,,NO,,
LTBQ212,MOSQUE,BUILDING,404134.570N,0300317.132E,484.04,63.97,NO,,NO,,
LTBQ213,MOSQUE,BUILDING,404134.622N,0300317.727E,484.52,63.97,NO,,NO,,
LTBQ214,MOSQUE,BUILDING,404134.673N,0300317.858E,484.68,63.97,NO,,NO,,
LTBQ215,MOSQUE,BUILDING,404134.519N,0300317.464E,485.52,63.97,NO,,NO,,
LTBQ216,MOSQUE,BUILDING,404134.524N,0300316.977E,485.04,63.97,NO,,NO,,
LTBQ217,MOSQUE,BUILDING,404134.683N,0300317.384E,484.20,63.97,NO,,NO,,
LTBQ218,MOSQUE,BUILDING,404134.565N,0300317.619E,484.36,63.97,NO,,NO,,
LTBQ219,MOSQUE,BUILDING,404134.838N,0300317.804E,483.36,63.97,NO,,NO,,
LTBQ220,MOSQUE,BUILDING,404134.411N,0300317.186E,485.20,63.97,NO,,NO,,
LTBQ221,MOSQUE,BUILDING,404134.632N,0300317.254E,484.20,63.97,NO,,NO,,
LTBQ222,MOSQUE,BUILDING,404134.740N,0300317.525E,483.20,63.97,NO,,NO,,
LTBQ223,MOSQUE,BUILDING,404134.457N,0300317.342E,485.36,63.97,NO,,NO,,
LTBQ224,MOSQUE,BUILDING,404134.786N,0300317.674E,483.36,63.97,NO,,NO,,
LTBQ225,MOSQUE,BUILDING,404134.102N,0300317.727E,507.69,83.66,NO,,NO,,
LTBQ226,MINARET,BUILDING,404134.933N,0300317.921E,531.82,113.1,NO,,NO,,
LTBQ227,MINARET,BUILDING,404134.484N,0300316.847E,534.25,113.1,NO,,NO,,
LTBQ228,BUILDING,BUILDING,404130.275N,0300331.522E,509.09,24.60,NO,,NO,,
LTBQ229,BUILDING,BUILDING,404130.843N,0300331.293E,492.74,14.76,NO,,NO,,
LTBQ230,BUILDING,BUILDING,404121.578N,0300323.773E,546.68,24.60,NO,,NO,,
LTBQ231,BUILDING,BUILDING,404122.608N,0300421.150E,523.23,14.76,NO,,NO,,
LTBQ232,BUILDING,BUILDING,404130.510N,0300429.189E,476.54,24.60,NO,,NO,,
LTBQ233,BUILDING,BUILDING,404125.831N,0300425.470E,504.31,14.76,NO,,NO,,
LTBQ234,BUILDING,BUILDING,404124.602N,0300421.475E,514.28,24.60,NO,,NO,,
LTBQ235,BUILDING,BUILDING,404121.824N,0300427.351E,574.08,34.45,NO,,NO,,
LTBQ236,BUILDING,BUILDING,404119.212N,0300430.192E,607.48,44.29,NO,,NO,,
LTBQ237,BUILDING,BUILDING,404119.031N,0300426.469E,598.87,34.45,NO,,NO,,
LTBQ238,BUILDING,BUILDING,404120.872N,0300423.245E,568.95,34.45,NO,,NO,,
LTBQ239,BUILDING,BUILDING,404130.306N,0300342.206E,495.85,34.45,NO,,NO,,
LTBQ240,BUILDING,BUILDING,404115.857N,0300415.409E,549.58,14.76,NO,,NO,,
LTBQ241,BUILDING,BUILDING,404115.961N,0300344.868E,560.18,24.60,NO,,NO,,
LTBQ242,BUILDING,BUILDING,404115.091N,0300344.874E,570.70,24.60,NO,,NO,,
LTBQ243,BUILDING,BUILDING,404128.752N,0300339.917E,515.86,24.60,NO,,NO,,
LTBQ244,BUILDING,BUILDING,404129.317N,0300337.145E,506.92,14.76,NO,,NO,,
LTBQ245,BUILDING,BUILDING,404130.213N,0300337.351E,495.65,14.76,NO,,NO,,
LTBQ246,BUILDING,BUILDING,404128.987N,0300342.307E,506.13,24.60,NO,,NO,,
LTBQ247,BUILDING,BUILDING,404128.706N,0300343.105E,503.68,24.60,NO,,NO,,
LTBQ248,BUILDING,BUILDING,404128.950N,0300343.211E,499.97,24.60,NO,,NO,,
LTBQ249,BUILDING,BUILDING,404128.253N,0300340.815E,517.01,24.60,NO,,NO,,
LTBQ250,BUILDING,BUILDING,404127.890N,0300343.204E,507.36,24.60,NO,,NO,,
LTBQ251,BUILDING,BUILDING,404126.786N,0300342.046E,531.72,34.45,NO,,NO,,
LTBQ252,BUILDING,BUILDING,404127.228N,0300340.554E,519.34,14.76,NO,,NO,,
LTBQ253,BUILDING,BUILDING,404125.792N,0300338.952E,549.56,24.60,NO,,NO,,
LTBQ254,BUILDING,BUILDING,404120.420N,0300421.889E,566.34,34.45,NO,,NO,,
LTBQ255,BUILDING,BUILDING,404120.301N,0300418.664E,546.01,24.60,NO,,NO,,
LTBQ256,BUILDING,BUILDING,404117.073N,0300420.147E,599.05,34.45,NO,,NO,,
LTBQ257,BUILDING,BUILDING,404117.311N,0300422.469E,601.99,34.45,NO,,NO,,
LTBQ258,BUILDING,BUILDING,404116.511N,0300427.893E,620.52,34.45,NO,,NO,,
LTBQ259,BUILDING,BUILDING,404118.130N,0300429.188E,608.52,34.45,NO,,NO,,
LTBQ260,BUILDING,BUILDING,404121.944N,0300419.257E,541.56,34.45,NO,,NO,,
LTBQ261,BUILDING,BUILDING,404118.425N,0300415.810E,555.41,24.60,NO,,NO,,
LTBQ262,BUILDING,BUILDING,404115.189N,0300415.552E,552.03,14.76,NO,,NO,,
LTBQ263,BUILDING,BUILDING,404119.691N,0300422.401E,574.65,34.45,NO,,NO,,
LTBQ264,BUILDING,BUILDING,404140.118N,0300546.640E,399.79,14.76,NO,,NO,,
LTBQ265,BUILDING,BUILDING,404141.204N,0300546.001E,394.89,24.60,NO,,NO,,
LTBQ266,BUILDING,BUILDING,404133.194N,0300525.504E,443.14,14.76,NO,,NO,,
LTBQ267,BUILDING,BUILDING,404157.240N,0300606.020E,354.53,34.45,NO,,NO,,
LTBQ268,BUILDING,BUILDING,404138.146N,0300644.222E,696.91,34.45,NO,,NO,,
LTBQ269,BUILDING,BUILDING,404205.011N,0300635.956E,426.26,34.45,NO,,NO,,
LTBQ270,BUILDING,BUILDING,404202.778N,0300631.487E,435.59,34.45,NO,,NO,,
LTBQ271,BUILDING,BUILDING,404203.153N,0300635.561E,447.97,34.45,NO,,NO,,
LTBQ272,BUILDING,BUILDING,404115.362N,0300503.467E,619.69,34.45,NO,,NO,,
LTBQ273,BUILDING,BUILDING,404127.600N,0300430.172E,511.43,34.45,NO,,NO,,
LTBQ274,BUILDING,BUILDING,404133.437N,0300434.030E,450.71,24.60,NO,,NO,,
LTBQ275,BUILDING,BUILDING,404132.276N,0300522.299E,454.22,34.45,NO,,NO,,
LTBQ276,BUILDING,BUILDING,404132.824N,0300525.451E,456.55,24.60,NO,,NO,,
LTBQ277,BUILDING,BUILDING,404129.166N,0300518.993E,466.47,24.60,NO,,NO,,
LTBQ278,BUILDING,BUILDING,404130.594N,0300519.531E,448.88,24.60,NO,,NO,,
LTBQ279,BUILDING,BUILDING,404126.781N,0300517.023E,488.75,24.60,NO,,NO,,
LTBQ280,BUILDING,BUILDING,404127.125N,0300516.751E,471.60,14.76,NO,,NO,,
LTBQ281,BUILDING,BUILDING,404127.761N,0300516.479E,471.55,24.60,NO,,NO,,
LTBQ282,BUILDING,BUILDING,404128.051N,0300520.891E,506.31,34.45,NO,,NO,,
LTBQ283,BUILDING,BUILDING,404149.215N,0300614.406E,465.28,34.45,NO,,NO,,
LTBQ284,BUILDING,BUILDING,404145.558N,0300614.671E,473.69,34.45,NO,,NO,,
LTBQ285,BUILDING,BUILDING,404112.331N,0300404.142E,577.74,24.60,NO,,NO,,
LTBQ286,BUILDING,BUILDING,404113.836N,0300351.620E,583.56,34.45,NO,,NO,,
LTBQ287,BUILDING,BUILDING,404059.794N,0300352.168E,932.37,34.45,NO,,NO,,
LTBQ288,BUILDING,BUILDING,404113.841N,0300427.943E,648.80,34.45,NO,,NO,,
LTBQ289,BUILDING,BUILDING,404113.195N,0300427.617E,653.83,34.45,NO,,NO,,
LTBQ290,BUILDING,BUILDING,404112.432N,0300422.985E,657.24,34.45,NO,,NO,,
LTBQ291,BUILDING,BUILDING,404127.566N,0300429.793E,492.72,14.76,NO,,NO,,
LTBQ292,BUILDING,BUILDING,404128.148N,0300341.322E,506.91,14.76,NO,,NO,,
LTBQ293,BUILDING,BUILDING,404128.609N,0300340.734E,502.18,14.76,NO,,NO,,
LTBQ294,BUILDING,BUILDING,404127.425N,0300340.592E,517.83,14.76,NO,,NO,,
LTBQ295,BUILDING,BUILDING,404127.556N,0300340.869E,514.85,14.76,NO,,NO,,
LTBQ296,BUILDING,BUILDING,404127.428N,0300341.817E,507.48,14.76,NO,,NO,,
LTBQ297,BUILDING,BUILDING,404126.308N,0300342.362E,513.85,14.76,NO,,NO,,
LTBQ298,BUILDING,BUILDING,404126.200N,0300341.277E,523.95,14.76,NO,,NO,,
LTBQ299,BUILDING,BUILDING,404123.642N,0300338.157E,541.70,14.76,NO,,NO,,
LTBQ300,BUILDING,BUILDING,404127.200N,0300430.070E,495.57,14.76,NO,,NO,,
LTBQ301,BUILDING,BUILDING,404125.399N,0300423.642E,504.84,14.76,NO,,NO,,
LTBQ302,BUILDING,BUILDING,404124.566N,0300422.319E,508.09,14.76,NO,,NO,,
LTBQ303,BUILDING,BUILDING,404124.802N,0300422.245E,506.58,14.76,NO,,NO,,
LTBQ304,BUILDING,BUILDING,404120.111N,0300417.185E,536.03,14.76,NO,,NO,,
LTBQ305,BUILDING,BUILDING,404121.082N,0300419.514E,530.86,14.76,NO,,NO,,
LTBQ306,BUILDING,BUILDING,404122.058N,0300420.317E,525.15,14.76,NO,,NO,,
LTBQ307,BUILDING,BUILDING,404121.750N,0300420.135E,527.42,14.76,NO,,NO,,
LTBQ308,BUILDING,BUILDING,404121.925N,0300420.067E,524.95,14.76,NO,,NO,,
LTBQ309,BUILDING,BUILDING,404122.173N,0300419.954E,523.36,14.76,NO,,NO,,
LTBQ310,BUILDING,BUILDING,404123.905N,0300420.240E,507.14,14.76,NO,,NO,,
LTBQ311,BUILDING,BUILDING,404115.000N,0300415.402E,551.01,14.76,NO,,NO,,
LTBQ312,BUILDING,BUILDING,404112.834N,0300351.053E,589.86,14.76,NO,,NO,,
LTBQ313,BUILDING,BUILDING,404114.137N,0300345.535E,568.87,24.60,NO,,NO,,
LTBQ314,BUILDING,BUILDING,404114.197N,0300344.675E,594.87,34.45,NO,,NO,,
LTBQ315,BUILDING,BUILDING,404200.240N,0300616.078E,373.93,34.45,NO,,NO,,
LTBQ316,BUILDING,BUILDING,404200.771N,0300615.277E,365.54,34.45,NO,,NO,,
LTBQ317,BUILDING,BUILDING,404200.966N,0300614.926E,363.21,34.45,NO,,NO,,
LTBQ318,BUILDING,BUILDING,404201.381N,0300614.522E,358.92,34.45,NO,,NO,,
