Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude ( N ),Longitude ( E ),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,SURVEY_DATE
493579,UTILITY_POLE,POLE,411409.1532N,0284152.5642E,559.5,14.7,NO,,NO,1.07.2021
493580,UTILITY_POLE,POLE,411408.1394N,0284153.1720E,563.5,16.8,NO,,NO,1.07.2021
493581,UTILITY_POLE,POLE,411406.8999N,0284154.0276E,564.3,14.8,NO,,NO,1.07.2021
493582,UTILITY_POLE,POLE,411405.1363N,0284154.9550E,572.0,21.2,NO,,NO,1.07.2021
493583,UTILITY_POLE,POLE,411403.6499N,0284155.6121E,569.6,19.4,NO,,NO,1.07.2021
493584,UTILITY_POLE,POLE,411402.4364N,0284156.0912E,575.2,21.6,NO,,NO,1.07.2021
493585,UTILITY_POLE,POLE,411401.2244N,0284156.8440E,578.4,21.6,NO,,NO,1.07.2021
493587,UTILITY_POLE,POLE,411401.8786N,0284159.0787E,572.4,24.0,NO,,NO,1.07.2021
493588,UTILITY_POLE,POLE,411400.2442N,0284159.6411E,572.4,23.4,NO,,NO,1.07.2021
493589,UTILITY_POLE,POLE,411358.9551N,0284200.3081E,581.7,32.3,NO,,NO,1.07.2021
493590,UTILITY_POLE,POLE,411354.8779N,0284158.4218E,519.7,22.9,NO,,NO,1.07.2021
493591,UTILITY_POLE,POLE,411354.5377N,0284154.5242E,528.1,57.0,NO,,NO,1.07.2021
493592,UTILITY_POLE,POLE,411353.5626N,0284149.5987E,542.5,46.0,NO,,NO,1.07.2021
493593,UTILITY_POLE,POLE,411353.0709N,0284149.9899E,523.4,27.3,NO,,NO,1.07.2021
493594,APRON_LIGHT,POLE,411620.1285N,0284501.6411E,356.8,83.8,NO,,NO,1.07.2021
493597,UTILITY_POLE,POLE,411415.1548N,0284033.5454E,474.9,13.5,NO,,NO,1.07.2021
493598,UTILITY_POLE,POLE,411415.0681N,0284033.2497E,486.0,25.6,NO,,NO,1.07.2021
493599,UTILITY_POLE,POLE,411415.5787N,0284030.7379E,499.5,25.2,NO,,NO,1.07.2021
493600,UTILITY_POLE,POLE,411416.1386N,0284033.5495E,489.0,25.7,NO,,NO,1.07.2021
493601,UTILITY_POLE,POLE,411417.2352N,0284033.6969E,484.3,25.0,NO,,NO,1.07.2021
493602,UTILITY_POLE,POLE,411417.9546N,0284033.8786E,483.2,26.2,NO,,NO,1.07.2021
493603,UTILITY_POLE,POLE,411418.5686N,0284032.6498E,487.7,23.3,NO,,NO,1.07.2021
493604,UTILITY_POLE,POLE,411419.3130N,0284031.3761E,496.1,21.2,NO,,NO,1.07.2021
493605,UTILITY_POLE,POLE,411420.1038N,0284030.2774E,512.4,26.2,NO,,NO,1.07.2021
493606,UTILITY_POLE,POLE,411419.8031N,0284030.2936E,511.5,25.6,NO,,NO,1.07.2021
493607,UTILITY_POLE,POLE,411420.2735N,0284033.1537E,473.7,27.6,NO,,NO,1.07.2021
493625,UTILITY_POLE,POLE,411415.0317N,0284145.7293E,562.9,25.7,NO,,NO,1.07.2021
493635,STREETLIGHT,POLE,411724.4121N,0284604.4654E,312.4,59.4,NO,,NO,1.07.2021
493646,STREETLIGHT,POLE,411727.1340N,0284601.8165E,293.6,62.1,NO,,NO,1.07.2021
493724,STREETLIGHT,POLE,411429.8031N,0284717.5139E,464.4,60.1,NO,,NO,1.07.2021
493774,STREETLIGHT,POLE,411434.1282N,0284659.3099E,449.8,56.4,NO,,NO,1.07.2021
493786,STREETLIGHT,POLE,411436.4751N,0284654.3240E,443.1,49.4,NO,,NO,1.07.2021
493788,STREETLIGHT,POLE,411437.2011N,0284650.1532E,441.1,49.7,NO,,NO,1.07.2021
493963,UTILITY_POLE,POLE,411349.2711N,0284147.6878E,522.6,26.2,NO,,NO,1.07.2021
493964,UTILITY_POLE,POLE,411349.9953N,0284148.7493E,519.4,23.7,NO,,NO,1.07.2021
493965,UTILITY_POLE,POLE,411350.1653N,0284148.8337E,519.4,23.3,NO,,NO,1.07.2021
493966,UTILITY_POLE,POLE,411348.9782N,0284148.3707E,516.2,25.0,NO,,NO,1.07.2021
493967,UTILITY_POLE,POLE,411347.7403N,0284147.7717E,513.2,25.3,NO,,NO,1.07.2021
493968,UTILITY_POLE,POLE,411347.7001N,0284147.8043E,513.2,26.1,NO,,NO,1.07.2021
493969,UTILITY_POLE,POLE,411346.5437N,0284146.7833E,516.9,30.9,NO,,NO,1.07.2021
493970,UTILITY_POLE,POLE,411346.8855N,0284146.8517E,510.5,23.0,NO,,NO,1.07.2021
493971,UTILITY_POLE,POLE,411346.3237N,0284147.4252E,508.9,26.2,NO,,NO,1.07.2021
493972,UTILITY_POLE,POLE,411345.4015N,0284147.3226E,503.6,25.0,NO,,NO,1.07.2021
493973,UTILITY_POLE,POLE,411344.5442N,0284147.3082E,493.0,20.8,NO,,NO,1.07.2021
493974,UTILITY_POLE,POLE,411342.7511N,0284147.4706E,488.2,24.0,NO,,NO,1.07.2021
493975,UTILITY_POLE,POLE,411342.5716N,0284146.8955E,493.9,28.1,NO,,NO,1.07.2021
494018,UTILITY_POLE,POLE,411350.1152N,0284138.3041E,478.3,28.6,NO,,NO,1.07.2021
494019,UTILITY_POLE,POLE,411349.6887N,0284139.8059E,486.8,26.3,NO,,NO,1.07.2021
494020,UTILITY_POLE,POLE,411349.2875N,0284141.0284E,487.7,18.6,NO,,NO,1.07.2021
494021,UTILITY_POLE,POLE,411348.9197N,0284142.0642E,503.8,25.7,NO,,NO,1.07.2021
494078,UTILITY_POLE,POLE,411346.7438N,0284212.9060E,499.2,19.4,NO,,NO,1.07.2021
494079,UTILITY_POLE,POLE,411346.2402N,0284213.4142E,499.0,20.5,NO,,NO,1.07.2021
494080,UTILITY_POLE,POLE,411345.8988N,0284213.8071E,505.0,29.0,NO,,NO,1.07.2021
494082,UTILITY_POLE,POLE,411344.9388N,0284214.7293E,504.3,28.6,NO,,NO,1.07.2021
