Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT) ,Height (FT),Lighting,Color of Lighting,Group,
LTCC_67,BUILDING,BUILDING,375442.944N,0400849.357E,2481.69,103.35,NO INFO,,NO,
LTCC_68,BUILDING,BUILDING,375441.023N,0400954.912E,2423.29,83.66,NO INFO,,NO,
LTCC_69,BUILDING,BUILDING,375443.194N,0400852.841E,2467.72,93.50,NO INFO,,NO,
LTCC_70,BUILDING,BUILDING,375440.259N,0401014.262E,2405.12,83.66,NO INFO,,NO,
LTCC_71,BUILDING,BUILDING,375442.936N,0400900.161E,2466.34,103.35,NO INFO,,NO,
LTCC_72,BUILDING,BUILDING,375441.259N,0401000.067E,2416.99,83.66,NO INFO,,NO,
LTCC_73,BUILDING,BUILDING,375443.727N,0400851.288E,2470.01,93.50,NO INFO,,NO,
LTCC_74,BUILDING,BUILDING,375443.519N,0400856.699E,2463.06,93.50,NO INFO,,NO,
LTCC_75,BUILDING,BUILDING,375441.235N,0401014.449E,2414.96,93.50,NO INFO,,NO,
LTCC_76,BUILDING,BUILDING,375441.760N,0400958.368E,2419.00,83.66,NO INFO,,NO,
LTCC_77,BUILDING,BUILDING,375444.036N,0400854.965E,2465.55,93.50,NO INFO,,NO,
LTCC_78,BUILDING,BUILDING,375443.324N,0400914.206E,2450.75,93.50,NO INFO,,NO,
LTCC_79,BUILDING,BUILDING,375444.306N,0400849.819E,2472.11,93.50,NO INFO,,NO,
LTCC_80,BUILDING,BUILDING,375442.194N,0400956.658E,2421.13,83.66,NO INFO,,NO,
LTCC_81,BUILDING,BUILDING,375444.112N,0400900.717E,2465.55,103.35,NO INFO,,NO,
LTCC_82,BUILDING,BUILDING,375444.568N,0400853.443E,2468.27,93.50,NO INFO,,NO,
LTCC_83,BUILDING,BUILDING,375443.836N,0400912.914E,2451.84,93.50,NO INFO,,NO,
LTCC_84,BUILDING,BUILDING,375441.732N,0401012.477E,2406.66,83.66,NO INFO,,NO,
LTCC_85,BUILDING,BUILDING,375442.437N,0400955.140E,2422.83,83.66,NO INFO,,NO,
LTCC_86,BUILDING,BUILDING,375445.080N,0400845.573E,2417.36,34.45,NO INFO,,NO,
LTCC_87,BUILDING,BUILDING,375442.134N,0401010.903E,2407.74,83.66,NO INFO,,NO,
LTCC_88,BUILDING,BUILDING,375445.119N,0400851.915E,2470.64,93.50,NO INFO,,NO,
LTCC_89,BUILDING,BUILDING,375444.359N,0400911.603E,2452.85,93.50,NO INFO,,NO,
LTCC_90,BUILDING,BUILDING,375444.911N,0400857.392E,2461.29,93.50,NO INFO,,NO,
LTCC_91,BUILDING,BUILDING,375444.871N,0400910.310E,2453.90,93.50,NO INFO,,NO,
LTCC_92,BUILDING,BUILDING,375445.691N,0400850.429E,2472.11,93.50,NO INFO,,NO,
LTCC_93,BUILDING,BUILDING,375445.239N,0400901.342E,2465.55,103.35,NO INFO,,NO,
LTCC_94,BUILDING,BUILDING,375445.661N,0400855.798E,2464.44,93.50,NO INFO,,NO,
LTCC_95,BUILDING,BUILDING,375445.373N,0400909.005E,2454.99,93.50,NO INFO,,NO,
LTCC_96,BUILDING,BUILDING,375446.204N,0400854.257E,2468.27,93.50,NO INFO,,NO,
LTCC_97,BUILDING,BUILDING,375446.152N,0400857.747E,2459.88,93.50,NO INFO,,NO,
LTCC_98,BUILDING,BUILDING,375445.972N,0400914.257E,2453.74,93.50,NO INFO,,NO,
LTCC_99,BUILDING,BUILDING,375446.525N,0400912.972E,2455.02,93.50,NO INFO,,NO,
LTCC_100,BUILDING,BUILDING,375446.640N,0400909.580E,2455.71,93.50,NO INFO,,NO,
LTCC_101,BUILDING,BUILDING,375447.192N,0400857.961E,2457.35,93.50,NO INFO,,NO,
LTCC_102,BUILDING,BUILDING,375447.419N,0400853.144E,2472.11,93.50,NO INFO,,NO,
LTCC_103,BUILDING,BUILDING,375447.084N,0400911.680E,2455.71,93.50,NO INFO,,NO,
LTCC_104,BUILDING,BUILDING,375447.833N,0400856.634E,2461.02,93.50,NO INFO,,NO,
LTCC_105,BUILDING,BUILDING,375447.975N,0400851.535E,2472.11,93.50,NO INFO,,NO,
LTCC_106,BUILDING,BUILDING,375447.638N,0400910.395E,2455.71,93.50,NO INFO,,NO,
LTCC_107,BUILDING,BUILDING,375448.177N,0400855.184E,2466.73,93.50,NO INFO,,NO,
