Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCP_160,ELECTRICITY MAST,POLE,375002.52N,0383456.73E,2723.02,49.21,NO,,NO,,,,
LTCP_161,ELECTRICITY MAST,POLE,375002.49N,0383455.64E,2724.35,49.21,NO,,NO,,,,
LTCP_162,ELECTRICITY MAST,POLE,374943.90N,0383549.77E,2706.66,49.21,NO,,NO,,,,
LTCP_163,ELECTRICITY MAST,POLE,374958.35N,0383538.77E,2739.47,49.21,NO,,NO,,,,
LTCP_164,ELECTRICITY MAST,POLE,375027.06N,0383521.18E,2742.75,49.21,NO,,NO,,,,
LTCP_165,ELECTRICITY MAST,POLE,374958.96N,0383537.90E,2739.47,49.21,NO,,NO,,,,
LTCP_166,ELECTRICITY MAST,POLE,375016.70N,0383548.03E,2708.27,49.21,NO,,NO,,,,
LTCP_167,ELECTRICITY MAST,POLE,374928.38N,0383507.36E,2706.66,49.21,NO,,NO,,,,
LTCP_168,ELECTRICITY MAST,POLE,375007.06N,0383502.48E,2706.66,49.21,NO,,NO,,,,
LTCP_169,ELECTRICITY MAST,POLE,374948.95N,0383546.04E,2713.87,49.21,NO,,NO,,,,
LTCP_170,LOCALIZER,POLE,374422.17N,0382851.51E,2212.20,7.90,YES,RED,NO,,,,
LTCP_171,GP ANTENNA,ANTENNA,374329.80N,0382741.60E,2233.90,49.30,YES,RED,NO,,,,
LTCP_172,VOR/DME ANTENNA,ANTENNA,374329.00N,0382724.20E,2234.20,16.40,YES,RED,NO,,,,
LTCP_173,LLZ ANTENNA,ANTENNA,374422.00N,0382851.00E,2224.30,6.56,YES,RED,NO,,,,
LTCP_174,DME ANTENNA(GP),ANTENNA,374329.80N,0382741.60E,2221.10,20.70,YES,RED,NO,,,,
LTCP_175,NDB ANTENNA,ANTENNA,374329.00N,0382723.20E,2245.20,49.32,YES,RED,NO,,,,
LTCP_176,HOOK BARRIER STUD,BUILDING,374329.00N,0382724.20E,2222.10,16.40,YES,RED,NO,,,,
LTCP_177,HOOK BARRIER STUD,BUILDING,374329.00N,0382741.00E,2228.20,16.40,YES,RED,NO,,,,
LTCP_178,HOOK BARRIER STUD,BUILDING,374420.00N,0382724.20E,2234.20,16.40,YES,RED,NO,,,,
