Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAN95,BUILDING,BUILDING,380101.562N,0323133.994E,3666.2,34.4,NO INFO,,NO
LTAN96,BUILDING,BUILDING,380101.982N,0323134.304E,3667.3,34.4,NO INFO,,NO
LTAN97,BUILDING,BUILDING,380102.760N,0323134.864E,3666.7,34.4,NO INFO,,NO
LTAN98,BUILDING,BUILDING,380102.520N,0323135.434E,3665.8,34.4,NO INFO,,NO
LTAN99,BUILDING,BUILDING,380103.750N,0323135.222E,3647.1,14.8,NO INFO,,NO
LTAN100,BUILDING,BUILDING,380103.593N,0323138.334E,3731.0,103.3,NO INFO,,NO
LTAN101,BUILDING,BUILDING,380101.389N,0323136.043E,3731.4,103.3,NO INFO,,NO
LTAN102,BUILDING,BUILDING,380100.515N,0323137.770E,3725.3,103.3,NO INFO,,NO
LTAN103,BUILDING,BUILDING,380058.522N,0323136.162E,3650.8,34.4,NO INFO,,NO
LTAN104,BUILDING,BUILDING,380059.463N,0323134.405E,3655.6,34.4,NO INFO,,NO
LTAN105,BUILDING,BUILDING,380057.507N,0323137.288E,3717.3,103.3,NO INFO,,NO
LTAN106,BUILDING,BUILDING,380056.318N,0323134.249E,3644.2,34.4,NO INFO,,NO
LTAN107,BUILDING,BUILDING,380057.154N,0323132.678E,3647.2,34.4,NO INFO,,NO
LTAN108,BUILDING,BUILDING,380055.169N,0323135.436E,3712.2,103.3,NO INFO,,NO
LTAN109,BUILDING,BUILDING,380053.542N,0323130.778E,3717.6,103.3,NO INFO,,NO
LTAN110,BUILDING,BUILDING,380052.261N,0323131.329E,3717.7,103.3,NO INFO,,NO
LTAN111,BUILDING,BUILDING,380052.426N,0323132.959E,3712.6,103.3,NO INFO,,NO
LTAN112,BUILDING,BUILDING,380053.226N,0323134.434E,3623.6,14.8,NO INFO,,NO
LTAN113,BUILDING,BUILDING,380049.973N,0323133.349E,3646.3,34.4,NO INFO,,NO
LTAN114,BUILDING,BUILDING,380049.422N,0323133.404E,3647.3,34.4,NO INFO,,NO
LTAN115,BUILDING,BUILDING,380048.717N,0323133.666E,3647.1,34.4,NO INFO,,NO
LTAN116,BUILDING,BUILDING,380048.239N,0323133.729E,3645.5,34.4,NO INFO,,NO
LTAN117,BUILDING,BUILDING,380048.100N,0323132.241E,3648.3,34.4,NO INFO,,NO
LTAN118,BUILDING,BUILDING,380048.067N,0323131.625E,3649.8,34.4,NO INFO,,NO
LTAN119,BUILDING,BUILDING,380047.935N,0323130.422E,3652.1,34.4,NO INFO,,NO
LTAN120,BUILDING,BUILDING,380048.360N,0323130.395E,3653.7,34.4,NO INFO,,NO
LTAN121,BUILDING,BUILDING,380049.378N,0323130.385E,3656.2,34.4,NO INFO,,NO
LTAN122,BUILDING,BUILDING,380049.875N,0323130.366E,3655.6,34.4,NO INFO,,NO
LTAN123,BUILDING,BUILDING,380049.858N,0323131.569E,3652.0,34.4,NO INFO,,NO
LTAN124,BUILDING,BUILDING,380049.965N,0323132.251E,3649.9,34.4,NO INFO,,NO
LTAN125,BUILDING,BUILDING,380049.677N,0323128.875E,3660.1,34.4,NO INFO,,NO
LTAN126,BUILDING,BUILDING,380049.694N,0323128.239E,3662.0,34.4,NO INFO,,NO
LTAN127,BUILDING,BUILDING,380049.842N,0323126.672E,3666.6,34.4,NO INFO,,NO
LTAN128,BUILDING,BUILDING,380049.415N,0323126.774E,3665.7,34.4,NO INFO,,NO
LTAN129,BUILDING,BUILDING,380048.433N,0323126.816E,3662.4,34.4,NO INFO,,NO
LTAN130,BUILDING,BUILDING,380047.973N,0323126.868E,3660.8,34.4,NO INFO,,NO
LTAN131,BUILDING,BUILDING,380047.096N,0323126.913E,3657.6,34.4,NO INFO,,NO
LTAN132,BUILDING,BUILDING,380046.586N,0323126.983E,3655.5,34.4,NO INFO,,NO
LTAN133,BUILDING,BUILDING,380047.093N,0323128.498E,3653.7,34.4,NO INFO,,NO
LTAN134,BUILDING,BUILDING,380047.143N,0323129.102E,3652.8,34.4,NO INFO,,NO
LTAN135,BUILDING,BUILDING,380048.076N,0323128.947E,3656.0,34.4,NO INFO,,NO
LTAN136,BUILDING,BUILDING,380048.578N,0323128.911E,3657.6,34.4,NO INFO,,NO
LTAN137,BUILDING,BUILDING,380046.807N,0323125.424E,3660.5,34.4,NO INFO,,NO
LTAN138,BUILDING,BUILDING,380047.534N,0323125.323E,3663.0,34.4,NO INFO,,NO
LTAN139,BUILDING,BUILDING,380048.308N,0323125.334E,3665.2,34.4,NO INFO,,NO
LTAN140,BUILDING,BUILDING,380049.066N,0323125.225E,3667.9,34.4,NO INFO,,NO
LTAN141,BUILDING,BUILDING,380049.840N,0323125.236E,3670.6,34.4,NO INFO,,NO
LTAN142,BUILDING,BUILDING,380049.872N,0323123.341E,3675.0,34.4,NO INFO,,NO
LTAN143,BUILDING,BUILDING,380049.219N,0323123.262E,3674.7,34.4,NO INFO,,NO
LTAN144,BUILDING,BUILDING,380048.533N,0323123.380E,3672.4,34.4,NO INFO,,NO
LTAN145,BUILDING,BUILDING,380047.963N,0323123.579E,3669.5,34.4,NO INFO,,NO
LTAN146,BUILDING,BUILDING,380047.275N,0323124.148E,3664.8,34.4,NO INFO,,NO
LTAN147,BUILDING,BUILDING,380045.777N,0323123.976E,3723.7,103.3,NO INFO,,NO
LTAN148,BUILDING,BUILDING,380046.166N,0323122.405E,3724.5,103.3,NO INFO,,NO
LTAN149,BUILDING,BUILDING,380051.959N,0323125.247E,3669.4,34.4,NO INFO,,NO
LTAN150,BUILDING,BUILDING,380051.950N,0323124.281E,3673.4,34.4,NO INFO,,NO
LTAN151,BUILDING,BUILDING,380052.091N,0323123.183E,3676.1,34.4,NO INFO,,NO
LTAN152,BUILDING,BUILDING,380052.878N,0323123.141E,3676.1,34.4,NO INFO,,NO
LTAN153,BUILDING,BUILDING,380053.951N,0323123.341E,3675.8,34.4,NO INFO,,NO
LTAN154,BUILDING,BUILDING,380054.719N,0323123.879E,3668.7,34.4,NO INFO,,NO
LTAN155,BUILDING,BUILDING,380055.354N,0323124.290E,3662.8,34.4,NO INFO,,NO
LTAN156,BUILDING,BUILDING,380054.724N,0323125.807E,3662.1,34.4,NO INFO,,NO
LTAN157,BUILDING,BUILDING,380052.736N,0323124.428E,3672.8,34.4,NO INFO,,NO
LTAN158,BUILDING,BUILDING,380052.804N,0323126.909E,3663.4,34.4,NO INFO,,NO
LTAN159,BUILDING,BUILDING,380111.753N,0323103.213E,3774.4,103.3,NO INFO,,NO
LTAN160,BUILDING,BUILDING,380110.870N,0323103.384E,3776.5,103.3,NO INFO,,NO
LTAN161,BUILDING,BUILDING,380109.413N,0323103.439E,3775.7,103.3,NO INFO,,NO
LTAN162,BUILDING,BUILDING,380108.270N,0323103.436E,3775.7,103.3,NO INFO,,NO
LTAN163,BUILDING,BUILDING,380106.609N,0323102.831E,3777.5,103.3,NO INFO,,NO
LTAN164,BUILDING,BUILDING,380105.246N,0323102.998E,3775.8,103.3,NO INFO,,NO
LTAN165,BUILDING,BUILDING,380103.748N,0323103.139E,3776.1,103.3,NO INFO,,NO
LTAN166,BUILDING,BUILDING,380102.493N,0323103.271E,3777.8,103.3,NO INFO,,NO
LTAN167,BUILDING,BUILDING,380102.141N,0323105.089E,3771.0,103.3,NO INFO,,NO
