Obstacle_Designator ,AIXM_NAME,Obstacle Type (AIXM),Latitude,Longitude,Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,
LTAW103,TREE,TREE,401607.74N,0362221.91E,3356.26,50.07,NO INFO,,NO,
LTAW104,TREE,TREE,401607.69N,0362221.82E,3352.98,49.30,NO INFO,,NO,
LTAW105,TREE,TREE,401607.85N,0362221.60E,3356.26,56.45,NO INFO,,NO,
LTAW106,TREE,TREE,401607.93N,0362221.42E,3349.70,53.44,NO INFO,,NO,
LTAW107,TREE,TREE,401608.31N,0362220.84E,3349.70,59.97,NO INFO,,NO,
LTAW108,TREE,TREE,401608.51N,0362220.65E,3349.70,61.36,NO INFO,,NO,
LTAW109,TREE,TREE,401608.59N,0362220.74E,3346.42,56.32,NO INFO,,NO,
LTAW110,TREE,TREE,401608.96N,0362222.13E,3336.57,22.63,NO INFO,,NO,
LTAW111,TREE,TREE,401608.18N,0362219.49E,3297.20,41.11,NO INFO,,NO,
LTAW112,TREE,TREE,401608.95N,0362219.99E,3320.17,50.11,NO INFO,,NO,
LTAW113,TREE,TREE,401609.05N,0362220.53E,3310.33,23.74,NO INFO,,NO,
LTAW114,TREE,TREE,401609.62N,0362221.26E,3323.45,24.34,NO INFO,,NO,
LTAW115,TREE,TREE,401609.29N,0362221.75E,3330.01,22.45,NO INFO,,NO,
LTAW116,TREE,TREE,401610.25N,0362221.29E,3320.17,23.57,NO INFO,,NO,
LTAW117,TREE,TREE,401610.55N,0362221.28E,3320.17,25.55,NO INFO,,NO,
LTAW118,TREE,TREE,401610.77N,0362221.38E,3323.45,29.23,NO INFO,,NO,
LTAW119,TREE,TREE,401610.90N,0362221.46E,3320.17,26.24,NO INFO,,NO,
LTAW120,TREE,TREE,401611.09N,0362221.51E,3323.45,30.99,NO INFO,,NO,
LTAW121,TREE,TREE,401611.29N,0362221.61E,3316.89,25.85,NO INFO,,NO,
LTAW122,TREE,TREE,401611.31N,0362222.03E,3323.45,27.57,NO INFO,,NO,
LTAW123,TREE,TREE,401611.36N,0362222.30E,3323.45,22.04,NO INFO,,NO,
LTAW124,TREE,TREE,401611.38N,0362222.62E,3320.17,19.44,NO INFO,,NO,
LTAW125,TREE,TREE,401611.32N,0362223.15E,3326.73,20.36,NO INFO,,NO,
LTAW126,TREE,TREE,401610.52N,0362224.24E,3356.26,28.24,NO INFO,,NO,
LTAW127,TREE,TREE,401610.32N,0362224.36E,3362.82,30.86,NO INFO,,NO,
LTAW128,TREE,TREE,401609.56N,0362224.23E,3369.38,28.75,NO INFO,,NO,
LTAW129,TREE,TREE,401612.33N,0362218.27E,3254.55,33.18,NO INFO,,NO,
LTAW130,TREE,TREE,401604.53N,0362219.83E,3336.57,27.97,NO INFO,,NO,
LTAW131,TREE,TREE,401604.49N,0362219.58E,3326.73,22.10,NO INFO,,NO,
LTAW132,TREE,TREE,401604.40N,0362219.43E,3330.01,26.11,NO INFO,,NO,
LTAW133,TREE,TREE,401604.16N,0362219.07E,3326.73,23.39,NO INFO,,NO,
LTAW134,TREE,TREE,401604.15N,0362218.82E,3323.45,24.82,NO INFO,,NO,
LTAW135,TREE,TREE,401605.15N,0362219.98E,3323.45,27.61,NO INFO,,NO,
LTAW136,TREE,TREE,401605.44N,0362220.19E,3323.45,26.51,NO INFO,,NO,
LTAW137,TREE,TREE,401605.33N,0362218.00E,3307.05,60.12,NO INFO,,NO,
LTAW138,TREE,TREE,401605.67N,0362218.04E,3297.20,57.00,NO INFO,,NO,
LTAW139,TREE,TREE,401605.90N,0362218.07E,3310.33,73.61,NO INFO,,NO,
LTAW140,TREE,TREE,401606.31N,0362218.36E,3300.48,66.24,NO INFO,,NO,
LTAW141,TREE,TREE,401606.53N,0362218.30E,3310.33,78.31,NO INFO,,NO,
LTAW142,TREE,TREE,401606.65N,0362218.41E,3310.33,77.88,NO INFO,,NO,
LTAW143,TREE,TREE,401606.91N,0362218.35E,3297.20,67.72,NO INFO,,NO,
LTAW144,TREE,TREE,401607.19N,0362218.77E,3264.40,26.77,NO INFO,,NO,
LTAW145,TREE,TREE,401608.02N,0362216.26E,3179.10,24.12,NO INFO,,NO,
LTAW146,TREE,TREE,401607.08N,0362214.51E,3149.57,26.18,NO INFO,,NO,
LTAW147,TREE,TREE,401603.77N,0362217.82E,3307.05,24.80,NO INFO,,NO,
LTAW148,TREE,TREE,401603.53N,0362217.23E,3290.64,20.38,NO INFO,,NO,
LTAW149,TREE,TREE,401603.28N,0362246.55E,3507.18,24.20,NO INFO,,NO,
LTAW150,TREE,TREE,401603.70N,0362246.42E,3500.61,21.53,NO INFO,,NO,
LTAW151,TREE,TREE,401603.92N,0362246.00E,3494.05,22.63,NO INFO,,NO,
LTAW152,TREE,TREE,401604.31N,0362246.09E,3497.33,25.91,NO INFO,,NO,
LTAW153,TREE,TREE,401604.69N,0362246.49E,3503.89,27.22,NO INFO,,NO,
LTAW154,TREE,TREE,401604.75N,0362245.54E,3490.77,28.09,NO INFO,,NO,
LTAW155,TREE,TREE,401604.54N,0362245.05E,3487.49,26.58,NO INFO,,NO,
LTAW156,TREE,TREE,401603.53N,0362243.35E,3500.61,25.53,NO INFO,,NO,
LTAW157,TREE,TREE,401604.47N,0362243.10E,3494.05,22.19,NO INFO,,NO,
LTAW158,TREE,TREE,401605.01N,0362242.78E,3500.61,28.17,NO INFO,,NO,
LTAW159,TREE,TREE,401605.60N,0362240.81E,3520.30,29.25,NO INFO,,NO,
LTAW160,TREE,TREE,401608.15N,0362242.62E,3474.37,27.16,NO INFO,,NO,
LTAW161,TREE,TREE,401608.21N,0362245.99E,3477.65,24.22,NO INFO,,NO,
LTAW162,TREE,TREE,401607.75N,0362245.35E,3467.81,22.12,NO INFO,,NO,
LTAW163,TREE,TREE,401607.02N,0362246.39E,3490.77,24.60,NO INFO,,NO,
LTAW164,TREE,TREE,401608.58N,0362246.03E,3477.65,24.62,NO INFO,,NO,
LTAW165,TREE,TREE,401600.66N,0362248.45E,3536.70,22.58,NO INFO,,NO,
LTAW166,TREE,TREE,401602.43N,0362250.82E,3549.83,22.15,NO INFO,,NO,
LTAW167,TREE,TREE,401602.26N,0362246.77E,3517.02,28.14,NO INFO,,NO,
LTAW168,TREE,TREE,401600.63N,0362244.16E,3543.26,58.00,NO INFO,,NO,
LTAW169,TREE,TREE,401601.17N,0362240.90E,3536.70,23.78,NO INFO,,NO,
LTAW170,TREE,TREE,401601.42N,0362241.00E,3533.42,22.13,NO INFO,,NO,
LTAW171,TREE,TREE,401601.75N,0362241.21E,3533.42,25.53,NO INFO,,NO,
LTAW172,TREE,TREE,401601.88N,0362241.63E,3526.86,23.94,NO INFO,,NO,
LTAW173,TREE,TREE,401602.54N,0362243.76E,3500.61,23.67,NO INFO,,NO,
