Obstacle_Designator ,AIXM_NAME,Obstacle Type (AIXM),Latitude,Longitude,Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,
LTAW9931,TREE,TREE,401919.04N,0362550.10E,2017.69,68.26,NO INFO,,NO,
LTAW9932,TREE,TREE,401918.12N,0362549.80E,2017.69,63.91,NO INFO,,NO,
LTAW9933,TREE,TREE,401917.27N,0362549.36E,2024.25,70.20,NO INFO,,NO,
LTAW9934,TREE,TREE,401917.95N,0362550.21E,2020.97,66.35,NO INFO,,NO,
LTAW9935,TREE,TREE,401918.10N,0362551.06E,2030.82,75.98,NO INFO,,NO,
LTAW9936,TREE,TREE,401918.63N,0362551.04E,2037.38,85.22,NO INFO,,NO,
LTAW9937,TREE,TREE,401917.78N,0362551.36E,2030.82,75.06,NO INFO,,NO,
LTAW9938,TREE,TREE,401918.32N,0362552.05E,2024.25,70.08,NO INFO,,NO,
LTAW9939,TREE,TREE,401917.78N,0362552.18E,2017.69,61.71,NO INFO,,NO,
LTAW9940,TREE,TREE,401916.97N,0362551.12E,2011.13,56.12,NO INFO,,NO,
LTAW9941,TREE,TREE,401916.27N,0362551.56E,2014.41,55.76,NO INFO,,NO,
LTAW9942,TREE,TREE,401916.71N,0362552.44E,2020.97,62.33,NO INFO,,NO,
LTAW9943,TREE,TREE,401916.39N,0362552.53E,2004.57,45.90,NO INFO,,NO,
LTAW9944,TREE,TREE,401916.94N,0362553.29E,2030.82,72.70,NO INFO,,NO,
LTAW9945,TREE,TREE,401917.43N,0362552.77E,2014.41,56.94,NO INFO,,NO,
LTAW9946,TREE,TREE,401917.87N,0362552.80E,2027.53,71.66,NO INFO,,NO,
LTAW9947,TREE,TREE,401918.20N,0362552.79E,2027.53,72.51,NO INFO,,NO,
LTAW9948,TREE,TREE,401918.35N,0362552.48E,2027.53,73.37,NO INFO,,NO,
LTAW9949,TREE,TREE,401919.00N,0362552.26E,2030.82,78.94,NO INFO,,NO,
LTAW9950,TREE,TREE,401919.41N,0362552.03E,2024.25,73.93,NO INFO,,NO,
LTAW9951,TREE,TREE,401919.19N,0362552.68E,2017.69,66.37,NO INFO,,NO,
LTAW9952,TREE,TREE,401919.58N,0362553.65E,2024.25,72.73,NO INFO,,NO,
LTAW9953,TREE,TREE,401919.78N,0362553.26E,2014.41,63.65,NO INFO,,NO,
LTAW9954,TREE,TREE,401920.22N,0362552.65E,2017.69,69.30,NO INFO,,NO,
LTAW9955,TREE,TREE,401920.21N,0362551.81E,2020.97,73.12,NO INFO,,NO,
LTAW9956,TREE,TREE,401920.87N,0362553.08E,2027.53,80.16,NO INFO,,NO,
LTAW9957,TREE,TREE,401920.70N,0362551.95E,2030.82,84.38,NO INFO,,NO,
LTAW9958,TREE,TREE,401920.73N,0362552.51E,2037.38,90.56,NO INFO,,NO,
LTAW9959,TREE,TREE,401921.11N,0362552.61E,2020.97,75.17,NO INFO,,NO,
LTAW9960,TREE,TREE,401922.35N,0362551.15E,2020.97,79.94,NO INFO,,NO,
LTAW9961,TREE,TREE,401922.52N,0362551.80E,2011.13,70.48,NO INFO,,NO,
LTAW9962,TREE,TREE,401922.74N,0362553.49E,2020.97,78.44,NO INFO,,NO,
LTAW9963,TREE,TREE,401922.19N,0362553.94E,2007.85,65.33,NO INFO,,NO,
LTAW9964,TREE,TREE,401923.04N,0362556.95E,2024.25,78.58,NO INFO,,NO,
LTAW9965,TREE,TREE,401918.02N,0362554.60E,2027.53,71.71,NO INFO,,NO,
LTAW9966,TREE,TREE,401917.72N,0362554.81E,2030.82,74.01,NO INFO,,NO,
LTAW9967,TREE,TREE,401917.91N,0362554.20E,2027.53,71.75,NO INFO,,NO,
LTAW9968,TREE,TREE,401917.63N,0362554.17E,2027.53,71.56,NO INFO,,NO,
LTAW9969,TREE,TREE,401919.04N,0362554.65E,2004.57,51.60,NO INFO,,NO,
LTAW9970,TREE,TREE,401918.91N,0362556.90E,2007.85,51.11,NO INFO,,NO,
LTAW9971,TREE,TREE,401918.77N,0362557.11E,2011.13,52.76,NO INFO,,NO,
LTAW9972,TREE,TREE,401919.55N,0362557.00E,2007.85,52.12,NO INFO,,NO,
LTAW9973,TREE,TREE,401919.69N,0362556.90E,2011.13,56.33,NO INFO,,NO,
LTAW9974,TREE,TREE,401920.01N,0362556.79E,2007.85,54.48,NO INFO,,NO,
LTAW9975,TREE,TREE,401920.25N,0362556.95E,2007.85,54.15,NO INFO,,NO,
LTAW9976,TREE,TREE,401918.15N,0362557.42E,2007.85,47.21,NO INFO,,NO,
LTAW9977,TREE,TREE,401917.67N,0362557.58E,2004.57,41.51,NO INFO,,NO,
LTAW9978,TREE,TREE,401917.49N,0362557.22E,2004.57,42.59,NO INFO,,NO,
LTAW9979,TREE,TREE,401912.94N,0362545.08E,2017.69,54.32,NO INFO,,NO,
LTAW9980,TREE,TREE,401911.16N,0362545.97E,2011.13,40.57,NO INFO,,NO,
LTAW9981,TREE,TREE,401910.71N,0362546.21E,2007.85,35.37,NO INFO,,NO,
LTAW9982,TREE,TREE,401910.36N,0362546.35E,2007.85,34.40,NO INFO,,NO,
LTAW9983,TREE,TREE,401909.96N,0362547.24E,2040.66,65.33,NO INFO,,NO,
LTAW9984,TREE,TREE,401909.93N,0362548.21E,2060.34,84.31,NO INFO,,NO,
LTAW9985,TREE,TREE,401910.41N,0362548.25E,2057.06,81.93,NO INFO,,NO,
LTAW9986,TREE,TREE,401910.13N,0362548.19E,2063.62,88.05,NO INFO,,NO,
LTAW9987,TREE,TREE,401910.97N,0362548.63E,2053.78,80.77,NO INFO,,NO,
LTAW9988,TREE,TREE,401912.05N,0362548.01E,2050.50,81.53,NO INFO,,NO,
LTAW9989,TREE,TREE,401911.37N,0362548.23E,2047.22,75.72,NO INFO,,NO,
LTAW9990,TREE,TREE,401912.91N,0362548.15E,2030.82,63.07,NO INFO,,NO,
LTAW9991,TREE,TREE,401912.48N,0362547.98E,2040.66,68.91,NO INFO,,NO,
LTAW9992,TREE,TREE,401913.11N,0362547.84E,2024.25,61.27,NO INFO,,NO,
LTAW9993,TREE,TREE,401913.83N,0362547.52E,2043.94,80.84,NO INFO,,NO,
LTAW9994,TREE,TREE,401913.91N,0362547.86E,2047.22,83.73,NO INFO,,NO,
LTAW9995,TREE,TREE,401915.12N,0362548.37E,2040.66,82.01,NO INFO,,NO,
LTAW9996,TREE,TREE,401914.08N,0362548.37E,2043.94,80.62,NO INFO,,NO,
LTAW9997,TREE,TREE,401914.56N,0362549.25E,2053.78,93.50,NO INFO,,NO,
LTAW9998,TREE,TREE,401913.97N,0362549.15E,2034.10,70.08,NO INFO,,NO,
LTAW9999,TREE,TREE,401914.41N,0362549.75E,2057.06,95.30,NO INFO,,NO,
LTAW10000,TREE,TREE,401914.43N,0362550.82E,2053.78,90.53,NO INFO,,NO,
LTAW10001,TREE,TREE,401914.58N,0362552.44E,2030.82,66.26,NO INFO,,NO,
LTAW10002,TREE,TREE,401914.79N,0362552.97E,2030.82,66.62,NO INFO,,NO,
LTAW10003,TREE,TREE,401915.10N,0362553.75E,2020.97,57.04,NO INFO,,NO,
LTAW10004,TREE,TREE,401915.27N,0362554.38E,2027.53,63.12,NO INFO,,NO,
LTAW10005,TREE,TREE,401915.56N,0362554.90E,2030.82,66.04,NO INFO,,NO,
LTAW10006,TREE,TREE,401915.03N,0362555.32E,2020.97,53.86,NO INFO,,NO,
LTAW10007,TREE,TREE,401914.73N,0362555.42E,2030.82,62.71,NO INFO,,NO,
LTAW10008,TREE,TREE,401914.43N,0362555.59E,2037.38,67.86,NO INFO,,NO,
LTAW10009,TREE,TREE,401914.12N,0362555.88E,2020.97,49.74,NO INFO,,NO,
LTAW10010,TREE,TREE,401913.98N,0362555.50E,2030.82,59.76,NO INFO,,NO,
LTAW10011,TREE,TREE,401913.78N,0362554.83E,2017.69,48.26,NO INFO,,NO,
LTAW10012,TREE,TREE,401912.46N,0362554.62E,2007.85,36.17,NO INFO,,NO,
LTAW10013,TREE,TREE,401911.65N,0362555.33E,2020.97,45.95,NO INFO,,NO,
LTAW10014,TREE,TREE,401911.09N,0362553.45E,2037.38,62.32,NO INFO,,NO,
LTAW10015,TREE,TREE,401910.24N,0362552.82E,2007.85,30.62,NO INFO,,NO,
LTAW10016,TREE,TREE,401909.97N,0362557.65E,2034.10,47.39,NO INFO,,NO,
LTAW10017,TREE,TREE,401909.95N,0362557.97E,2043.94,56.51,NO INFO,,NO,
LTAW10018,TREE,TREE,401910.40N,0362556.20E,2020.97,39.55,NO INFO,,NO,
LTAW10019,TREE,TREE,401910.14N,0362555.82E,2007.85,25.74,NO INFO,,NO,
LTAW10020,TREE,TREE,401910.99N,0362555.65E,2011.13,35.20,NO INFO,,NO,
LTAW10021,TREE,TREE,401909.92N,0362554.81E,2007.85,26.36,NO INFO,,NO,
LTAW10022,TREE,TREE,401909.99N,0362555.30E,2004.57,22.67,NO INFO,,NO,
LTAW10023,TREE,TREE,401913.86N,0362556.49E,2004.57,31.92,NO INFO,,NO,
LTAW10024,TREE,TREE,401913.37N,0362557.50E,2017.69,39.37,NO INFO,,NO,
LTAW10025,TREE,TREE,401913.16N,0362557.56E,2020.97,41.72,NO INFO,,NO,
LTAW10026,TREE,TREE,401912.80N,0362557.37E,2027.53,49.63,NO INFO,,NO,
LTAW10027,TREE,TREE,401915.93N,0362557.28E,2017.69,46.32,NO INFO,,NO,
LTAW10028,TREE,TREE,401915.66N,0362557.64E,2024.25,50.96,NO INFO,,NO,
LTAW10029,TREE,TREE,401915.54N,0362557.93E,2030.82,56.10,NO INFO,,NO,
LTAW10030,TREE,TREE,401915.42N,0362558.23E,2017.69,42.52,NO INFO,,NO,
LTAW10031,TREE,TREE,401915.12N,0362558.70E,2020.97,44.69,NO INFO,,NO,
LTAW10032,TREE,TREE,401914.66N,0362558.78E,2007.85,29.01,NO INFO,,NO,
LTAW10033,TREE,TREE,401914.26N,0362559.26E,2017.69,36.82,NO INFO,,NO,
LTAW10034,TREE,TREE,401914.22N,0362559.55E,2017.69,36.86,NO INFO,,NO,
LTAW10035,TREE,TREE,401914.36N,0362559.86E,2007.85,27.97,NO INFO,,NO,
LTAW10036,TREE,TREE,401914.19N,0362600.30E,2007.85,26.52,NO INFO,,NO,
LTAW10037,TREE,TREE,401914.36N,0362600.46E,2011.13,30.66,NO INFO,,NO,
LTAW10038,TREE,TREE,401914.29N,0362600.74E,2004.57,23.23,NO INFO,,NO,
LTAW10039,TREE,TREE,401914.85N,0362601.39E,2050.50,71.35,NO INFO,,NO,
LTAW10040,TREE,TREE,401915.14N,0362601.33E,2053.78,75.16,NO INFO,,NO,
LTAW10041,TREE,TREE,401915.53N,0362601.25E,2040.66,62.38,NO INFO,,NO,
LTAW10042,TREE,TREE,401915.93N,0362601.10E,2027.53,51.17,NO INFO,,NO,
LTAW10043,TREE,TREE,401915.80N,0362601.24E,2011.13,33.66,NO INFO,,NO,
LTAW10044,TREE,TREE,401915.33N,0362601.45E,2050.50,72.09,NO INFO,,NO,
LTAW10045,TREE,TREE,401915.81N,0362603.59E,2014.41,38.44,NO INFO,,NO,
LTAW10046,TREE,TREE,401916.13N,0362603.50E,2011.13,36.17,NO INFO,,NO,
LTAW10047,TREE,TREE,401916.47N,0362603.38E,2027.53,54.34,NO INFO,,NO,
LTAW10048,TREE,TREE,401916.68N,0362603.31E,2030.82,58.46,NO INFO,,NO,
LTAW10049,TREE,TREE,401916.97N,0362603.57E,2043.94,73.18,NO INFO,,NO,
LTAW10050,TREE,TREE,401916.92N,0362603.09E,2034.10,62.44,NO INFO,,NO,
LTAW10051,TREE,TREE,401917.22N,0362603.12E,2024.25,53.93,NO INFO,,NO,
LTAW10052,TREE,TREE,401917.62N,0362602.91E,2020.97,52.46,NO INFO,,NO,
LTAW10053,TREE,TREE,401918.24N,0362602.83E,2007.85,42.29,NO INFO,,NO,
LTAW10054,TREE,TREE,401918.78N,0362602.14E,2030.82,67.96,NO INFO,,NO,
LTAW10055,TREE,TREE,401919.35N,0362602.47E,2007.85,48.31,NO INFO,,NO,
LTAW10056,TREE,TREE,401918.99N,0362602.57E,2020.97,59.22,NO INFO,,NO,
LTAW10057,TREE,TREE,401918.44N,0362600.42E,2034.10,68.94,NO INFO,,NO,
LTAW10058,TREE,TREE,401917.97N,0362600.66E,2017.69,50.41,NO INFO,,NO,
LTAW10059,TREE,TREE,401918.67N,0362601.29E,2034.10,70.46,NO INFO,,NO,
LTAW10060,TREE,TREE,401919.13N,0362600.62E,2011.13,49.96,NO INFO,,NO,
LTAW10061,TREE,TREE,401919.65N,0362600.00E,2007.85,48.04,NO INFO,,NO,
LTAW10062,TREE,TREE,401920.43N,0362602.27E,2011.13,56.19,NO INFO,,NO,
LTAW10063,TREE,TREE,401922.07N,0362559.72E,2034.10,83.55,NO INFO,,NO,
LTAW10064,TREE,TREE,401922.18N,0362600.01E,2034.10,84.45,NO INFO,,NO,
LTAW10065,TREE,TREE,401922.35N,0362600.49E,2034.10,85.00,NO INFO,,NO,
LTAW10066,TREE,TREE,401921.97N,0362601.25E,2024.25,73.71,NO INFO,,NO,
LTAW10067,TREE,TREE,401922.01N,0362601.67E,2024.25,73.96,NO INFO,,NO,
LTAW10068,TREE,TREE,401921.79N,0362602.41E,2011.13,59.96,NO INFO,,NO,
LTAW10069,TREE,TREE,401922.21N,0362602.40E,2011.13,62.27,NO INFO,,NO,
LTAW10070,TREE,TREE,401922.36N,0362602.55E,2011.13,63.21,NO INFO,,NO,
LTAW10071,TREE,TREE,401922.88N,0362602.53E,2011.13,65.58,NO INFO,,NO,
LTAW10072,TREE,TREE,401923.11N,0362602.20E,2007.85,62.93,NO INFO,,NO,
LTAW10073,TREE,TREE,401923.40N,0362602.49E,2004.57,61.37,NO INFO,,NO,
LTAW10074,TREE,TREE,401923.85N,0362602.35E,2007.85,65.62,NO INFO,,NO,
LTAW10075,TREE,TREE,401911.27N,0362601.56E,2017.69,25.98,NO INFO,,NO,
LTAW10076,TREE,TREE,401911.15N,0362601.58E,2020.97,28.87,NO INFO,,NO,
LTAW10077,TREE,TREE,401911.47N,0362602.11E,2014.41,21.82,NO INFO,,NO,
LTAW10078,TREE,TREE,401911.30N,0362602.30E,2020.97,26.96,NO INFO,,NO,
LTAW10079,TREE,TREE,401912.11N,0362603.06E,2020.97,28.96,NO INFO,,NO,
LTAW10080,TREE,TREE,401911.96N,0362603.24E,2020.97,28.05,NO INFO,,NO,
LTAW10081,TREE,TREE,401912.12N,0362603.38E,2020.97,28.86,NO INFO,,NO,
LTAW10082,TREE,TREE,401912.29N,0362603.34E,2024.25,32.70,NO INFO,,NO,
LTAW10083,TREE,TREE,401912.54N,0362603.24E,2030.82,40.02,NO INFO,,NO,
LTAW10084,TREE,TREE,401912.72N,0362603.29E,2024.25,33.96,NO INFO,,NO,
LTAW10085,TREE,TREE,401912.49N,0362603.45E,2020.97,29.76,NO INFO,,NO,
LTAW10086,TREE,TREE,401912.57N,0362603.11E,2024.25,33.75,NO INFO,,NO,
LTAW10087,TREE,TREE,401912.72N,0362602.35E,2004.57,15.41,NO INFO,,NO,
LTAW10088,TREE,TREE,401912.73N,0362601.90E,2014.41,25.55,NO INFO,,NO,
LTAW10089,TREE,TREE,401912.72N,0362601.03E,2007.85,20.39,NO INFO,,NO,
LTAW10090,TREE,TREE,401912.77N,0362601.25E,2011.13,23.50,NO INFO,,NO,
LTAW10091,TREE,TREE,401913.09N,0362601.15E,2014.41,28.00,NO INFO,,NO,
LTAW10092,TREE,TREE,401912.72N,0362600.69E,2011.13,24.12,NO INFO,,NO,
LTAW10093,TREE,TREE,401912.87N,0362600.56E,2011.13,24.98,NO INFO,,NO,
LTAW10094,TREE,TREE,401913.09N,0362600.73E,2007.85,22.10,NO INFO,,NO,
LTAW10095,TREE,TREE,401913.30N,0362601.47E,2004.57,18.31,NO INFO,,NO,
LTAW10096,TREE,TREE,401913.34N,0362602.44E,2011.13,24.30,NO INFO,,NO,
LTAW10097,TREE,TREE,401912.70N,0362600.29E,2007.85,21.51,NO INFO,,NO,
LTAW10098,TREE,TREE,401912.86N,0362559.66E,2004.57,19.57,NO INFO,,NO,
LTAW10099,TREE,TREE,401913.01N,0362559.23E,2004.57,19.58,NO INFO,,NO,
LTAW10100,TREE,TREE,401913.16N,0362559.13E,2004.57,19.70,NO INFO,,NO,
LTAW10101,TREE,TREE,401912.22N,0362600.05E,2004.57,15.54,NO INFO,,NO,
LTAW10102,TREE,TREE,401911.27N,0362600.74E,2017.69,26.23,NO INFO,,NO,
LTAW10103,TREE,TREE,401911.58N,0362601.41E,2004.57,13.14,NO INFO,,NO,
LTAW10104,TREE,TREE,401911.67N,0362601.61E,2004.57,13.15,NO INFO,,NO,
LTAW10105,TREE,TREE,401909.93N,0362603.56E,2017.69,18.80,NO INFO,,NO,
LTAW10106,TREE,TREE,401910.09N,0362603.58E,2014.41,15.64,NO INFO,,NO,
LTAW10107,TREE,TREE,401917.17N,0362622.53E,2007.85,34.87,NO INFO,,NO,
LTAW10108,TREE,TREE,401916.99N,0362621.55E,2004.57,32.65,NO INFO,,NO,
LTAW10109,TREE,TREE,401916.97N,0362622.23E,2004.57,30.13,NO INFO,,NO,
LTAW10110,TREE,TREE,401917.37N,0362621.82E,2014.41,45.08,NO INFO,,NO,
LTAW10111,TREE,TREE,401917.54N,0362621.95E,2004.57,35.82,NO INFO,,NO,
LTAW10112,TREE,TREE,401918.28N,0362621.98E,2024.25,59.28,NO INFO,,NO,
LTAW10113,TREE,TREE,401918.41N,0362622.02E,2024.25,59.75,NO INFO,,NO,
LTAW10114,TREE,TREE,401918.70N,0362621.97E,2017.69,54.96,NO INFO,,NO,
LTAW10115,TREE,TREE,401919.01N,0362621.99E,2011.13,50.11,NO INFO,,NO,
LTAW10116,TREE,TREE,401918.85N,0362621.99E,2017.69,52.44,NO INFO,,NO,
LTAW10117,TREE,TREE,401919.58N,0362621.98E,2017.69,59.15,NO INFO,,NO,
LTAW10118,TREE,TREE,401919.86N,0362621.95E,2011.13,53.95,NO INFO,,NO,
LTAW10119,TREE,TREE,401919.22N,0362621.98E,2004.57,45.17,NO INFO,,NO,
LTAW10120,TREE,TREE,401914.20N,0362621.77E,2027.53,22.53,NO INFO,,NO,
LTAW10121,TREE,TREE,401915.93N,0362618.49E,2011.13,38.78,NO INFO,,NO,
LTAW10122,TREE,TREE,401917.10N,0362618.71E,2004.57,36.32,NO INFO,,NO,
LTAW10123,TREE,TREE,401914.33N,0362621.01E,2007.85,16.53,NO INFO,,NO,
LTAW10124,TREE,TREE,401913.55N,0362620.61E,2027.53,35.82,NO INFO,,NO,
LTAW10125,TREE,TREE,401913.45N,0362620.69E,2017.69,24.82,NO INFO,,NO,
LTAW10126,TREE,TREE,401913.05N,0362620.62E,2017.69,23.71,NO INFO,,NO,
LTAW10127,TREE,TREE,401912.80N,0362620.67E,2024.25,28.73,NO INFO,,NO,
LTAW10128,TREE,TREE,401913.42N,0362620.33E,2007.85,18.30,NO INFO,,NO,
LTAW10129,TREE,TREE,401913.16N,0362620.05E,2011.13,23.54,NO INFO,,NO,
LTAW10130,TREE,TREE,401912.88N,0362620.01E,2014.41,24.87,NO INFO,,NO,
LTAW10131,TREE,TREE,401912.96N,0362619.85E,2011.13,23.64,NO INFO,,NO,
LTAW10132,TREE,TREE,401912.63N,0362619.74E,2014.41,25.00,NO INFO,,NO,
LTAW10133,TREE,TREE,401912.60N,0362619.48E,2017.69,29.69,NO INFO,,NO,
LTAW10134,TREE,TREE,401912.51N,0362619.16E,2007.85,19.33,NO INFO,,NO,
LTAW10135,TREE,TREE,401912.02N,0362618.23E,2050.50,57.17,NO INFO,,NO,
LTAW10136,TREE,TREE,401912.10N,0362618.38E,2053.78,61.03,NO INFO,,NO,
LTAW10137,TREE,TREE,401912.06N,0362618.80E,2004.57,11.04,NO INFO,,NO,
LTAW10138,TREE,TREE,401911.57N,0362618.80E,2017.69,22.66,NO INFO,,NO,
LTAW10139,TREE,TREE,401911.42N,0362618.95E,2014.41,18.65,NO INFO,,NO,
LTAW10140,TREE,TREE,401911.14N,0362618.94E,2040.66,43.33,NO INFO,,NO,
LTAW10141,TREE,TREE,401911.12N,0362619.31E,2014.41,16.65,NO INFO,,NO,
LTAW10142,TREE,TREE,401911.98N,0362620.06E,2020.97,25.61,NO INFO,,NO,
LTAW10143,TREE,TREE,401910.68N,0362618.73E,2020.97,22.65,NO INFO,,NO,
LTAW10144,TREE,TREE,401910.64N,0362619.64E,2027.53,27.78,NO INFO,,NO,
LTAW10145,TREE,TREE,401910.06N,0362619.14E,2034.10,32.77,NO INFO,,NO,
LTAW10146,TREE,TREE,401910.26N,0362618.67E,2037.38,38.21,NO INFO,,NO,
LTAW10147,TREE,TREE,401910.39N,0362618.24E,2020.97,22.42,NO INFO,,NO,
LTAW10148,TREE,TREE,401910.04N,0362618.18E,2017.69,18.11,NO INFO,,NO,
LTAW10149,TREE,TREE,401910.47N,0362619.43E,2014.41,13.74,NO INFO,,NO,
LTAW10150,TREE,TREE,401910.23N,0362619.72E,2014.41,12.30,NO INFO,,NO,
LTAW10151,TREE,TREE,401912.37N,0362619.88E,2017.69,25.03,NO INFO,,NO,
LTAW10152,TREE,TREE,401911.88N,0362616.34E,2011.13,19.18,NO INFO,,NO,
LTAW10153,TREE,TREE,401911.35N,0362615.36E,2004.57,10.44,NO INFO,,NO,
LTAW10154,TREE,TREE,401913.93N,0362617.90E,2004.57,23.29,NO INFO,,NO,
LTAW10155,TREE,TREE,401913.77N,0362616.64E,2007.85,28.49,NO INFO,,NO,
LTAW10156,TREE,TREE,401915.12N,0362616.47E,2047.22,72.98,NO INFO,,NO,
LTAW10157,TREE,TREE,401918.27N,0362618.77E,2004.57,41.30,NO INFO,,NO,
LTAW10158,TREE,TREE,401917.14N,0362616.24E,2007.85,40.97,NO INFO,,NO,
LTAW10159,TREE,TREE,401916.99N,0362615.90E,2037.38,70.18,NO INFO,,NO,
LTAW10160,TREE,TREE,401916.74N,0362615.07E,2050.50,82.35,NO INFO,,NO,
LTAW10161,TREE,TREE,401916.81N,0362614.75E,2050.50,81.99,NO INFO,,NO,
LTAW10162,TREE,TREE,401916.82N,0362614.27E,2040.66,71.02,NO INFO,,NO,
LTAW10163,TREE,TREE,401916.94N,0362613.95E,2047.22,77.94,NO INFO,,NO,
LTAW10164,TREE,TREE,401916.69N,0362612.97E,2047.22,75.45,NO INFO,,NO,
LTAW10165,TREE,TREE,401916.55N,0362612.42E,2047.22,73.81,NO INFO,,NO,
LTAW10166,TREE,TREE,401916.16N,0362611.83E,2063.62,88.73,NO INFO,,NO,
LTAW10167,TREE,TREE,401916.04N,0362611.53E,2060.34,84.99,NO INFO,,NO,
LTAW10168,TREE,TREE,401915.34N,0362611.25E,2057.06,78.50,NO INFO,,NO,
LTAW10169,TREE,TREE,401914.99N,0362611.14E,2050.50,71.45,NO INFO,,NO,
LTAW10170,TREE,TREE,401914.73N,0362610.90E,2053.78,73.75,NO INFO,,NO,
LTAW10171,TREE,TREE,401914.52N,0362610.77E,2050.50,69.62,NO INFO,,NO,
LTAW10172,TREE,TREE,401915.57N,0362611.49E,2050.50,72.57,NO INFO,,NO,
LTAW10173,TREE,TREE,401916.63N,0362613.33E,2050.50,79.13,NO INFO,,NO,
LTAW10174,TREE,TREE,401918.24N,0362614.67E,2007.85,46.73,NO INFO,,NO,
LTAW10175,TREE,TREE,401918.48N,0362612.42E,2014.41,50.74,NO INFO,,NO,
LTAW10176,TREE,TREE,401918.90N,0362612.33E,2007.85,46.14,NO INFO,,NO,
LTAW10177,TREE,TREE,401918.36N,0362610.69E,2007.85,43.57,NO INFO,,NO,
LTAW10178,TREE,TREE,401918.39N,0362611.40E,2014.41,50.32,NO INFO,,NO,
LTAW10179,TREE,TREE,401918.01N,0362611.85E,2004.57,37.94,NO INFO,,NO,
LTAW10180,TREE,TREE,401918.16N,0362612.85E,2004.57,39.33,NO INFO,,NO,
LTAW10181,TREE,TREE,401917.52N,0362612.04E,2004.57,35.69,NO INFO,,NO,
LTAW10182,TREE,TREE,401919.80N,0362614.12E,2017.69,63.17,NO INFO,,NO,
LTAW10183,TREE,TREE,401919.84N,0362613.05E,2011.13,55.32,NO INFO,,NO,
LTAW10184,TREE,TREE,401919.77N,0362612.23E,2020.97,63.67,NO INFO,,NO,
LTAW10185,TREE,TREE,401920.14N,0362614.35E,2004.57,52.19,NO INFO,,NO,
LTAW10186,TREE,TREE,401912.41N,0362617.80E,2070.18,81.28,NO INFO,,NO,
LTAW10187,TREE,TREE,401912.42N,0362617.45E,2070.18,81.43,NO INFO,,NO,
LTAW10188,TREE,TREE,401912.49N,0362617.06E,2020.97,33.01,NO INFO,,NO,
LTAW10189,TREE,TREE,401912.55N,0362616.72E,2063.62,76.18,NO INFO,,NO,
LTAW10190,TREE,TREE,401912.75N,0362615.46E,2014.41,28.31,NO INFO,,NO,
LTAW10191,TREE,TREE,401912.70N,0362615.77E,2011.13,24.82,NO INFO,,NO,
LTAW10192,TREE,TREE,401912.80N,0362615.08E,2024.25,38.32,NO INFO,,NO,
LTAW10193,TREE,TREE,401912.79N,0362614.75E,2017.69,31.70,NO INFO,,NO,
LTAW10194,TREE,TREE,401911.51N,0362614.89E,2040.66,47.72,NO INFO,,NO,
LTAW10195,TREE,TREE,401911.22N,0362615.07E,2004.57,9.67,NO INFO,,NO,
LTAW10196,TREE,TREE,401910.81N,0362615.02E,2004.57,6.84,NO INFO,,NO,
LTAW10197,TREE,TREE,401910.55N,0362614.61E,2004.57,4.81,NO INFO,,NO,
LTAW10198,TREE,TREE,401910.41N,0362614.09E,2017.69,17.09,NO INFO,,NO,
LTAW10199,TREE,TREE,401915.53N,0362603.75E,2017.69,40.70,NO INFO,,NO,
LTAW10200,TREE,TREE,401923.37N,0362603.83E,2007.85,64.69,NO INFO,,NO,
LTAW10201,TREE,TREE,401922.42N,0362603.87E,2014.41,67.81,NO INFO,,NO,
LTAW10202,TREE,TREE,401922.62N,0362603.92E,2007.85,61.96,NO INFO,,NO,
LTAW10203,TREE,TREE,401921.66N,0362606.46E,2011.13,59.91,NO INFO,,NO,
LTAW10204,TREE,TREE,401921.62N,0362606.95E,2011.13,59.31,NO INFO,,NO,
LTAW10205,TREE,TREE,401921.50N,0362608.26E,2014.41,62.73,NO INFO,,NO,
LTAW10206,TREE,TREE,401913.77N,0362606.50E,2043.94,58.76,NO INFO,,NO,
LTAW10207,TREE,TREE,401913.73N,0362606.77E,2050.50,65.07,NO INFO,,NO,
LTAW10208,TREE,TREE,401913.64N,0362605.55E,2024.25,39.28,NO INFO,,NO,
LTAW10209,TREE,TREE,401914.51N,0362605.76E,2004.57,25.30,NO INFO,,NO,
LTAW10210,TREE,TREE,401914.50N,0362605.88E,2004.57,24.82,NO INFO,,NO,
LTAW10211,TREE,TREE,401914.61N,0362606.02E,2004.57,25.42,NO INFO,,NO,
LTAW10212,TREE,TREE,401910.09N,0362605.02E,2030.82,29.03,NO INFO,,NO,
LTAW10213,TREE,TREE,401910.35N,0362604.82E,2020.97,20.58,NO INFO,,NO,
LTAW10214,TREE,TREE,401910.27N,0362604.22E,2017.69,17.55,NO INFO,,NO,
LTAW10215,TREE,TREE,401910.08N,0362605.13E,2024.25,22.17,NO INFO,,NO,
LTAW10216,TREE,TREE,401910.21N,0362604.98E,2030.82,29.54,NO INFO,,NO,
LTAW10217,TREE,TREE,401911.65N,0362604.81E,2011.13,16.28,NO INFO,,NO,
LTAW10218,TREE,TREE,401911.47N,0362604.45E,2014.41,19.50,NO INFO,,NO,
LTAW10219,TREE,TREE,401911.40N,0362604.91E,2004.57,9.02,NO INFO,,NO,
LTAW10220,TREE,TREE,401911.12N,0362606.22E,2004.57,7.19,NO INFO,,NO,
