Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_62,BUILDING,BUILDING,375222.086N,0301850.725E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_63,BUILDING,BUILDING,375224.290N,0301850.724E,3090.34,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_64,BUILDING,BUILDING,375223.774N,0301850.542E,3090.81,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_65,BUILDING,BUILDING,375222.350N,0301851.462E,3091.90,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_66,BUILDING,BUILDING,375222.017N,0301851.780E,3082.27,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_67,BUILDING,BUILDING,375221.639N,0301851.969E,3083.08,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_68,BUILDING,BUILDING,375221.927N,0301852.007E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_69,BUILDING,BUILDING,375221.839N,0301852.310E,3082.50,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_70,BUILDING,BUILDING,375221.584N,0301852.276E,3083.56,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_71,BUILDING,BUILDING,375222.287N,0301851.995E,3082.03,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_72,BUILDING,BUILDING,375222.332N,0301852.420E,3081.91,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_73,BUILDING,BUILDING,375221.976N,0301852.561E,3082.21,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_74,BUILDING,BUILDING,375222.017N,0301853.121E,3092.41,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_75,BUILDING,BUILDING,375221.602N,0301852.843E,3083.49,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_76,BUILDING,BUILDING,375222.272N,0301854.032E,3082.18,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_77,BUILDING,BUILDING,375222.119N,0301853.724E,3082.45,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_78,BUILDING,BUILDING,375224.900N,0301851.141E,3099.59,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_79,BUILDING,BUILDING,375225.011N,0301852.254E,3089.46,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_80,BUILDING,BUILDING,375224.633N,0301853.177E,3079.93,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_81,BUILDING,BUILDING,375224.623N,0301853.434E,3079.89,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_82,BUILDING,BUILDING,375224.345N,0301853.185E,3080.17,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_83,BUILDING,BUILDING,375224.304N,0301852.879E,3080.23,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_84,BUILDING,BUILDING,375223.981N,0301852.924E,3090.37,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_85,BUILDING,BUILDING,375223.962N,0301852.320E,3080.51,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_86,BUILDING,BUILDING,375224.312N,0301851.720E,3090.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_87,BUILDING,BUILDING,375224.333N,0301852.079E,3090.07,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_88,BUILDING,BUILDING,375223.533N,0301852.581E,3090.67,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_89,BUILDING,BUILDING,375223.681N,0301851.997E,3080.80,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_90,BUILDING,BUILDING,375222.999N,0301851.518E,3081.49,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_91,BUILDING,BUILDING,375223.176N,0301851.703E,3081.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_92,BUILDING,BUILDING,375223.073N,0301851.994E,3091.19,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_93,BUILDING,BUILDING,375223.394N,0301852.177E,3081.02,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_94,BUILDING,BUILDING,375222.949N,0301852.645E,3091.19,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_95,BUILDING,BUILDING,375223.582N,0301853.418E,3090.57,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_96,BUILDING,BUILDING,375224.064N,0301853.850E,3090.05,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_97,BUILDING,BUILDING,375224.375N,0301854.987E,3089.69,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_98,BUILDING,BUILDING,375224.542N,0301854.020E,3079.83,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_99,BUILDING,BUILDING,375224.306N,0301854.089E,3079.90,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_100,BUILDING,BUILDING,375224.081N,0301854.951E,3080.19,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_101,BUILDING,BUILDING,375224.435N,0301854.613E,3079.74,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_102,BUILDING,BUILDING,375224.081N,0301854.529E,3080.15,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_103,BUILDING,BUILDING,375223.731N,0301854.438E,3080.55,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_104,BUILDING,BUILDING,375223.737N,0301854.911E,3080.58,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_105,BUILDING,BUILDING,375223.249N,0301853.304E,3081.07,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_106,BUILDING,BUILDING,375223.455N,0301854.412E,3080.86,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_107,BUILDING,BUILDING,375223.388N,0301854.689E,3080.97,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
