Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_346,LOW VOLTAGE MAST,POLE,375200.385N,0302520.317E,3014.14,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_347,LOW VOLTAGE MAST,POLE,375200.172N,0302522.382E,3015.06,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_348,LOW VOLTAGE MAST,POLE,375200.000N,0302524.423E,3015.06,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_349,LOW VOLTAGE MAST,POLE,375159.801N,0302526.467E,3015.06,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_350,LOW VOLTAGE MAST,POLE,375159.572N,0302528.486E,3018.16,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_351,LOW VOLTAGE MAST,POLE,375159.366N,0302530.772E,3034.73,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_352,LOW VOLTAGE MAST,POLE,375159.210N,0302532.648E,3041.53,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_353,LOW VOLTAGE MAST,POLE,375159.083N,0302534.040E,3046.52,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_354,LOW VOLTAGE MAST,POLE,375158.909N,0302535.365E,3047.88,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_355,LOW VOLTAGE MAST,POLE,375159.901N,0302536.597E,3047.86,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_356,LOW VOLTAGE MAST,POLE,375157.680N,0302535.259E,3053.28,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_357,LOW VOLTAGE MAST,POLE,375156.572N,0302534.608E,3060.80,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_358,LOW VOLTAGE MAST,POLE,375155.417N,0302533.920E,3061.87,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_359,LOW VOLTAGE MAST,POLE,375154.355N,0302533.318E,3056.44,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_360,LOW VOLTAGE MAST,POLE,375152.601N,0302532.290E,3057.20,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_361,LOW VOLTAGE MAST,POLE,375150.841N,0302531.180E,3065.65,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_362,LOW VOLTAGE MAST,POLE,375148.721N,0302529.899E,3076.05,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_363,LOW VOLTAGE MAST,POLE,375147.340N,0302529.048E,3080.82,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_364,LOW VOLTAGE MAST,POLE,375145.566N,0302528.030E,3083.35,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_365,LOW VOLTAGE MAST,POLE,375143.836N,0302526.985E,3081.57,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_366,LOW VOLTAGE MAST,POLE,375140.321N,0302524.905E,3080.67,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_367,LOW VOLTAGE MAST,POLE,375202.234N,0302537.987E,3049.09,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_368,LOW VOLTAGE MAST,POLE,375203.295N,0302538.615E,3054.44,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_369,LOW VOLTAGE MAST,POLE,375204.242N,0302539.236E,3058.29,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_370,LOW VOLTAGE MAST,POLE,375205.487N,0302539.797E,3052.92,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_371,LOW VOLTAGE MAST,POLE,375208.711N,0302541.824E,3055.37,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_372,LOW VOLTAGE MAST,POLE,375210.257N,0302542.742E,3058.49,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_373,MEDIUM VOLTAGE MAST,POLE,375156.758N,0302626.073E,3461.24,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_374,MEDIUM VOLTAGE MAST,POLE,375201.634N,0302653.279E,3392.71,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_375,MEDIUM VOLTAGE MAST,POLE,375202.848N,0302700.313E,3418.82,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_376,HIGH VOLTAGE MAST,POLE,374958.778N,0302353.052E,2993.53,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_377,HIGH VOLTAGE MAST,POLE,374939.173N,0302346.366E,2980.06,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_378,HIGH VOLTAGE MAST,POLE,375250.438N,0302428.729E,2994.69,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_379,HIGH VOLTAGE MAST,POLE,375245.524N,0302431.682E,2995.85,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_380,HIGH VOLTAGE MAST,POLE,375241.991N,0302433.644E,2995.28,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_381,HIGH VOLTAGE MAST,POLE,375253.360N,0302422.629E,2994.48,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_382,HIGH VOLTAGE MAST,POLE,375256.190N,0302416.201E,2993.22,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_383,HIGH VOLTAGE MAST,POLE,375258.924N,0302410.276E,2998.68,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_384,HIGH VOLTAGE MAST,POLE,375301.015N,0302405.572E,3005.87,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_385,HIGH VOLTAGE MAST,POLE,375303.232N,0302400.730E,3010.66,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_386,HIGH VOLTAGE MAST,POLE,375307.791N,0302351.883E,3011.45,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_387,HIGH VOLTAGE MAST,POLE,375312.062N,0302343.200E,3000.91,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_388,HIGH VOLTAGE MAST,POLE,375315.791N,0302335.690E,3008.23,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_389,HIGH VOLTAGE MAST,POLE,375323.821N,0302325.857E,3050.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_390,HIGH VOLTAGE MAST,POLE,375330.422N,0302317.574E,3078.88,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_391,HIGH VOLTAGE MAST,POLE,375001.535N,0302427.397E,3087.86,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_392,BUILDING,BUILDING,375750.357N,0302952.895E,3536.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_393,BUILDING,BUILDING,375750.201N,0302953.708E,3533.49,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_394,BUILDING,BUILDING,375749.923N,0302954.172E,3529.94,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_395,BUILDING,BUILDING,375750.857N,0302944.038E,3535.36,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_396,BUILDING,BUILDING,375750.647N,0302946.224E,3545.95,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_397,BUILDING,BUILDING,375750.300N,0302946.075E,3542.77,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_398,BUILDING,BUILDING,375749.733N,0302945.951E,3527.61,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_399,LOW VOLTAGE MAST,POLE,375751.808N,0302925.919E,3566.23,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_400,LOW VOLTAGE MAST,POLE,375751.595N,0302929.144E,3569.38,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_401,LOW VOLTAGE MAST,POLE,375751.441N,0302932.914E,3561.90,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_402,LOW VOLTAGE MAST,POLE,375751.077N,0302937.581E,3555.76,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_403,LOW VOLTAGE MAST,POLE,375748.832N,0302940.923E,3547.30,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_404,LOW VOLTAGE MAST,POLE,375746.818N,0302943.984E,3535.09,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_405,HIGH VOLTAGE MAST,POLE,375336.430N,0302310.084E,3092.92,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_406,HIGH VOLTAGE MAST,POLE,375342.218N,0302302.990E,3100.34,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_407,HIGH VOLTAGE MAST,POLE,375347.307N,0302256.520E,3105.54,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_408,GSM MAST,POLE,375355.110N,0302241.602E,3143.30,131.23,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_409,HIGH VOLTAGE MAST,POLE,375347.825N,0302242.752E,3096.54,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_410,HIGH VOLTAGE MAST,POLE,375348.272N,0302228.090E,3084.36,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_411,HIGH VOLTAGE MAST,POLE,375348.744N,0302217.838E,3084.03,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_412,HIGH VOLTAGE MAST,POLE,375349.039N,0302208.859E,3084.59,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_413,HIGH VOLTAGE MAST,POLE,375349.286N,0302200.247E,3095.48,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_414,HIGH VOLTAGE MAST,POLE,375349.657N,0302150.882E,3098.87,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_415,HIGH VOLTAGE MAST,POLE,375350.090N,0302139.772E,3102.18,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_416,HIGH VOLTAGE MAST,POLE,375350.498N,0302127.788E,3106.58,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_417,LOW VOLTAGE MAST,POLE,375353.498N,0302227.769E,3032.47,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_418,LOW VOLTAGE MAST,POLE,375355.806N,0302227.240E,3038.24,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_419,LOW VOLTAGE MAST,POLE,375355.958N,0302231.019E,3040.24,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_420,LOW VOLTAGE MAST,POLE,375356.215N,0302233.769E,3042.17,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_421,LOW VOLTAGE MAST,POLE,375355.917N,0302234.706E,3041.87,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_422,LOW VOLTAGE MAST,POLE,375356.140N,0302235.234E,3042.79,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_423,LOW VOLTAGE MAST,POLE,375355.854N,0302237.631E,3043.81,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_424,LOW VOLTAGE MAST,POLE,375355.862N,0302240.820E,3062.64,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_425,LOW VOLTAGE MAST,POLE,375354.144N,0302241.016E,3058.95,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_426,LOW VOLTAGE MAST,POLE,375358.354N,0302240.978E,3051.80,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_427,LOW VOLTAGE MAST,POLE,375353.802N,0302247.471E,3043.93,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_428,LOW VOLTAGE MAST,POLE,375354.596N,0302247.737E,3045.60,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_429,LOW VOLTAGE MAST,POLE,375353.328N,0302247.335E,3042.94,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_430,LOW VOLTAGE MAST,POLE,375352.851N,0302247.632E,3042.01,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_431,LOW VOLTAGE MAST,POLE,375354.501N,0302251.928E,3049.20,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_432,LOW VOLTAGE MAST,POLE,375353.128N,0302251.096E,3045.66,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_433,LOW VOLTAGE MAST,POLE,375353.189N,0302249.086E,3043.93,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_434,LOW VOLTAGE MAST,POLE,375354.475N,0302256.220E,3052.28,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_435,LOW VOLTAGE MAST,POLE,375353.085N,0302253.147E,3047.91,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_436,LOW VOLTAGE MAST,POLE,375354.410N,0302300.936E,3063.51,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_437,LOW VOLTAGE MAST,POLE,375352.450N,0302304.559E,3064.15,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_438,LOW VOLTAGE MAST,POLE,375353.883N,0302305.046E,3069.64,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_439,LOW VOLTAGE MAST,POLE,375354.467N,0302306.125E,3072.59,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_440,LOW VOLTAGE MAST,POLE,375355.403N,0302305.209E,3074.31,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_441,LOW VOLTAGE MAST,POLE,375356.081N,0302307.394E,3079.93,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_442,LOW VOLTAGE MAST,POLE,375356.353N,0302306.436E,3079.21,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_443,LOW VOLTAGE MAST,POLE,375358.285N,0302306.702E,3085.19,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_444,LOW VOLTAGE MAST,POLE,375358.438N,0302305.899E,3084.61,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_445,LOW VOLTAGE MAST,POLE,375356.478N,0302305.596E,3078.37,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_446,LOW VOLTAGE MAST,POLE,375356.475N,0302310.409E,3085.78,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_447,LOW VOLTAGE MAST,POLE,375355.808N,0302312.650E,3086.49,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_448,LOW VOLTAGE MAST,POLE,375355.536N,0302317.745E,3091.63,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_449,LOW VOLTAGE MAST,POLE,375355.309N,0302321.070E,3095.54,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_450,LOW VOLTAGE MAST,POLE,375355.073N,0302132.930E,3049.55,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_451,LOW VOLTAGE MAST,POLE,375354.960N,0302137.073E,3047.97,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_452,LOW VOLTAGE MAST,POLE,375354.838N,0302141.189E,3046.77,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_453,LOW VOLTAGE MAST,POLE,375354.702N,0302145.300E,3045.34,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_454,LOW VOLTAGE MAST,POLE,375354.592N,0302149.451E,3044.98,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_455,LOW VOLTAGE MAST,POLE,375354.493N,0302153.507E,3044.99,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_456,LOW VOLTAGE MAST,POLE,375354.368N,0302157.719E,3043.02,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_457,LOW VOLTAGE MAST,POLE,375354.239N,0302201.885E,3039.91,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_458,LOW VOLTAGE MAST,POLE,375354.096N,0302205.987E,3034.35,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_459,LOW VOLTAGE MAST,POLE,375354.019N,0302210.252E,3029.18,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_460,LOW VOLTAGE MAST,POLE,375353.872N,0302214.101E,3028.46,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_461,LOW VOLTAGE MAST,POLE,375353.742N,0302218.565E,3031.08,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_462,LOW VOLTAGE MAST,POLE,375353.595N,0302223.222E,3031.43,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_463,LOW VOLTAGE MAST,POLE,375355.185N,0302128.554E,3050.78,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_464,LOW VOLTAGE MAST,POLE,375355.286N,0302124.557E,3051.12,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_465,LOW VOLTAGE MAST,POLE,375355.382N,0302120.420E,3051.09,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_466,LOW VOLTAGE MAST,POLE,375355.499N,0302116.247E,3050.67,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_467,HIGH VOLTAGE MAST,POLE,375307.038N,0301958.401E,3076.76,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_468,HIGH VOLTAGE MAST,POLE,375259.850N,0302008.488E,3060.76,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_469,HIGH VOLTAGE MAST,POLE,375251.934N,0302019.815E,3038.17,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_470,HIGH VOLTAGE MAST,POLE,375244.348N,0302030.278E,3018.34,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_471,HIGH VOLTAGE MAST,POLE,375236.931N,0302040.559E,3018.34,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_472,HIGH VOLTAGE MAST,POLE,375229.894N,0302050.689E,3013.21,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_473,GSM MAST,POLE,375224.092N,0301923.164E,3116.76,65.62,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_474,MEDIUM VOLTAGE MAST,POLE,375113.773N,0301720.429E,3422.66,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_475,LOW VOLTAGE MAST,POLE,375113.216N,0301720.783E,3438.18,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_476,LOW VOLTAGE MAST,POLE,375113.633N,0301722.308E,3437.62,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_477,LOW VOLTAGE MAST,POLE,375112.314N,0301718.535E,3438.80,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_478,LOW VOLTAGE MAST,POLE,375111.650N,0301716.426E,3440.41,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_479,LOW VOLTAGE MAST,POLE,375114.162N,0301723.964E,3436.51,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_480,LOW VOLTAGE MAST,POLE,375115.509N,0301726.703E,3434.74,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_481,LOW VOLTAGE MAST,POLE,375116.298N,0301728.467E,3433.59,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_482,LOW VOLTAGE MAST,POLE,375117.372N,0301730.678E,3431.68,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_483,LOW VOLTAGE MAST,POLE,375118.525N,0301732.978E,3430.63,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_484,LOW VOLTAGE MAST,POLE,375119.480N,0301735.153E,3428.44,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_485,LOW VOLTAGE MAST,POLE,375120.480N,0301737.293E,3428.44,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_486,LOW VOLTAGE MAST,POLE,375121.502N,0301739.427E,3427.98,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_487,LOW VOLTAGE MAST,POLE,375122.623N,0301741.794E,3417.87,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_488,LOW VOLTAGE MAST,POLE,375124.456N,0301745.694E,3401.57,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_489,LOW VOLTAGE MAST,POLE,375125.431N,0301747.786E,3395.63,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_490,LOW VOLTAGE MAST,POLE,375126.522N,0301750.115E,3395.63,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_491,LOW VOLTAGE MAST,POLE,375127.533N,0301752.158E,3376.43,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_492,LOW VOLTAGE MAST,POLE,375128.523N,0301754.359E,3367.77,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_493,LOW VOLTAGE MAST,POLE,375129.544N,0301756.341E,3364.17,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_494,LOW VOLTAGE MAST,POLE,375130.490N,0301758.497E,3362.78,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_495,LOW VOLTAGE MAST,POLE,375131.452N,0301800.282E,3353.26,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_496,LOW VOLTAGE MAST,POLE,375132.239N,0301802.092E,3346.42,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_497,LOW VOLTAGE MAST,POLE,375133.592N,0301805.095E,3313.61,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_498,LOW VOLTAGE MAST,POLE,375135.573N,0301808.863E,3313.61,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_499,LOW VOLTAGE MAST,POLE,375136.678N,0301811.634E,3313.61,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_500,LOW VOLTAGE MAST,POLE,375137.761N,0301813.958E,3313.61,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_501,LOW VOLTAGE MAST,POLE,375139.006N,0301816.603E,3313.61,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_502,LOW VOLTAGE MAST,POLE,375141.770N,0301822.413E,3343.56,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_503,LOW VOLTAGE MAST,POLE,375142.556N,0301824.146E,3346.32,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_504,LOW VOLTAGE MAST,POLE,375143.507N,0301826.124E,3330.54,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_505,MEDIUM VOLTAGE MAST,POLE,375144.522N,0301825.395E,3312.66,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_506,MEDIUM VOLTAGE MAST,POLE,375144.788N,0301826.241E,3306.05,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_507,LOW VOLTAGE MAST,POLE,375144.496N,0301828.310E,3313.54,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_508,LOW VOLTAGE MAST,POLE,375145.793N,0301831.057E,3280.80,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_509,LOW VOLTAGE MAST,POLE,375147.315N,0301834.244E,3267.86,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_510,LOW VOLTAGE MAST,POLE,375147.949N,0301835.646E,3262.47,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_511,LOW VOLTAGE MAST,POLE,375153.787N,0301847.858E,3198.78,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_512,LOW VOLTAGE MAST,POLE,375151.471N,0301843.089E,3205.03,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
