Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCB232,BUILDING,BUILDING,405608.70N,0380254.32E,1100.98,34.45,NO INFO,,NO,,,,
LTCB233,BUILDING,BUILDING,405608.13N,0380254.07E,1121.76,44.29,NO INFO,,NO,,,,
LTCB234,BUILDING,BUILDING,405608.26N,0380254.72E,1104.36,44.29,NO INFO,,NO,,,,
LTCB235,BUILDING,BUILDING,405607.45N,0380254.53E,1113.25,44.29,NO INFO,,NO,,,,
LTCB236,BUILDING,BUILDING,405606.80N,0380254.72E,1097.85,34.45,NO INFO,,NO,,,,
LTCB237,BUILDING,BUILDING,405606.23N,0380252.29E,1199.37,44.29,NO INFO,,NO,,,,
LTCB238,BUILDING,BUILDING,405605.05N,0380252.57E,1193.69,34.45,NO INFO,,NO,,,,
LTCB239,BUILDING,BUILDING,405603.64N,0380251.43E,1240.95,44.29,NO INFO,,NO,,,,
LTCB240,BUILDING,BUILDING,405602.87N,0380251.52E,1227.66,34.45,NO INFO,,NO,,,,
LTCB241,BUILDING,BUILDING,405602.16N,0380251.08E,1251.29,34.45,NO INFO,,NO,,,,
LTCB242,BUILDING,BUILDING,405559.87N,0380257.77E,1081.48,34.45,NO INFO,,NO,,,,
LTCB243,BUILDING,BUILDING,405556.58N,0380301.45E,1241.12,34.45,NO INFO,,NO,,,,
LTCB244,BUILDING,BUILDING,405555.60N,0380300.63E,1258.92,44.29,NO INFO,,NO,,,,
LTCB245,BUILDING,BUILDING,405554.81N,0380301.57E,1278.79,34.45,NO INFO,,NO,,,,
LTCB246,BUILDING,BUILDING,405555.16N,0380307.33E,1377.90,34.45,NO INFO,,NO,,,,
LTCB247,BUILDING,BUILDING,405554.78N,0380306.38E,1335.83,34.45,NO INFO,,NO,,,,
LTCB248,BUILDING,BUILDING,405555.39N,0380306.09E,1335.67,34.45,NO INFO,,NO,,,,
LTCB249,BUILDING,BUILDING,405552.95N,0380314.84E,1521.86,44.29,NO INFO,,NO,,,,
LTCB250,BUILDING,BUILDING,405559.14N,0380320.41E,1445.40,34.45,NO INFO,,NO,,,,
LTCB251,BUILDING,BUILDING,405557.04N,0380330.85E,1117.42,34.45,NO INFO,,NO,,,,
LTCB252,BUILDING,BUILDING,405556.47N,0380330.66E,1127.90,44.29,NO INFO,,NO,,,,
LTCB253,BUILDING,BUILDING,405555.62N,0380330.00E,1123.04,34.45,NO INFO,,NO,,,,
LTCB254,BUILDING,BUILDING,405553.27N,0380327.73E,1129.53,44.29,NO INFO,,NO,,,,
LTCB255,BUILDING,BUILDING,405553.49N,0380328.31E,1109.97,34.45,NO INFO,,NO,,,,
LTCB256,BUILDING,BUILDING,405714.93N,0380350.97E,843.93,34.45,NO INFO,,NO,,,,
