Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationAtTop(FT),Height(FT),Lighting,ColorOfLighting,Group,,,,,,,,
LTBO89,BUILDING,BUILDING,384108.01N,0292543.47E,3083,34,NO INFO,,NO,,,,,,,,
LTBO90,BUILDING,BUILDING,384107.26N,0292545.70E,3093,44,NO INFO,,NO,,,,,,,,
LTBO91,BUILDING,BUILDING,384107.25N,0292545.35E,3083,34,NO INFO,,NO,,,,,,,,
LTBO92,BUILDING,BUILDING,384107.03N,0292544.40E,3079,34,NO INFO,,NO,,,,,,,,
LTBO93,BUILDING,BUILDING,384106.81N,0292543.38E,3084,44,NO INFO,,NO,,,,,,,,
LTBO94,BUILDING,BUILDING,384107.16N,0292543.37E,3086,44,NO INFO,,NO,,,,,,,,
LTBO95,BUILDING,BUILDING,384107.44N,0292543.17E,3056,15,NO INFO,,NO,,,,,,,,
LTBO96,BUILDING,BUILDING,384110.22N,0292548.69E,3086,34,NO INFO,,NO,,,,,,,,
LTBO97,BUILDING,BUILDING,384110.36N,0292549.20E,3086,34,NO INFO,,NO,,,,,,,,
LTBO98,BUILDING,BUILDING,384110.71N,0292550.27E,3068,25,NO INFO,,NO,,,,,,,,
LTBO99,BUILDING,BUILDING,384109.91N,0292549.75E,3088,44,NO INFO,,NO,,,,,,,,
LTBO100,BUILDING,BUILDING,384110.03N,0292550.65E,3061,25,NO INFO,,NO,,,,,,,,
LTBO101,BUILDING,BUILDING,384109.31N,0292550.45E,3059,25,NO INFO,,NO,,,,,,,,
LTBO102,BUILDING,BUILDING,384109.16N,0292549.98E,3052,15,NO INFO,,NO,,,,,,,,
LTBO103,BUILDING,BUILDING,384110.59N,0292538.80E,3084,34,NO INFO,,NO,,,,,,,,
LTBO104,BUILDING,BUILDING,384108.84N,0292537.11E,3078,34,NO INFO,,NO,,,,,,,,
LTBO105,BUILDING,BUILDING,384109.45N,0292536.53E,3087,34,NO INFO,,NO,,,,,,,,
LTBO106,BUILDING,BUILDING,384109.72N,0292536.26E,3090,34,NO INFO,,NO,,,,,,,,
LTBO107,BUILDING,BUILDING,384108.96N,0292535.74E,3087,34,NO INFO,,NO,,,,,,,,
LTBO108,BUILDING,BUILDING,384111.21N,0292537.41E,3103,44,NO INFO,,NO,,,,,,,,
LTBO109,BUILDING,BUILDING,384111.67N,0292537.02E,3096,34,NO INFO,,NO,,,,,,,,
LTBO110,BUILDING,BUILDING,384111.91N,0292536.74E,3098,34,NO INFO,,NO,,,,,,,,
LTBO111,BUILDING,BUILDING,384112.28N,0292538.36E,3094,34,NO INFO,,NO,,,,,,,,
LTBO112,BUILDING,BUILDING,384111.84N,0292538.75E,3091,34,NO INFO,,NO,,,,,,,,
LTBO113,BUILDING,BUILDING,384111.00N,0292538.31E,3089,34,NO INFO,,NO,,,,,,,,
LTBO114,BUILDING,BUILDING,384111.47N,0292539.06E,3088,34,NO INFO,,NO,,,,,,,,
LTBO115,BUILDING,BUILDING,384114.04N,0292537.96E,3103,34,NO INFO,,NO,,,,,,,,
LTBO116,BUILDING,BUILDING,384114.74N,0292538.65E,3104,34,NO INFO,,NO,,,,,,,,
LTBO117,BUILDING,BUILDING,384115.48N,0292541.94E,3086,34,NO INFO,,NO,,,,,,,,
LTBO118,BUILDING,BUILDING,384114.72N,0292534.47E,3119,34,NO INFO,,NO,,,,,,,,
LTBO119,BUILDING,BUILDING,384114.89N,0292535.29E,3117,34,NO INFO,,NO,,,,,,,,
LTBO120,BUILDING,BUILDING,384115.41N,0292532.18E,3135,34,NO INFO,,NO,,,,,,,,
LTBO121,BUILDING,BUILDING,384115.17N,0292530.94E,3138,34,NO INFO,,NO,,,,,,,,
LTBO122,BUILDING,BUILDING,384109.80N,0292533.08E,3107,44,NO INFO,,NO,,,,,,,,
LTBO123,BUILDING,BUILDING,384110.50N,0292528.84E,3118,44,NO INFO,,NO,,,,,,,,
LTBO124,BUILDING,BUILDING,384110.35N,0292528.42E,3118,44,NO INFO,,NO,,,,,,,,
LTBO125,BUILDING,BUILDING,384109.08N,0292527.77E,3103,34,NO INFO,,NO,,,,,,,,
LTBO126,BUILDING,BUILDING,384108.08N,0292528.29E,3095,34,NO INFO,,NO,,,,,,,,
LTBO127,BUILDING,BUILDING,384107.79N,0292528.29E,3094,34,NO INFO,,NO,,,,,,,,
LTBO128,BUILDING,BUILDING,384105.51N,0292529.33E,3077,34,NO INFO,,NO,,,,,,,,
LTBO129,BUILDING,BUILDING,384105.20N,0292529.37E,3085,44,NO INFO,,NO,,,,,,,,
LTBO130,BUILDING,BUILDING,384104.86N,0292529.40E,3073,34,NO INFO,,NO,,,,,,,,
LTBO131,BUILDING,BUILDING,384104.49N,0292529.44E,3071,34,NO INFO,,NO,,,,,,,,
LTBO132,BUILDING,BUILDING,384103.81N,0292529.49E,3075,44,NO INFO,,NO,,,,,,,,
LTBO133,BUILDING,BUILDING,384103.72N,0292528.75E,3077,44,NO INFO,,NO,,,,,,,,
LTBO134,BUILDING,BUILDING,384104.14N,0292528.79E,3069,34,NO INFO,,NO,,,,,,,,
LTBO135,BUILDING,BUILDING,384104.41N,0292528.74E,3081,44,NO INFO,,NO,,,,,,,,
LTBO136,BUILDING,BUILDING,384104.66N,0292528.72E,3082,44,NO INFO,,NO,,,,,,,,
LTBO137,BUILDING,BUILDING,384105.09N,0292530.37E,3082,44,NO INFO,,NO,,,,,,,,
LTBO138,BUILDING,BUILDING,384105.47N,0292530.31E,3076,34,NO INFO,,NO,,,,,,,,
LTBO139,BUILDING,BUILDING,384105.28N,0292531.35E,3072,34,NO INFO,,NO,,,,,,,,
LTBO140,BUILDING,BUILDING,384105.92N,0292531.04E,3057,15,NO INFO,,NO,,,,,,,,
LTBO141,BUILDING,BUILDING,384106.41N,0292530.24E,3091,44,NO INFO,,NO,,,,,,,,
LTBO142,BUILDING,BUILDING,384106.68N,0292530.07E,3094,44,NO INFO,,NO,,,,,,,,
LTBO143,BUILDING,BUILDING,384106.53N,0292531.01E,3081,34,NO INFO,,NO,,,,,,,,
LTBO144,BUILDING,BUILDING,384107.33N,0292531.72E,3085,34,NO INFO,,NO,,,,,,,,
LTBO145,BUILDING,BUILDING,384108.00N,0292530.65E,3091,34,NO INFO,,NO,,,,,,,,
LTBO146,BUILDING,BUILDING,384108.43N,0292530.59E,3094,34,NO INFO,,NO,,,,,,,,
LTBO147,BUILDING,BUILDING,384106.26N,0292532.16E,3067,25,NO INFO,,NO,,,,,,,,
LTBO148,BUILDING,BUILDING,384105.85N,0292532.12E,3054,15,NO INFO,,NO,,,,,,,,
