Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCJ164,BUILDING,BUILDING,375445.900N,0410921.188E,2174.37,73.82,NO INFO,,NO,
LTCJ165,BUILDING,BUILDING,375445.141N,0410922.966E,2185.11,73.82,NO INFO,,NO,
LTCJ166,BUILDING,BUILDING,375443.890N,0410921.803E,2173.56,73.82,NO INFO,,NO,
LTCJ167,BUILDING,BUILDING,375442.734N,0410920.598E,2154.27,73.82,NO INFO,,NO,
LTCJ168,BUILDING,BUILDING,375443.351N,0410919.469E,2155.18,73.82,NO INFO,,NO,
LTCJ169,BUILDING,BUILDING,375444.150N,0410918.350E,2155.41,73.82,NO INFO,,NO,
LTCJ170,BUILDING,BUILDING,375444.813N,0410916.614E,2144.62,73.82,NO INFO,,NO,
LTCJ171,BUILDING,BUILDING,375444.846N,0410914.794E,2136.83,73.82,NO INFO,,NO,
LTCJ172,BUILDING,BUILDING,375444.420N,0410912.997E,2133.92,73.82,NO INFO,,NO,
LTCJ173,BUILDING,BUILDING,375443.686N,0410914.155E,2140.75,73.82,NO INFO,,NO,
LTCJ174,BUILDING,BUILDING,375442.741N,0410915.520E,2140.75,73.82,NO INFO,,NO,
LTCJ175,BUILDING,BUILDING,375441.996N,0410916.705E,2140.75,73.82,NO INFO,,NO,
LTCJ176,BUILDING,BUILDING,375441.283N,0410917.809E,2140.75,73.82,NO INFO,,NO,
LTCJ177,BUILDING,BUILDING,375440.843N,0410918.544E,2140.75,73.82,NO INFO,,NO,
LTCJ178,BUILDING,BUILDING,375444.607N,0410920.133E,2172.65,73.82,NO INFO,,NO,
LTCJ179,BUILDING,BUILDING,375447.650N,0410927.882E,2171.21,34.45,NO INFO,,NO,
LTCJ180,BUILDING,BUILDING,375448.513N,0410928.389E,2184.28,34.45,NO INFO,,NO,
LTCJ181,BUILDING,BUILDING,375448.688N,0410929.737E,2184.37,34.45,NO INFO,,NO,
LTCJ182,BUILDING,BUILDING,375448.787N,0410931.132E,2191.12,34.45,NO INFO,,NO,
LTCJ183,BUILDING,BUILDING,375447.926N,0410930.886E,2179.12,34.45,NO INFO,,NO,
LTCJ184,BUILDING,BUILDING,375555.597N,0410914.554E,2081.69,14.76,NO INFO,,NO,
LTCJ185,BUILDING,BUILDING,375555.885N,0410915.326E,2095.97,24.61,NO INFO,,NO,
LTCJ186,BUILDING,BUILDING,375555.489N,0410915.257E,2093.40,24.61,NO INFO,,NO,
LTCJ187,BUILDING,BUILDING,375554.569N,0410915.198E,2078.58,14.76,NO INFO,,NO,
LTCJ188,BUILDING,BUILDING,375553.661N,0410915.006E,2078.48,24.61,NO INFO,,NO,
LTCJ189,BUILDING,BUILDING,375553.615N,0410915.746E,2071.42,14.76,NO INFO,,NO,
LTCJ190,BUILDING,BUILDING,375554.392N,0410916.407E,2081.69,14.76,NO INFO,,NO,
LTCJ191,BUILDING,BUILDING,375554.266N,0410915.892E,2081.69,14.76,NO INFO,,NO,
LTCJ192,BUILDING,BUILDING,375554.984N,0410917.638E,2108.69,34.45,NO INFO,,NO,
LTCJ193,BUILDING,BUILDING,375553.532N,0410916.416E,2070.40,14.76,NO INFO,,NO,
LTCJ194,BUILDING,BUILDING,375555.152N,0410916.854E,2088.00,14.76,NO INFO,,NO,
LTCJ195,BUILDING,BUILDING,375555.077N,0410915.946E,2085.37,14.76,NO INFO,,NO,
LTCJ196,BUILDING,BUILDING,375556.892N,0410915.484E,2090.44,14.76,NO INFO,,NO,
LTCJ197,BUILDING,BUILDING,375557.199N,0410916.079E,2094.18,14.76,NO INFO,,NO,
LTCJ198,BUILDING,BUILDING,375558.691N,0410915.812E,2099.01,24.61,NO INFO,,NO,
LTCJ199,BUILDING,BUILDING,375559.371N,0410916.601E,2098.16,14.76,NO INFO,,NO,
LTCJ200,BUILDING,BUILDING,375555.942N,0410916.834E,2104.20,24.61,NO INFO,,NO,
LTCJ201,BUILDING,BUILDING,375556.007N,0410916.340E,2092.87,14.76,NO INFO,,NO,
LTCJ202,BUILDING,BUILDING,375558.810N,0410913.941E,2081.69,14.76,NO INFO,,NO,
LTCJ203,BUILDING,BUILDING,375557.369N,0410914.333E,2081.69,14.76,NO INFO,,NO,
LTCJ204,BUILDING,BUILDING,375433.998N,0411013.264E,2175.97,34.45,NO INFO,,NO,
LTCJ205,BUILDING,BUILDING,375434.272N,0411013.829E,2179.94,34.45,NO INFO,,NO,
LTCJ206,BUILDING,BUILDING,375434.908N,0411014.354E,2188.36,34.45,NO INFO,,NO,
LTCJ207,BUILDING,BUILDING,375435.107N,0411014.886E,2193.30,34.45,NO INFO,,NO,
LTCJ208,BUILDING,BUILDING,375435.404N,0411015.534E,2198.65,34.45,NO INFO,,NO,
LTCJ209,BUILDING,BUILDING,375435.853N,0411016.521E,2222.16,34.45,NO INFO,,NO,
LTCJ210,BUILDING,BUILDING,375435.609N,0411014.341E,2173.17,14.76,NO INFO,,NO,
LTCJ211,BUILDING,BUILDING,375416.323N,0410954.082E,2145.78,14.76,NO INFO,,NO,
LTCJ212,BUILDING,BUILDING,375416.898N,0410953.973E,2147.31,14.76,NO INFO,,NO,
LTCJ213,BUILDING,BUILDING,375417.077N,0410955.092E,2146.32,14.76,NO INFO,,NO,
LTCJ214,BUILDING,BUILDING,375416.452N,0410951.580E,2158.28,24.61,NO INFO,,NO,
LTCJ215,BUILDING,BUILDING,375417.156N,0410952.679E,2149.77,14.76,NO INFO,,NO,
LTCJ216,BUILDING,BUILDING,375418.361N,0410953.570E,2148.48,14.76,NO INFO,,NO,
LTCJ217,BUILDING,BUILDING,375417.722N,0410954.303E,2157.15,24.61,NO INFO,,NO,
LTCJ218,BUILDING,BUILDING,375416.318N,0410942.988E,2198.61,44.29,NO INFO,,NO,
LTCJ219,BUILDING,BUILDING,375416.587N,0410939.586E,2199.80,34.45,NO INFO,,NO,
LTCJ220,BUILDING,BUILDING,375408.325N,0410946.909E,2147.31,14.76,NO INFO,,NO,
LTCJ221,BUILDING,BUILDING,375408.671N,0410948.045E,2157.15,24.61,NO INFO,,NO,
LTCJ222,BUILDING,BUILDING,375408.039N,0410952.152E,2166.32,34.45,NO INFO,,NO,
LTCJ223,BUILDING,BUILDING,375407.800N,0410951.593E,2167.00,34.45,NO INFO,,NO,
LTCJ224,BUILDING,BUILDING,375406.476N,0410951.910E,2177.34,54.13,NO INFO,,NO,
LTCJ225,BUILDING,BUILDING,375407.326N,0410949.157E,2147.31,14.76,NO INFO,,NO,
LTCJ226,BUILDING,BUILDING,375407.205N,0410948.532E,2147.31,14.76,NO INFO,,NO,
LTCJ227,BUILDING,BUILDING,375407.606N,0410948.342E,2147.31,14.76,NO INFO,,NO,
LTCJ228,BUILDING,BUILDING,375408.062N,0410948.048E,2147.31,14.76,NO INFO,,NO,
LTCJ229,BUILDING,BUILDING,375408.297N,0410948.822E,2147.31,14.76,NO INFO,,NO,
LTCJ230,BUILDING,BUILDING,375407.780N,0410949.315E,2147.31,14.76,NO INFO,,NO,
LTCJ231,BUILDING,BUILDING,375407.726N,0410948.967E,2147.31,14.76,NO INFO,,NO,
LTCJ232,BUILDING,BUILDING,375421.592N,0410933.048E,2216.21,34.45,NO INFO,,NO,
LTCJ233,BUILDING,BUILDING,375422.825N,0410935.978E,2200.52,34.45,NO INFO,,NO,
LTCJ234,BUILDING,BUILDING,375430.774N,0410935.041E,2219.49,54.13,NO INFO,,NO,
LTCJ235,BUILDING,BUILDING,375431.686N,0410936.184E,2228.20,54.13,NO INFO,,NO,
LTCJ236,BUILDING,BUILDING,375431.144N,0410935.728E,2214.93,44.29,NO INFO,,NO,
LTCJ237,BUILDING,BUILDING,375430.132N,0410932.277E,2288.40,152.56,NO INFO,,NO,
LTCJ238,BUILDING,BUILDING,375430.688N,0410925.968E,2189.96,73.82,NO INFO,,NO,
LTCJ239,BUILDING,BUILDING,375431.619N,0410924.664E,2188.86,73.82,NO INFO,,NO,
LTCJ240,BUILDING,BUILDING,375432.363N,0410926.012E,2180.15,73.82,NO INFO,,NO,
LTCJ241,BUILDING,BUILDING,375433.474N,0410924.707E,2176.41,73.82,NO INFO,,NO,
LTCJ242,BUILDING,BUILDING,375434.669N,0410923.018E,2175.75,73.82,NO INFO,,NO,
LTCJ243,BUILDING,BUILDING,375436.204N,0410924.184E,2173.56,73.82,NO INFO,,NO,
LTCJ244,BUILDING,BUILDING,375435.675N,0410921.823E,2174.81,73.82,NO INFO,,NO,
LTCJ245,BUILDING,BUILDING,375434.784N,0410920.756E,2180.41,73.82,NO INFO,,NO,
LTCJ246,BUILDING,BUILDING,375430.631N,0410918.816E,2160.43,44.29,NO INFO,,NO,
LTCJ247,BUILDING,BUILDING,375430.183N,0410919.510E,2150.59,34.45,NO INFO,,NO,
LTCJ248,BUILDING,BUILDING,375429.726N,0410920.051E,2160.43,44.29,NO INFO,,NO,
LTCJ249,BUILDING,BUILDING,375430.625N,0410922.448E,2150.59,34.45,NO INFO,,NO,
LTCJ250,BUILDING,BUILDING,375430.033N,0410921.730E,2160.43,44.29,NO INFO,,NO,
LTCJ251,BUILDING,BUILDING,375431.230N,0410923.216E,2160.43,44.29,NO INFO,,NO,
LTCJ252,BUILDING,BUILDING,375428.247N,0410915.033E,2146.25,63.98,NO INFO,,NO,
LTCJ253,BUILDING,BUILDING,375429.192N,0410915.524E,2138.39,44.29,NO INFO,,NO,
LTCJ254,BUILDING,BUILDING,375428.982N,0410913.589E,2142.68,73.82,NO INFO,,NO,
LTCJ255,BUILDING,BUILDING,375430.316N,0410914.149E,2158.44,73.82,NO INFO,,NO,
LTCJ256,BUILDING,BUILDING,375431.619N,0410914.921E,2185.96,73.82,NO INFO,,NO,
LTCJ257,BUILDING,BUILDING,375432.487N,0410913.391E,2205.66,73.82,NO INFO,,NO,
LTCJ258,BUILDING,BUILDING,375430.896N,0410912.632E,2189.62,73.82,NO INFO,,NO,
LTCJ259,BUILDING,BUILDING,375429.454N,0410912.006E,2148.23,73.82,NO INFO,,NO,
LTCJ260,BUILDING,BUILDING,375428.030N,0410911.287E,2138.72,73.82,NO INFO,,NO,
LTCJ261,BUILDING,BUILDING,375426.621N,0410910.619E,2115.91,73.82,NO INFO,,NO,
LTCJ262,BUILDING,BUILDING,375427.142N,0410909.255E,2104.16,54.13,NO INFO,,NO,
LTCJ263,BUILDING,BUILDING,375428.177N,0410908.246E,2116.64,54.13,NO INFO,,NO,
LTCJ264,BUILDING,BUILDING,375432.716N,0410910.525E,2230.39,73.82,NO INFO,,NO,
