Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,
LTBA161,BUILDING,BUILDING,410023.744N,0284954.192E,302.1,63.97,NO INFO,,NO,,,,,
LTBA162,BUILDING,BUILDING,410023.707N,0284954.891E,291.0,54.13,NO INFO,,NO,,,,,
LTBA163,BUILDING,BUILDING,410023.689N,0284955.680E,299.8,63.97,NO INFO,,NO,,,,,
LTBA164,BUILDING,BUILDING,410023.680N,0284956.445E,297.0,63.97,NO INFO,,NO,,,,,
LTBA165,BUILDING,BUILDING,410023.664N,0284957.127E,295.2,63.97,NO INFO,,NO,,,,,
LTBA166,BUILDING,BUILDING,410023.632N,0284957.766E,302.6,73.81,NO INFO,,NO,,,,,
LTBA167,BUILDING,BUILDING,410023.592N,0284958.535E,298.7,73.81,NO INFO,,NO,,,,,
LTBA168,BUILDING,BUILDING,410023.009N,0284956.937E,264.9,34.44,NO INFO,,NO,,,,,
LTBA169,BUILDING,BUILDING,410023.015N,0284957.246E,273.4,44.29,NO INFO,,NO,,,,,
LTBA170,BUILDING,BUILDING,410022.980N,0284958.156E,289.5,63.97,NO INFO,,NO,,,,,
LTBA171,BUILDING,BUILDING,410023.026N,0284955.656E,307.8,73.81,NO INFO,,NO,,,,,
LTBA172,BUILDING,BUILDING,410023.040N,0284954.999E,279.3,44.29,NO INFO,,NO,,,,,
LTBA173,BUILDING,BUILDING,410022.996N,0284956.403E,295.6,63.97,NO INFO,,NO,,,,,
LTBA174,BUILDING,BUILDING,410034.944N,0284957.185E,312.9,73.81,NO INFO,,NO,,,,,
LTBA175,BUILDING,BUILDING,410027.326N,0284953.917E,317.3,73.81,NO INFO,,NO,,,,,
LTBA176,BUILDING,BUILDING,410025.872N,0284954.910E,314.2,73.81,NO INFO,,NO,,,,,
LTBA177,BUILDING,BUILDING,410023.696N,0285001.193E,272.2,63.97,NO INFO,,NO,,,,,
LTBA178,BUILDING,BUILDING,410023.557N,0285004.680E,256.6,73.81,NO INFO,,NO,,,,,
LTBA179,BUILDING,BUILDING,410022.900N,0284959.851E,270.7,54.13,NO INFO,,NO,,,,,
LTBA180,BUILDING,BUILDING,410022.943N,0285000.567E,285.8,73.81,NO INFO,,NO,,,,,
LTBA181,BUILDING,BUILDING,410022.930N,0285001.290E,259.0,54.13,NO INFO,,NO,,,,,
LTBA182,BUILDING,BUILDING,410033.249N,0284957.385E,299.9,63.97,NO INFO,,NO,,,,,
LTBA183,BUILDING,BUILDING,410033.215N,0284956.793E,303.2,63.97,NO INFO,,NO,,,,,
LTBA184,BUILDING,BUILDING,410012.995N,0284954.000E,275.4,63.97,NO INFO,,NO,,,,,
LTBA185,BUILDING,BUILDING,410022.004N,0284953.875E,288.7,54.13,NO INFO,,NO,,,,,
LTBA186,BUILDING,BUILDING,410021.664N,0284953.847E,278.1,44.29,NO INFO,,NO,,,,,
LTBA187,BUILDING,BUILDING,410021.652N,0284954.564E,287.1,54.13,NO INFO,,NO,,,,,
LTBA188,BUILDING,BUILDING,410021.990N,0284954.574E,267.9,34.44,NO INFO,,NO,,,,,
LTBA189,BUILDING,BUILDING,410021.614N,0284955.415E,285.4,54.13,NO INFO,,NO,,,,,
LTBA190,BUILDING,BUILDING,410021.879N,0284957.561E,289.8,63.97,NO INFO,,NO,,,,,
LTBA191,BUILDING,BUILDING,410021.507N,0284957.563E,289.4,63.97,NO INFO,,NO,,,,,
LTBA192,BUILDING,BUILDING,410021.451N,0284958.781E,264.7,44.29,NO INFO,,NO,,,,,
LTBA193,BUILDING,BUILDING,410021.546N,0284956.543E,292.1,63.97,NO INFO,,NO,,,,,
LTBA194,BUILDING,BUILDING,410021.913N,0284956.540E,282.7,54.13,NO INFO,,NO,,,,,
LTBA195,BUILDING,BUILDING,410020.769N,0284954.352E,295.3,63.97,NO INFO,,NO,,,,,
LTBA196,BUILDING,BUILDING,410021.080N,0284954.362E,286.2,54.13,NO INFO,,NO,,,,,
LTBA197,BUILDING,BUILDING,410021.043N,0284955.385E,294.5,63.97,NO INFO,,NO,,,,,
LTBA198,BUILDING,BUILDING,410020.695N,0284955.129E,294.3,63.97,NO INFO,,NO,,,,,
LTBA199,BUILDING,BUILDING,410020.668N,0284955.661E,272.8,44.29,NO INFO,,NO,,,,,
LTBA200,BUILDING,BUILDING,410020.628N,0284956.568E,280.2,54.13,NO INFO,,NO,,,,,
LTBA201,BUILDING,BUILDING,410020.984N,0284956.577E,281.4,54.13,NO INFO,,NO,,,,,
LTBA202,BUILDING,BUILDING,410020.610N,0284957.665E,285.7,63.97,NO INFO,,NO,,,,,
LTBA203,BUILDING,BUILDING,410020.937N,0284957.669E,267.1,44.29,NO INFO,,NO,,,,,
LTBA204,BUILDING,BUILDING,410020.898N,0284958.606E,283.6,63.97,NO INFO,,NO,,,,,
LTBA205,BUILDING,BUILDING,410020.561N,0284958.427E,272.7,54.13,NO INFO,,NO,,,,,
LTBA206,BUILDING,BUILDING,410019.792N,0284958.569E,280.7,63.97,NO INFO,,NO,,,,,
LTBA207,BUILDING,BUILDING,410019.826N,0284957.943E,263.8,44.29,NO INFO,,NO,,,,,
LTBA208,BUILDING,BUILDING,410019.881N,0284956.893E,276.2,54.13,NO INFO,,NO,,,,,
LTBA209,BUILDING,BUILDING,410019.375N,0284957.078E,275.1,54.13,NO INFO,,NO,,,,,
LTBA210,BUILDING,BUILDING,410019.305N,0284957.896E,262.8,44.29,NO INFO,,NO,,,,,
LTBA211,BUILDING,BUILDING,410019.881N,0284956.253E,288.7,63.97,NO INFO,,NO,,,,,
LTBA212,BUILDING,BUILDING,410019.898N,0284955.827E,290.3,63.97,NO INFO,,NO,,,,,
LTBA213,BUILDING,BUILDING,410019.940N,0284955.160E,292.6,63.97,NO INFO,,NO,,,,,
LTBA214,BUILDING,BUILDING,410020.027N,0284953.947E,294.4,63.97,NO INFO,,NO,,,,,
LTBA215,BUILDING,BUILDING,410019.986N,0284954.554E,293.4,63.97,NO INFO,,NO,,,,,
LTBA216,BUILDING,BUILDING,410020.083N,0284953.250E,295.8,63.97,NO INFO,,NO,,,,,
LTBA217,BUILDING,BUILDING,410020.109N,0284952.785E,296.6,63.97,NO INFO,,NO,,,,,
LTBA218,BUILDING,BUILDING,410019.126N,0284953.043E,293.7,63.97,NO INFO,,NO,,,,,
LTBA219,BUILDING,BUILDING,410019.110N,0284953.336E,283.5,54.13,NO INFO,,NO,,,,,
LTBA220,BUILDING,BUILDING,410019.413N,0284953.892E,293.3,63.97,NO INFO,,NO,,,,,
LTBA221,BUILDING,BUILDING,410019.432N,0284953.227E,274.6,44.29,NO INFO,,NO,,,,,
LTBA222,BUILDING,BUILDING,410019.086N,0284954.002E,282.6,54.13,NO INFO,,NO,,,,,
LTBA223,BUILDING,BUILDING,410019.101N,0284953.732E,273.0,44.29,NO INFO,,NO,,,,,
LTBA224,BUILDING,BUILDING,410019.389N,0284954.417E,292.3,63.97,NO INFO,,NO,,,,,
LTBA225,BUILDING,BUILDING,410019.294N,0284956.189E,287.9,63.97,NO INFO,,NO,,,,,
LTBA226,BUILDING,BUILDING,410019.329N,0284955.624E,289.6,63.97,NO INFO,,NO,,,,,
LTBA227,BUILDING,BUILDING,410018.968N,0284956.137E,277.8,54.13,NO INFO,,NO,,,,,
LTBA228,BUILDING,BUILDING,410019.035N,0284955.102E,280.5,54.13,NO INFO,,NO,,,,,
LTBA229,BUILDING,BUILDING,410019.349N,0284955.131E,281.2,54.13,NO INFO,,NO,,,,,
LTBA230,BUILDING,BUILDING,410019.006N,0284955.413E,279.6,54.13,NO INFO,,NO,,,,,
LTBA231,BUILDING,BUILDING,410019.000N,0284955.759E,269.2,44.29,NO INFO,,NO,,,,,
LTBA232,BUILDING,BUILDING,410019.366N,0284954.739E,271.8,44.29,NO INFO,,NO,,,,,
LTBA233,BUILDING,BUILDING,410019.062N,0284954.383E,271.8,44.29,NO INFO,,NO,,,,,
LTBA234,BUILDING,BUILDING,410019.057N,0284954.709E,261.6,34.44,NO INFO,,NO,,,,,
LTBA235,BUILDING,BUILDING,410018.598N,0284952.934E,292.5,63.97,NO INFO,,NO,,,,,
LTBA236,BUILDING,BUILDING,410018.628N,0284953.862E,281.2,54.13,NO INFO,,NO,,,,,
LTBA237,BUILDING,BUILDING,410018.597N,0284954.382E,270.9,44.29,NO INFO,,NO,,,,,
LTBA238,BUILDING,BUILDING,410018.414N,0284955.955E,287.2,63.97,NO INFO,,NO,,,,,
LTBA239,BUILDING,BUILDING,410018.458N,0284955.299E,279.0,54.13,NO INFO,,NO,,,,,
LTBA240,BUILDING,BUILDING,410018.286N,0284956.766E,264.2,44.29,NO INFO,,NO,,,,,
LTBA241,BUILDING,BUILDING,410018.363N,0284957.424E,261.6,44.29,NO INFO,,NO,,,,,
LTBA242,BUILDING,BUILDING,410018.731N,0284958.269E,269.2,54.13,NO INFO,,NO,,,,,
LTBA243,BUILDING,BUILDING,410018.303N,0284958.064E,268.7,54.13,NO INFO,,NO,,,,,
LTBA244,BUILDING,BUILDING,410018.290N,0284958.578E,275.4,63.97,NO INFO,,NO,,,,,
LTBA245,BUILDING,BUILDING,410018.837N,0284956.856E,284.5,63.97,NO INFO,,NO,,,,,
LTBA246,BUILDING,BUILDING,410018.806N,0284957.305E,273.1,54.13,NO INFO,,NO,,,,,
LTBA247,BUILDING,BUILDING,410017.122N,0284958.255E,292.9,83.66,NO INFO,,NO,,,,,
LTBA248,BUILDING,BUILDING,410017.588N,0284958.592E,282.9,73.81,NO INFO,,NO,,,,,
LTBA249,BUILDING,BUILDING,410017.606N,0284958.096E,265.9,54.13,NO INFO,,NO,,,,,
LTBA250,BUILDING,BUILDING,410017.202N,0284956.846E,259.6,44.29,NO INFO,,NO,,,,,
LTBA251,BUILDING,BUILDING,410017.252N,0284955.889E,284.1,63.97,NO INFO,,NO,,,,,
LTBA252,BUILDING,BUILDING,410017.818N,0284954.935E,278.3,54.13,NO INFO,,NO,,,,,
LTBA253,BUILDING,BUILDING,410017.833N,0284954.374E,269.5,44.29,NO INFO,,NO,,,,,
LTBA254,BUILDING,BUILDING,410017.353N,0284954.356E,289.1,63.97,NO INFO,,NO,,,,,
LTBA255,BUILDING,BUILDING,410017.319N,0284954.900E,277.5,54.13,NO INFO,,NO,,,,,
LTBA256,BUILDING,BUILDING,410017.383N,0284953.688E,279.8,54.13,NO INFO,,NO,,,,,
LTBA257,BUILDING,BUILDING,410017.425N,0284953.090E,280.6,54.13,NO INFO,,NO,,,,,
LTBA258,BUILDING,BUILDING,410017.889N,0284953.700E,289.9,63.97,NO INFO,,NO,,,,,
LTBA259,BUILDING,BUILDING,410017.927N,0284953.092E,271.4,44.29,NO INFO,,NO,,,,,
LTBA260,BUILDING,BUILDING,410017.727N,0284956.167E,274.9,54.13,NO INFO,,NO,,,,,
LTBA261,BUILDING,BUILDING,410017.761N,0284955.601E,276.4,54.13,NO INFO,,NO,,,,,
LTBA262,BUILDING,BUILDING,410016.577N,0284956.315E,280.6,63.97,NO INFO,,NO,,,,,
LTBA263,BUILDING,BUILDING,410016.498N,0284957.464E,274.8,63.97,NO INFO,,NO,,,,,
LTBA264,BUILDING,BUILDING,410016.475N,0284958.110E,271.2,63.97,NO INFO,,NO,,,,,
LTBA265,BUILDING,BUILDING,410016.452N,0284958.538E,268.9,63.97,NO INFO,,NO,,,,,
LTBA266,BUILDING,BUILDING,410015.983N,0284958.266E,259.7,54.13,NO INFO,,NO,,,,,
LTBA267,BUILDING,BUILDING,410016.085N,0284956.188E,269.1,54.13,NO INFO,,NO,,,,,
LTBA268,BUILDING,BUILDING,410016.598N,0284955.716E,262.5,44.29,NO INFO,,NO,,,,,
LTBA269,BUILDING,BUILDING,410016.641N,0284955.070E,285.8,63.97,NO INFO,,NO,,,,,
LTBA270,BUILDING,BUILDING,410016.672N,0284954.522E,277.1,54.13,NO INFO,,NO,,,,,
LTBA271,BUILDING,BUILDING,410016.184N,0284954.479E,284.6,63.97,NO INFO,,NO,,,,,
LTBA272,BUILDING,BUILDING,410016.112N,0284955.681E,271.4,54.13,NO INFO,,NO,,,,,
