Obstacle_designator,AIXM_NAME  ,OTHER Type(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,color of lighting,Group
ENR126,WIND POWER PLANT,WINDMILL,393127.80N,0270944.06E,2080,407,YES,OTHER,NO
ENR127,WIND POWER PLANT,WINDMILL,400617.93N,0264733.14E,2751,438,YES,OTHER,NO
ENR128,WIND POWER PLANT,WINDMILL,382258.20N,0302124.19E,7114,589,YES,OTHER,NO
ENR129,WIND POWER PLANT,WINDMILL,401610.15N,0275113.84E,869,410,YES,OTHER,NO
ENR130,WIND POWER PLANT,WINDMILL,383238.40N,0271012.07E,3430,490,YES,OTHER,NO
ENR131,WIND POWER PLANT,WINDMILL,383332.25N,0262559.58E,1822,589,YES,OTHER,NO
ENR132,WIND POWER PLANT,WINDMILL,395045.17N,0264316.06E,1911,609,YES,OTHER,NO
ENR133,WIND POWER PLANT,WINDMILL,373317.96N,0362750.65E,3930,489,YES,OTHER,NO
ENR134,WIND POWER PLANT,WINDMILL,382227.94N,0301935.77E,6760,589,YES,OTHER,NO
ENR135,WIND POWER PLANT,WINDMILL,373122.01N,0344808.59E,4646,525,YES,OTHER,NO
ENR136,WIND POWER PLANT,WINDMILL,401612.46N,0275151.79E,930,490,YES,OTHER,NO
ENR137,WIND POWER PLANT,WINDMILL,383249.31N,0271005.77E,3391,490,YES,OTHER,NO
ENR138,WIND POWER PLANT,WINDMILL,383600.87N,0262940.96E,2902,589,YES,OTHER,NO
ENR139,WIND POWER PLANT,WINDMILL,394750.32N,0274650.12E,2167,589,YES,OTHER,NO
ENR140,WIND POWER PLANT,WINDMILL,373213.16N,0362754.83E,3701,489,YES,OTHER,NO
ENR141,WIND POWER PLANT,WINDMILL,400603.20N,0274441.28E,1606,431,YES,OTHER,NO
ENR142,WIND POWER PLANT,WINDMILL,382224.36N,0301951.93E,6829,589,YES,OTHER,NO
ENR143,WIND POWER PLANT,WINDMILL,401627.98N,0275109.22E,979,490,YES,OTHER,NO
ENR144,WIND POWER PLANT,WINDMILL,383446.78N,0270953.53E,2521,490,YES,OTHER,NO
ENR145,WIND POWER PLANT,WINDMILL,383529.05N,0262925.97E,2797,589,YES,OTHER,NO
ENR146,WIND POWER PLANT,WINDMILL,403919.20N,0270212.92E,1460,574,YES,OTHER,NO
ENR147,WIND POWER PLANT,WINDMILL,395254.37N,0261151.18E,643,407,YES,OTHER,NO
ENR149,WIND POWER PLANT,WINDMILL,382220.78N,0302022.92E,6832,589,YES,OTHER,NO
ENR150,WIND POWER PLANT,WINDMILL,401648.66N,0275005.13E,919,410,YES,OTHER,NO
ENR151,WIND POWER PLANT,WINDMILL,383453.18N,0270945.29E,2466,490,YES,OTHER,NO
ENR152,WIND POWER PLANT,WINDMILL,383408.75N,0262635.24E,2092,589,YES,OTHER,NO
ENR153,WIND POWER PLANT,WINDMILL,403854.15N,0270218.11E,1470,574,YES,OTHER,NO
ENR154,WIND POWER PLANT,WINDMILL,395333.40N,0261048.54E,545,407,YES,OTHER,NO
ENR156,WIND POWER PLANT,WINDMILL,382220.49N,0302038.67E,6914,589,YES,OTHER,NO
