Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCU187,BUILDING,BUILDING,385232.696N,0403827.389E,3705.7,14.8,NO,,NO,
LTCU188,BUILDING,BUILDING,385232.526N,0403828.398E,3705.7,14.8,NO,,NO,
LTCU189,BUILDING,BUILDING,385232.184N,0403829.099E,3706.4,14.8,NO,,NO,
LTCU190,BUILDING,BUILDING,385231.766N,0403829.850E,3705.9,14.8,NO,,NO,
LTCU191,BUILDING,BUILDING,385232.177N,0403827.002E,3705.7,14.8,NO,,NO,
LTCU192,BUILDING,BUILDING,385232.766N,0403832.887E,3724.8,14.8,NO,,NO,
LTCU193,BUILDING,BUILDING,385232.712N,0403833.293E,3727.4,14.8,NO,,NO,
LTCU194,BUILDING,BUILDING,385228.194N,0403832.867E,3718.2,14.8,NO,,NO,
LTCU195,BUILDING,BUILDING,385227.756N,0403833.569E,3723.8,14.8,NO,,NO,
LTCU196,BUILDING,BUILDING,385227.270N,0403833.071E,3720.1,14.8,NO,,NO,
LTCU197,BUILDING,BUILDING,385227.426N,0403834.596E,3730.2,14.8,NO,,NO,
LTCU198,BUILDING,BUILDING,385227.202N,0403834.358E,3727.8,14.8,NO,,NO,
LTCU199,BUILDING,BUILDING,385226.741N,0403833.907E,3724.7,14.8,NO,,NO,
LTCU200,BUILDING,BUILDING,385226.281N,0403834.603E,3726.5,14.8,NO,,NO,
LTCU201,BUILDING,BUILDING,385227.004N,0403835.364E,3732.0,14.8,NO,,NO,
LTCU202,BUILDING,BUILDING,385226.530N,0403835.830E,3731.6,14.8,NO,,NO,
LTCU203,BUILDING,BUILDING,385226.095N,0403836.242E,3729.8,14.8,NO,,NO,
LTCU204,BUILDING,BUILDING,385225.616N,0403835.726E,3726.5,14.8,NO,,NO,
LTCU205,BUILDING,BUILDING,385225.069N,0403835.175E,3724.0,14.8,NO,,NO,
LTCU206,BUILDING,BUILDING,385225.616N,0403834.603E,3724.1,14.8,NO,,NO,
