Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCD76,BUILDING,BUILDING,394503.042N,0393237.486E,4073.9,14.76,NO INFO,,NO,,,,
LTCD77,BUILDING,BUILDING,394507.481N,0393239.620E,4088.8,24.60,NO INFO,,NO,,,,
LTCD78,BUILDING,BUILDING,394506.420N,0393239.064E,4087.7,24.60,NO INFO,,NO,,,,
LTCD79,BUILDING,BUILDING,394504.031N,0393237.839E,4085.0,24.60,NO INFO,,NO,,,,
LTCD80,BUILDING,BUILDING,394505.141N,0393238.380E,4076.5,14.76,NO INFO,,NO,,,,
LTCD81,BUILDING,BUILDING,394504.671N,0393238.079E,4085.6,24.60,NO INFO,,NO,,,,
LTCD82,BUILDING,BUILDING,394506.904N,0393239.021E,4078.3,14.76,NO INFO,,NO,,,,
LTCD83,BUILDING,BUILDING,394500.761N,0393235.976E,4070.9,14.76,NO INFO,,NO,,,,
LTCD84,BUILDING,BUILDING,394505.842N,0393238.433E,4087.0,24.60,NO INFO,,NO,,,,
LTCD85,BUILDING,BUILDING,394507.266N,0393239.023E,4078.6,14.76,NO INFO,,NO,,,,
LTCD86,BUILDING,BUILDING,394502.863N,0393236.843E,4073.9,14.76,NO INFO,,NO,,,,
LTCD87,BUILDING,BUILDING,394505.264N,0393237.958E,4076.5,14.76,NO INFO,,NO,,,,
LTCD88,BUILDING,BUILDING,394503.588N,0393237.036E,4074.7,14.76,NO INFO,,NO,,,,
LTCD89,BUILDING,BUILDING,394507.594N,0393238.869E,4088.9,24.60,NO INFO,,NO,,,,
LTCD90,BUILDING,BUILDING,394500.532N,0393235.412E,4070.9,14.76,NO INFO,,NO,,,,
LTCD91,BUILDING,BUILDING,394506.496N,0393238.234E,4087.9,24.60,NO INFO,,NO,,,,
LTCD92,BUILDING,BUILDING,394459.623N,0393234.786E,4069.5,14.76,NO INFO,,NO,,,,
LTCD93,BUILDING,BUILDING,394507.088N,0393238.411E,4078.7,14.76,NO INFO,,NO,,,,
LTCD94,BUILDING,BUILDING,394504.193N,0393236.963E,4085.4,24.60,NO INFO,,NO,,,,
LTCD95,BUILDING,BUILDING,394503.674N,0393236.692E,4074.7,14.76,NO INFO,,NO,,,,
LTCD96,BUILDING,BUILDING,394508.355N,0393238.969E,4080.1,14.76,NO INFO,,NO,,,,
LTCD97,BUILDING,BUILDING,394504.845N,0393237.156E,4086.2,24.60,NO INFO,,NO,,,,
LTCD98,BUILDING,BUILDING,394506.003N,0393237.635E,4087.2,24.60,NO INFO,,NO,,,,
LTCD99,BUILDING,BUILDING,394507.548N,0393238.352E,4079.1,14.76,NO INFO,,NO,,,,
LTCD100,BUILDING,BUILDING,394500.693N,0393234.944E,4070.8,14.76,NO INFO,,NO,,,,
LTCD101,BUILDING,BUILDING,394505.377N,0393237.144E,4077.1,14.76,NO INFO,,NO,,,,
LTCD102,BUILDING,BUILDING,394459.742N,0393234.206E,4069.5,14.76,NO INFO,,NO,,,,
LTCD103,BUILDING,BUILDING,394507.755N,0393237.915E,4089.4,24.60,NO INFO,,NO,,,,
LTCD104,BUILDING,BUILDING,394508.503N,0393238.219E,4080.2,14.76,NO INFO,,NO,,,,
LTCD105,BUILDING,BUILDING,394503.835N,0393235.926E,4075.0,14.76,NO INFO,,NO,,,,
LTCD106,BUILDING,BUILDING,394502.472N,0393235.132E,4073.3,14.76,NO INFO,,NO,,,,
LTCD107,BUILDING,BUILDING,394457.997N,0393232.936E,4067.3,14.76,NO INFO,,NO,,,,
LTCD108,BUILDING,BUILDING,394500.740N,0393234.270E,4070.7,14.76,NO INFO,,NO,,,,
LTCD109,BUILDING,BUILDING,394501.544N,0393234.608E,4081.8,24.60,NO INFO,,NO,,,,
LTCD110,BUILDING,BUILDING,394503.148N,0393235.388E,4084.0,24.60,NO INFO,,NO,,,,
LTCD111,BUILDING,BUILDING,394459.658N,0393233.568E,4069.4,14.76,NO INFO,,NO,,,,
LTCD112,BUILDING,BUILDING,394501.207N,0393234.276E,4071.5,14.76,NO INFO,,NO,,,,
LTCD113,BUILDING,BUILDING,394458.634N,0393232.903E,4068.1,14.76,NO INFO,,NO,,,,
LTCD114,BUILDING,BUILDING,394504.428N,0393235.711E,4085.7,24.60,NO INFO,,NO,,,,
LTCD115,BUILDING,BUILDING,394505.780N,0393236.333E,4077.6,14.76,NO INFO,,NO,,,,
LTCD116,BUILDING,BUILDING,394505.032N,0393235.920E,4086.1,24.60,NO INFO,,NO,,,,
LTCD117,BUILDING,BUILDING,394506.155N,0393236.258E,4087.8,24.60,NO INFO,,NO,,,,
LTCD118,BUILDING,BUILDING,394411.915N,0393209.630E,3951.0,24.60,NO INFO,,NO,,,,
LTCD119,BUILDING,BUILDING,394507.531N,0393236.738E,4079.4,14.76,NO INFO,,NO,,,,
LTCD120,BUILDING,BUILDING,394506.855N,0393236.404E,4088.6,24.60,NO INFO,,NO,,,,
LTCD121,BUILDING,BUILDING,394503.321N,0393234.653E,4083.9,24.60,NO INFO,,NO,,,,
LTCD122,BUILDING,BUILDING,394500.860N,0393233.427E,4071.0,14.76,NO INFO,,NO,,,,
LTCD123,BUILDING,BUILDING,394502.730N,0393234.273E,4083.0,24.60,NO INFO,,NO,,,,
LTCD124,BUILDING,BUILDING,394459.835N,0393232.782E,4069.3,14.76,NO INFO,,NO,,,,
LTCD125,BUILDING,BUILDING,394504.480N,0393234.991E,4085.6,24.60,NO INFO,,NO,,,,
LTCD126,BUILDING,BUILDING,394509.113N,0393237.189E,4081.1,14.76,NO INFO,,NO,,,,
LTCD127,BUILDING,BUILDING,394508.088N,0393236.633E,4090.0,24.60,NO INFO,,NO,,,,
LTCD128,BUILDING,BUILDING,394501.754N,0393233.513E,4081.7,24.60,NO INFO,,NO,,,,
LTCD129,BUILDING,BUILDING,394509.499N,0393237.286E,4081.5,14.76,NO INFO,,NO,,,,
LTCD130,BUILDING,BUILDING,394508.703N,0393236.889E,4090.7,24.60,NO INFO,,NO,,,,
LTCD131,BUILDING,BUILDING,394504.155N,0393234.613E,4075.3,14.76,NO INFO,,NO,,,,
LTCD132,BUILDING,BUILDING,394505.157N,0393235.044E,4086.4,24.60,NO INFO,,NO,,,,
LTCD133,BUILDING,BUILDING,394503.335N,0393234.136E,4074.0,14.76,NO INFO,,NO,,,,
LTCD134,BUILDING,BUILDING,394501.405N,0393233.134E,4071.4,14.76,NO INFO,,NO,,,,
LTCD135,BUILDING,BUILDING,394500.906N,0393232.828E,4070.9,14.76,NO INFO,,NO,,,,
LTCD136,BUILDING,BUILDING,394511.696N,0393238.034E,4095.2,24.60,NO INFO,,NO,,,,
LTCD137,BUILDING,BUILDING,394506.292N,0393235.397E,4087.7,24.60,NO INFO,,NO,,,,
LTCD138,BUILDING,BUILDING,394509.911N,0393237.149E,4091.7,24.60,NO INFO,,NO,,,,
LTCD139,BUILDING,BUILDING,394505.508N,0393234.858E,4076.9,14.76,NO INFO,,NO,,,,
LTCD140,BUILDING,BUILDING,394500.286N,0393232.298E,4070.1,14.76,NO INFO,,NO,,,,
LTCD141,BUILDING,BUILDING,394506.920N,0393235.496E,4088.5,24.60,NO INFO,,NO,,,,
LTCD142,BUILDING,BUILDING,394410.395N,0393207.905E,3947.4,24.60,NO INFO,,NO,,,,
