Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTFJ166,TREE,TREE,405517.85N,0292642.97E,693.47,13.23,NO,,NO
LTFJ167,TREE,TREE,405404.16N,0291801.89E,376.69,51.87,NO,,NO
LTFJ168,TREE,TREE,405450.24N,0292455.22E,619.06,51.45,NO,,NO
LTFJ169,TREE,TREE,405453.97N,0292510.78E,666.93,19.40,NO,,NO
LTFJ170,TREE,TREE,405445.74N,0292424.49E,582.31,50.79,NO,,NO
LTFJ171,TREE,TREE,405447.85N,0292447.35E,621.09,21.88,NO,,NO
LTFJ172,TREE,TREE,405453.18N,0292503.25E,651.80,35.22,NO,,NO
LTFJ173,TREE,TREE,405436.86N,0292149.22E,446.18,83.27,NO,,NO
LTFJ174,TREE,TREE,405353.46N,0291747.39E,379.28,44.62,NO,,NO
LTFJ175,TREE,TREE,405407.95N,0291810.72E,370.65,52.70,NO,,NO
LTFJ176,TREE,TREE,405355.86N,0291738.60E,381.45,36.85,NO,,NO
LTFJ177,TREE,TREE,405443.12N,0292140.79E,404.84,40.48,NO,,NO
LTFJ178,TREE,TREE,405437.47N,0292139.56E,404.25,53.21,NO,,NO
LTFJ179,TREE,TREE,405343.16N,0291701.12E,330.04,40.60,NO,,NO
LTFJ180,TREE,TREE,405347.80N,0291724.64E,315.83,32.03,NO,,NO
LTFJ181,TREE,TREE,405345.46N,0291720.93E,324.72,46.83,NO,,NO
LTFJ182,TREE,TREE,405435.91N,0292352.46E,667.49,24.24,NO,,NO
LTFJ183,TREE,TREE,405428.17N,0292310.49E,678.12,22.89,NO,,NO
LTFJ184,TREE,TREE,405439.61N,0292400.71E,626.44,16.68,NO,,NO
LTFJ185,TREE,TREE,405431.92N,0292332.84E,760.24,34.24,NO,,NO
LTFJ186,TREE,TREE,405441.05N,0292407.16E,641.37,35.87,NO,,NO
LTFJ187,TREE,TREE,405427.77N,0292317.76E,686.88,22.64,NO,,NO
LTFJ188,TREE,TREE,405433.91N,0292343.39E,700.36,28.67,NO,,NO
LTFJ189,TREE,TREE,405431.17N,0292325.13E,752.63,42.54,NO,,NO
LTFJ190,TREE,TREE,405614.56N,0292345.46E,560.85,56.74,NO,,NO
LTFJ191,TREE,TREE,405633.33N,0292353.71E,600.32,32.71,NO,,NO
LTFJ192,TREE,TREE,405615.98N,0292355.26E,585.26,72.75,NO,,NO
LTFJ193,TREE,TREE,405540.14N,0292358.23E,564.00,101.28,NO,,NO
LTFJ194,TREE,TREE,405546.03N,0292301.52E,518.63,39.47,NO,,NO
LTFJ195,TREE,TREE,405553.32N,0292259.33E,534.02,45.94,NO,,NO
LTFJ196,TREE,TREE,405608.55N,0292349.83E,597.60,56.93,NO,,NO
LTFJ197,TREE,TREE,405613.17N,0292600.37E,674.80,47.14,NO,,NO
LTFJ198,TREE,TREE,405519.12N,0292414.94E,546.35,57.48,NO,,NO
LTFJ199,TREE,TREE,405609.69N,0292530.41E,644.09,28.27,NO,,NO
LTFJ200,TREE,TREE,405512.26N,0292425.00E,571.75,72.98,NO,,NO
LTFJ201,TREE,TREE,405508.43N,0292426.95E,553.11,47.35,NO,,NO
LTFJ202,TREE,TREE,405500.05N,0292433.20E,593.96,69.73,NO,,NO
LTFJ203,TREE,TREE,405515.01N,0292420.99E,555.54,60.11,NO,,NO
LTFJ204,TREE,TREE,405528.69N,0292408.55E,555.67,79.90,NO,,NO
LTFJ205,TREE,TREE,405530.05N,0292413.09E,556.52,31.31,NO,,NO
LTFJ206,TREE,TREE,405459.09N,0292143.47E,414.03,69.28,NO,,NO
LTFJ207,TREE,TREE,405450.18N,0292123.54E,395.07,76.61,NO,,NO
LTFJ208,TREE,TREE,405501.09N,0292026.61E,413.73,15.98,NO,,NO
LTFJ209,TREE,TREE,405539.63N,0292408.53E,603.34,96.50,NO,,NO
LTFJ210,TREE,TREE,405552.32N,0292404.09E,594.88,78.61,NO,,NO
LTFJ211,TREE,TREE,405456.49N,0292022.21E,390.77,7.79,NO,,NO
LTFJ212,TREE,TREE,405509.76N,0292231.26E,485.33,57.24,NO,,NO
LTFJ213,TREE,TREE,405453.43N,0292005.75E,383.29,25.38,NO,,NO
LTFJ214,TREE,TREE,405454.47N,0292154.66E,449.20,50.98,NO,,NO
LTFJ215,TREE,TREE,405442.76N,0292152.01E,430.11,39.51,NO,,NO
LTFJ216,TREE,TREE,405435.52N,0292159.94E,453.63,70.54,NO,,NO
LTFJ217,TREE,TREE,405505.17N,0292151.12E,421.35,35.63,NO,,NO
LTFJ218,TREE,TREE,405448.60N,0292153.14E,464.39,74.23,NO,,NO
LTFJ219,TREE,TREE,405629.25N,0292430.52E,603.34,30.65,NO,,NO
LTFJ220,TREE,TREE,405527.61N,0292300.88E,551.24,80.79,NO,,NO
LTFJ221,TREE,TREE,405527.96N,0292354.30E,566.01,73.86,NO,,NO
LTFJ222,TREE,TREE,405619.99N,0292449.17E,613.09,20.57,NO,,NO
LTFJ223,TREE,TREE,405553.14N,0292409.59E,601.77,66.91,NO,,NO
LTFJ224,TREE,TREE,405618.61N,0292410.57E,621.42,61.70,NO,,NO
LTFJ225,TREE,TREE,405635.59N,0292410.39E,597.31,32.20,NO,,NO
LTFJ226,TREE,TREE,405619.84N,0292402.04E,573.75,36.07,NO,,NO
LTFJ227,TREE,TREE,405440.46N,0292222.03E,500.16,66.72,NO,,NO
LTFJ228,TREE,TREE,405428.40N,0292209.25E,470.00,13.80,NO,,NO
LTFJ229,TREE,TREE,405435.84N,0292211.30E,496.12,92.56,NO,,NO
LTFJ230,TREE,TREE,405437.67N,0292214.89E,482.64,74.64,NO,,NO
LTFJ231,TREE,TREE,405421.42N,0292225.03E,564.73,35.10,NO,,NO
LTFJ232,TREE,TREE,405421.83N,0292217.63E,520.24,40.01,NO,,NO
LTFJ233,TREE,TREE,405419.47N,0292213.17E,511.05,36.68,NO,,NO
LTFJ234,TREE,TREE,405443.68N,0292216.89E,470.86,23.40,NO,,NO
LTFJ235,TREE,TREE,405442.51N,0292208.96E,480.90,37.35,NO,,NO
LTFJ236,TREE,TREE,405442.14N,0292209.08E,480.90,42.32,NO,,NO
LTFJ237,TREE,TREE,405442.96N,0292225.78E,488.93,25.36,NO,,NO
LTFJ238,TREE,TREE,405438.37N,0292225.42E,486.08,56.27,NO,,NO
LTFJ239,TREE,TREE,405433.91N,0292205.58E,468.85,72.84,NO,,NO
LTFJ240,TREE,TREE,405425.71N,0292200.14E,429.81,15.80,NO,,NO
LTFJ241,TREE,TREE,405435.65N,0292220.88E,487.79,28.55,NO,,NO
LTFJ242,TREE,TREE,405429.51N,0292220.60E,560.43,54.28,NO,,NO
LTFJ243,TREE,TREE,405440.97N,0292157.20E,440.15,35.89,NO,,NO
LTFJ244,TREE,TREE,405440.85N,0292157.40E,440.15,35.72,NO,,NO
LTFJ245,TREE,TREE,405431.03N,0292147.67E,417.74,32.20,NO,,NO
LTFJ246,TREE,TREE,405447.30N,0292157.93E,476.47,61.93,NO,,NO
LTFJ247,TREE,TREE,405428.56N,0292154.36E,436.11,36.67,NO,,NO
LTFJ248,TREE,TREE,405426.03N,0292214.70E,512.79,26.67,NO,,NO
LTFJ249,TREE,TREE,405427.86N,0292225.42E,556.42,26.49,NO,,NO
LTFJ250,TREE,TREE,405419.77N,0292232.49E,580.80,39.44,NO,,NO
LTFJ251,TREE,TREE,405421.48N,0292246.88E,585.69,29.37,NO,,NO
LTFJ252,TREE,TREE,405408.26N,0292149.53E,430.66,57.39,NO,,NO
LTFJ253,TREE,TREE,405414.96N,0292218.97E,517.09,24.38,NO,,NO
LTFJ254,TREE,TREE,405414.89N,0292223.79E,527.42,43.25,NO,,NO
LTFJ255,TREE,TREE,405414.33N,0292208.50E,474.01,15.34,NO,,NO
LTFJ256,TREE,TREE,405510.92N,0292617.26E,750.46,36.90,NO,,NO
LTFJ257,TREE,TREE,405510.03N,0292604.49E,748.46,29.35,NO,,NO
LTFJ258,TREE,TREE,405424.90N,0292304.00E,625.72,29.00,NO,,NO
LTFJ259,TREE,TREE,405419.96N,0292237.85E,574.47,51.44,NO,,NO
LTFJ260,TREE,TREE,405421.99N,0292255.30E,615.97,39.23,NO,,NO
LTFJ261,TREE,TREE,405413.30N,0292157.08E,443.30,33.17,NO,,NO
LTFJ262,TREE,TREE,405419.62N,0292127.20E,380.99,47.66,NO,,NO
LTFJ263,TREE,TREE,405415.20N,0292147.67E,405.70,34.55,NO,,NO
LTFJ264,TREE,TREE,405442.41N,0292115.90E,393.06,70.59,NO,,NO
LTFJ265,TREE,TREE,405425.50N,0292144.22E,396.94,27.77,NO,,NO
LTFJ266,TREE,TREE,405406.33N,0292132.75E,375.41,33.51,NO,,NO
LTFJ267,TREE,TREE,405419.47N,0292203.73E,466.69,26.60,NO,,NO
LTFJ268,TREE,TREE,405422.00N,0292146.47E,395.92,27.36,NO,,NO
LTFJ269,TREE,TREE,405422.35N,0292156.30E,445.03,41.34,NO,,NO
LTFJ270,TREE,TREE,405404.66N,0292111.04E,375.84,33.66,NO,,NO
LTFJ271,TREE,TREE,405405.41N,0292141.90E,391.92,35.08,NO,,NO
LTFJ272,TREE,TREE,405400.39N,0292109.80E,371.80,33.86,NO,,NO
LTFJ273,TREE,TREE,405413.17N,0292100.64E,382.43,47.77,NO,,NO
LTFJ274,TREE,TREE,405411.12N,0292106.71E,374.69,25.62,NO,,NO
LTFJ275,TREE,TREE,405411.43N,0292120.23E,378.69,31.11,NO,,NO
LTFJ276,TREE,TREE,405406.64N,0292103.68E,391.62,43.86,NO,,NO
LTFJ277,TREE,TREE,405518.82N,0292308.79E,608.92,24.90,NO,,NO
LTFJ278,TREE,TREE,405521.06N,0292302.61E,577.92,77.82,NO,,NO
LTFJ279,TREE,TREE,405513.62N,0292253.45E,575.62,19.81,NO,,NO
LTFJ280,TREE,TREE,405526.57N,0292306.50E,533.13,22.82,NO,,NO
LTFJ281,TREE,TREE,405522.34N,0292312.40E,603.77,74.22,NO,,NO
LTFJ282,TREE,TREE,405512.12N,0292304.42E,589.69,54.89,NO,,NO
LTFJ283,TREE,TREE,405526.69N,0292254.86E,521.38,21.97,NO,,NO
LTFJ284,TREE,TREE,405454.83N,0292253.32E,573.06,38.56,NO,,NO
LTFJ285,TREE,TREE,405449.36N,0292311.61E,658.89,36.53,NO,,NO
LTFJ286,TREE,TREE,405502.67N,0292302.98E,627.88,29.12,NO,,NO
LTFJ287,TREE,TREE,405503.58N,0292311.50E,617.55,16.87,NO,,NO
LTFJ288,TREE,TREE,405455.03N,0292310.56E,660.04,14.52,NO,,NO
LTFJ289,TREE,TREE,405534.55N,0292329.20E,630.61,13.22,NO,,NO
LTFJ290,TREE,TREE,405534.16N,0292323.30E,615.12,24.32,NO,,NO
LTFJ291,TREE,TREE,405552.29N,0292316.95E,576.05,59.65,NO,,NO
LTFJ292,TREE,TREE,405534.29N,0292302.46E,510.03,27.67,NO,,NO
LTFJ293,TREE,TREE,405604.63N,0292304.25E,553.37,25.59,NO,,NO
LTFJ294,TREE,TREE,405600.19N,0292311.29E,576.05,47.74,NO,,NO
LTFJ295,TREE,TREE,405556.39N,0292252.28E,519.64,20.87,NO,,NO
LTFJ296,TREE,TREE,405606.43N,0292253.79E,535.59,26.84,NO,,NO
LTFJ297,TREE,TREE,405544.18N,0292324.65E,623.13,45.42,NO,,NO
LTFJ298,TREE,TREE,405542.80N,0292329.53E,647.54,53.13,NO,,NO
LTFJ299,TREE,TREE,405540.16N,0292326.53E,621.13,17.74,NO,,NO
LTFJ300,TREE,TREE,405541.77N,0292320.54E,619.68,42.92,NO,,NO
LTFJ301,TREE,TREE,405509.36N,0292249.83E,572.47,13.78,NO,,NO
LTFJ302,TREE,TREE,405513.97N,0292232.27E,487.06,24.18,NO,,NO
LTFJ303,TREE,TREE,405519.51N,0292252.59E,568.89,34.10,NO,,NO
LTFJ304,TREE,TREE,405514.94N,0292240.23E,559.12,20.99,NO,,NO
LTFJ305,TREE,TREE,405519.73N,0292246.19E,559.12,60.92,NO,,NO
LTFJ306,TREE,TREE,405512.08N,0292311.12E,627.03,28.56,NO,,NO
LTFJ307,TREE,TREE,405516.34N,0292257.90E,573.06,12.90,NO,,NO
LTFJ308,TREE,TREE,405508.48N,0292255.96E,583.66,23.16,NO,,NO
LTFJ309,TREE,TREE,405536.98N,0292249.06E,520.66,21.01,NO,,NO
LTFJ310,TREE,TREE,405522.86N,0292243.45E,498.97,18.66,NO,,NO
LTFJ311,TREE,TREE,405530.34N,0292239.11E,474.14,14.38,NO,,NO
LTFJ312,TREE,TREE,405533.27N,0292247.70E,512.33,22.80,NO,,NO
LTFJ313,TREE,TREE,405540.61N,0292305.19E,532.70,28.83,NO,,NO
LTFJ314,TREE,TREE,405529.96N,0292314.69E,557.11,23.92,NO,,NO
LTFJ315,TREE,TREE,405534.19N,0292314.41E,566.01,21.08,NO,,NO
LTFJ316,TREE,TREE,405536.56N,0292309.64E,572.60,47.83,NO,,NO
LTFJ317,TREE,TREE,405532.52N,0292253.85E,509.44,14.21,NO,,NO
LTFJ318,TREE,TREE,405541.61N,0292312.50E,575.19,27.87,NO,,NO
LTFJ319,TREE,TREE,405546.35N,0292307.98E,542.19,16.82,NO,,NO
LTFJ320,TREE,TREE,405520.63N,0292234.68E,518.50,22.13,NO,,NO
LTFJ321,TREE,TREE,405451.44N,0292235.55E,542.32,27.20,NO,,NO
LTFJ322,TREE,TREE,405449.28N,0292231.79E,538.87,36.78,NO,,NO
LTFJ323,TREE,TREE,405505.61N,0292242.84E,530.28,48.55,NO,,NO
LTFJ324,TREE,TREE,405447.70N,0292250.95E,624.44,40.42,NO,,NO
LTFJ325,TREE,TREE,405445.78N,0292241.44E,566.43,21.82,NO,,NO
LTFJ326,TREE,TREE,405445.77N,0292304.89E,662.76,23.98,NO,,NO
LTFJ327,TREE,TREE,405457.63N,0292303.08E,653.58,34.11,NO,,NO
LTFJ328,TREE,TREE,405450.77N,0292305.93E,655.58,64.14,NO,,NO
LTFJ329,TREE,TREE,405448.37N,0292257.71E,627.72,24.55,NO,,NO
LTFJ330,TREE,TREE,405501.95N,0292233.61E,537.46,28.08,NO,,NO
LTFJ331,TREE,TREE,405453.12N,0292241.65E,538.87,26.15,NO,,NO
LTFJ332,TREE,TREE,405457.39N,0292250.29E,574.77,53.08,NO,,NO
LTFJ333,TREE,TREE,405459.16N,0292242.99E,552.95,20.70,NO,,NO
LTFJ334,TREE,TREE,405445.79N,0292231.35E,531.13,32.32,NO,,NO
