Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group,
LTCM354,BUILDING,BUILDING,415918.777N,0350600.830E,184,54,NO,,NO,
LTCM355,BUILDING,BUILDING,415918.893N,0350601.724E,186,54,NO,,NO,
LTCM356,BUILDING,BUILDING,415919.021N,0350602.606E,190,54,NO,,NO,
LTCM357,BUILDING,BUILDING,415920.763N,0350605.876E,196,44,NO,,NO,
LTCM358,BUILDING,BUILDING,415902.616N,0350234.801E,380,34,NO,,NO,
LTCM359,BUILDING,BUILDING,415909.423N,0350240.826E,411,34,NO,,NO,
LTCM360,BUILDING,BUILDING,415842.762N,0350249.937E,352,34,NO,,NO,
LTCM361,BUILDING,BUILDING,415843.511N,0350250.626E,342,34,NO,,NO,
LTCM362,BUILDING,BUILDING,420020.319N,0350453.262E,294,44,NO,,NO,
LTCM363,BUILDING,BUILDING,420020.111N,0350455.439E,302,44,NO,,NO,
LTCM364,BUILDING,BUILDING,420016.164N,0350437.714E,214,34,NO,,NO,
LTCM365,BUILDING,BUILDING,420016.527N,0350440.344E,226,34,NO,,NO,
LTCM366,BUILDING,BUILDING,420015.385N,0350440.264E,255,54,NO,,NO,
LTCM367,BUILDING,BUILDING,420015.191N,0350438.021E,243,54,NO,,NO,
LTCM368,BUILDING,BUILDING,420014.348N,0350437.881E,241,44,NO,,NO,
LTCM369,BUILDING,BUILDING,420014.499N,0350440.486E,255,44,NO,,NO,
LTCM370,BUILDING,BUILDING,420021.117N,0350510.047E,350,44,NO,,NO,
LTCM371,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420017.057N,0350528.663E,369,92,NO,,NO,
LTCM372,HIGH VOLTAGE LINE MAST,TRANSMISSION_LINE,420021.705N,0350519.898E,436,92,NO,,NO,
LTCM373,GSM MAST,POLE,420019.805N,0350513.248E,342,33,NO,,NO,
LTCM374,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420022.142N,0350504.579E,367,72,NO,,NO,
LTCM375,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420022.191N,0350453.779E,301,62,NO,,NO,
LTCM376,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420021.773N,0350440.266E,227,62,NO,,NO,
LTCM377,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420021.281N,0350419.762E,175,72,NO,,NO,
LTCM378,HIGH VOLTAGE LINE MAST,TRANSMISSION_LINE,420005.231N,0350520.205E,252,92,NO,,NO,
LTCM379,HIGH VOLTAGE LINE MAST,TRANSMISSION_LINE,415948.211N,0350507.984E,180,92,NO,,NO,
LTCM380,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415939.068N,0350501.517E,177,92,NO,,NO,
LTCM381,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415940.035N,0350458.314E,184,72,NO,,NO,
LTCM382,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415939.965N,0350459.201E,179,72,NO,,NO,
LTCM383,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415946.726N,0350503.056E,185,72,NO,,NO,
LTCM384,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420005.582N,0350517.101E,226,72,NO,,NO,
LTCM385,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420005.243N,0350515.863E,217,72,NO,,NO,
LTCM386,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420010.768N,0350520.849E,295,72,NO,,NO,
LTCM387,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420011.033N,0350519.950E,298,72,NO,,NO,
LTCM388,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420018.497N,0350526.132E,393,72,NO,,NO,
LTCM389,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,420018.597N,0350525.122E,396,72,NO,,NO,
LTCM390,GSMMAST,POLE,420028.255N,0350608.897E,516,82,NO,,NO,
LTCM391,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415957.295N,0350633.076E,239,62,NO,,NO,
LTCM392,BUILDING,BUILDING,415848.396N,0350242.234E,449,54,NO,,NO,
LTCM393,GSMMAST,POLE,420117.055N,0350740.759E,308,82,NO,,NO,
LTCM394,BUILDING,BUILDING,420019.788N,0350543.493E,267,34,NO,,NO,
LTCM395,MINARET,BUILDING,420023.210N,0350144.286E,259,62,NO,,NO,
LTCM396,MINARET,BUILDING,420106.061N,0350620.470E,222,43,NO,,NO,
LTCM397,GSMMAST,POLE,420115.496N,0350741.406E,312,82,NO,,NO,
LTCM398,BUILDING,BUILDING,420113.920N,0350734.643E,261,64,NO,,NO,
LTCM399,BUILDING,BUILDING,420113.734N,0350732.682E,246,54,NO,,NO,
LTCM400,BUILDING,BUILDING,420106.264N,0350239.695E,171,34,NO,,NO,
LTCM401,BUILDING,BUILDING,420106.841N,0350239.900E,172,34,NO,,NO,
LTCM402,BUILDING,BUILDING,420019.412N,0350640.360E,172,44,NO,,NO,
LTCM403,BUILDING,BUILDING,420018.077N,0350637.709E,177,34,NO,,NO,
LTCM404,MINARET,BUILDING,415911.918N,0350442.290E,296,62,NO,,NO,
LTCM405,BUILDING,BUILDING,415912.090N,0350511.070E,274,44,NO,,NO,
LTCM406,GSMMAST,POLE,415856.912N,0350544.125E,461,112,NO,,NO,
LTCM407,GSMMAST,POLE,415858.218N,0350545.223E,467,121,NO,,NO,
LTCM408,BUILDING,BUILDING,415916.158N,0350554.356E,181,54,NO,,NO,
LTCM409,BUILDING,BUILDING,415916.455N,0350553.686E,183,54,NO,,NO,
LTCM410,BUILDING,BUILDING,415916.808N,0350552.937E,185,54,NO,,NO,
LTCM411,BUILDING,BUILDING,415917.156N,0350552.243E,185,54,NO,,NO,
LTCM412,BUILDING,BUILDING,415917.479N,0350551.457E,185,54,NO,,NO,
LTCM413,BUILDING,BUILDING,415917.782N,0350550.810E,185,54,NO,,NO,
LTCM414,BUILDING,BUILDING,415918.432N,0350550.347E,185,54,NO,,NO,
LTCM415,BUILDING,BUILDING,415919.084N,0350550.078E,185,54,NO,,NO,
LTCM416,BUILDING,BUILDING,415919.673N,0350550.188E,186,54,NO,,NO,
LTCM417,BUILDING,BUILDING,415920.326N,0350550.435E,189,54,NO,,NO,
LTCM418,BUILDING,BUILDING,415920.137N,0350551.843E,179,54,NO,,NO,
LTCM419,BUILDING,BUILDING,415920.731N,0350552.015E,180,54,NO,,NO,
LTCM420,BUILDING,BUILDING,415919.340N,0350551.638E,183,54,NO,,NO,
LTCM421,BUILDING,BUILDING,415918.679N,0350551.691E,184,54,NO,,NO,
LTCM422,BUILDING,BUILDING,415919.145N,0350553.061E,176,54,NO,,NO,
LTCM423,BUILDING,BUILDING,415918.660N,0350553.381E,177,54,NO,,NO,
LTCM424,BUILDING,BUILDING,415917.835N,0350554.132E,175,54,NO,,NO,
LTCM425,BUILDING,BUILDING,415917.924N,0350554.801E,172,54,NO,,NO,
LTCM426,BUILDING,BUILDING,415920.033N,0350553.650E,171,54,NO,,NO,
LTCM427,MINARET,BUILDING,415917.687N,0350559.435E,193,62,NO,,NO,
LTCM428,BUILDING,BUILDING,415920.937N,0350608.305E,196,34,NO,,NO,
LTCM429,BUILDING,BUILDING,415920.945N,0350608.922E,198,34,NO,,NO,
LTCM430,BUILDING,BUILDING,415921.003N,0350609.437E,198,34,NO,,NO,
LTCM431,BUILDING,BUILDING,415921.087N,0350610.122E,198,34,NO,,NO,
LTCM432,BUILDING,BUILDING,415921.101N,0350610.800E,198,34,NO,,NO,
LTCM433,BUILDING,BUILDING,415922.435N,0350608.024E,190,44,NO,,NO,
LTCM434,BUILDING,BUILDING,415922.647N,0350606.076E,182,44,NO,,NO,
LTCM435,BUILDING,BUILDING,415958.245N,0350610.997E,183,34,NO,,NO,
LTCM436,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415947.493N,0350504.530E,173,72,NO,,NO,
LTCM437,BUILDING,BUILDING,415932.599N,0350453.781E,183,94,NO,,NO,
LTCM438,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415857.340N,0350428.417E,331,82,NO,,NO,
LTCM439,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415857.240N,0350429.388E,334,82,NO,,NO,
LTCM440,HIGH VOLTAGE LINE MAST,TRANSMISSION_LINE,415858.289N,0350431.680E,341,82,NO,,NO,
LTCM441,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415910.833N,0350438.485E,283,72,NO,,NO,
LTCM442,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415915.346N,0350441.001E,302,72,NO,,NO,
LTCM443,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415916.883N,0350442.755E,301,72,NO,,NO,
LTCM444,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415916.970N,0350443.467E,298,72,NO,,NO,
LTCM445,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415851.872N,0350428.776E,299,72,NO,,NO,
LTCM446,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415851.595N,0350429.836E,296,72,NO,,NO,
LTCM447,HIGH VOLTAGE LINE MAST,TRANSMISSION_LINE,415851.679N,0350432.322E,305,82,NO,,NO,
