Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group
LTBU177,BUILDING,BUILDING,410936.393N,0275247.100E,722,15,NO INFO,,NO
LTBU178,BUILDING,BUILDING,410935.843N,0275246.291E,732,25,NO INFO,,NO
LTBU179,BUILDING,BUILDING,410936.214N,0275245.918E,722,15,NO INFO,,NO
LTBU180,BUILDING,BUILDING,410938.392N,0275246.969E,730,25,NO INFO,,NO
LTBU181,BUILDING,BUILDING,410938.374N,0275246.011E,730,25,NO INFO,,NO
LTBU182,BUILDING,BUILDING,410942.276N,0275253.287E,730,25,NO INFO,,NO
LTBU183,BUILDING,BUILDING,410943.589N,0275253.713E,730,25,NO INFO,,NO
LTBU184,BUILDING,BUILDING,410941.552N,0275254.193E,730,25,NO INFO,,NO
LTBU185,BUILDING,BUILDING,410939.181N,0275247.679E,730,25,NO INFO,,NO
LTBU186,BUILDING,BUILDING,410938.097N,0275248.190E,721,15,NO INFO,,NO
LTBU187,BUILDING,BUILDING,410938.445N,0275250.365E,730,25,NO INFO,,NO
LTBU188,BUILDING,BUILDING,410939.068N,0275248.663E,730,25,NO INFO,,NO
LTBU189,BUILDING,BUILDING,410940.076N,0275250.931E,720,15,NO INFO,,NO
LTBU190,BUILDING,BUILDING,410935.568N,0275251.690E,726,15,NO INFO,,NO
LTBU191,BUILDING,BUILDING,410935.020N,0275251.905E,728,15,NO INFO,,NO
LTBU192,BUILDING,BUILDING,410935.147N,0275251.206E,727,15,NO INFO,,NO
LTBU193,BUILDING,BUILDING,410935.013N,0275250.435E,727,15,NO INFO,,NO
LTBU194,BUILDING,BUILDING,410935.269N,0275250.501E,726,15,NO INFO,,NO
LTBU195,BUILDING,BUILDING,410933.605N,0275249.145E,736,25,NO INFO,,NO
LTBU196,BUILDING,BUILDING,410933.786N,0275250.848E,728,15,NO INFO,,NO
LTBU197,BUILDING,BUILDING,410932.989N,0275249.209E,726,15,NO INFO,,NO
LTBU198,BUILDING,BUILDING,410932.998N,0275248.934E,726,15,NO INFO,,NO
LTBU199,BUILDING,BUILDING,410932.613N,0275249.193E,726,15,NO INFO,,NO
LTBU200,BUILDING,BUILDING,410932.778N,0275249.071E,726,15,NO INFO,,NO
LTBU201,BUILDING,BUILDING,410932.386N,0275249.031E,735,25,NO INFO,,NO
LTBU202,BUILDING,BUILDING,410933.421N,0275250.249E,727,15,NO INFO,,NO
LTBU203,BUILDING,BUILDING,410933.579N,0275250.086E,727,15,NO INFO,,NO
LTBU204,BUILDING,BUILDING,410929.838N,0275248.910E,725,15,NO INFO,,NO
LTBU205,BUILDING,BUILDING,410929.565N,0275249.988E,736,25,NO INFO,,NO
LTBU206,BUILDING,BUILDING,410929.800N,0275250.642E,727,15,NO INFO,,NO
LTBU207,BUILDING,BUILDING,410927.562N,0275249.330E,723,15,NO INFO,,NO
LTBU208,BUILDING,BUILDING,410926.565N,0275251.979E,726,15,NO INFO,,NO
LTBU209,BUILDING,BUILDING,410927.228N,0275251.857E,727,15,NO INFO,,NO
LTBU210,BUILDING,BUILDING,410926.977N,0275250.824E,735,25,NO INFO,,NO
LTBU211,BUILDING,BUILDING,410927.079N,0275250.539E,725,15,NO INFO,,NO
LTBU212,BUILDING,BUILDING,410927.084N,0275250.000E,724,15,NO INFO,,NO
LTBU213,BUILDING,BUILDING,410926.615N,0275253.134E,728,15,NO INFO,,NO
LTBU214,BUILDING,BUILDING,410927.081N,0275253.369E,729,15,NO INFO,,NO
LTBU215,BUILDING,BUILDING,410925.549N,0275250.084E,722,15,NO INFO,,NO
LTBU216,BUILDING,BUILDING,410925.526N,0275251.587E,724,15,NO INFO,,NO
LTBU217,BUILDING,BUILDING,410925.126N,0275250.553E,722,15,NO INFO,,NO
LTBU218,BUILDING,BUILDING,410923.690N,0275251.775E,721,15,NO INFO,,NO
LTBU219,BUILDING,BUILDING,410924.767N,0275250.488E,722,15,NO INFO,,NO
LTBU220,BUILDING,BUILDING,410922.885N,0275252.060E,720,15,NO INFO,,NO
LTBU221,BUILDING,BUILDING,410926.515N,0275255.129E,741,25,NO INFO,,NO
LTBU222,BUILDING,BUILDING,410928.166N,0275254.227E,752,34,NO INFO,,NO
