Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,
LTAP_812,BUILDING,BUILDING,405202.94N,0352807.52E,2306.44,54.13,NO,,NO,,
LTAP_813,BUILDING,BUILDING,405203.07N,0352808.45E,2301.09,54.13,NO,,NO,,
LTAP_814,BUILDING,BUILDING,405154.07N,0352753.92E,2300.76,34.45,NO,,NO,,
LTAP_815,SILO,BUILDING,405158.92N,0352824.54E,2227.66,29.53,NO,,NO,,
LTAP_816,SILO,BUILDING,405159.34N,0352824.71E,2227.66,29.53,NO,,NO,,
LTAP_817,SILO,BUILDING,405159.79N,0352824.80E,2227.88,29.53,NO,,NO,,
LTAP_818,SILO,BUILDING,405200.20N,0352824.84E,2230.12,29.53,NO,,NO,,
LTAP_819,SILO,BUILDING,405200.21N,0352825.46E,2230.15,29.53,NO,,NO,,
LTAP_820,SILO,BUILDING,405159.72N,0352825.35E,2227.67,29.53,NO,,NO,,
LTAP_821,SILO,BUILDING,405159.34N,0352825.26E,2227.66,29.53,NO,,NO,,
LTAP_822,SILO,BUILDING,405158.86N,0352825.10E,2227.66,29.53,NO,,NO,,
LTAP_823,BUILDING,BUILDING,405200.87N,0352825.00E,2268.50,63.98,NO,,NO,,
LTAP_824,BUILDING,BUILDING,405201.64N,0352825.02E,2263.21,54.13,NO,,NO,,
LTAP_825,MOSQUE,BUILDING,405142.08N,0352836.32E,2199.72,44.29,NO,,NO,,
LTAP_826,MINARET,BUILDING,405142.30N,0352836.49E,2225.18,68.90,NO,,NO,,
LTAP_827,MINARET,BUILDING,405241.86N,0352946.03E,2322.41,49.21,NO,,NO,,
LTAP_828,BUILDING,BUILDING,405215.24N,0352959.06E,2205.46,54.13,NO,,NO,,
LTAP_829,MOSQUE,BUILDING,405218.35N,0353043.47E,2096.19,34.45,NO,,NO,,
LTAP_830,MINARET,BUILDING,405218.44N,0353043.08E,2121.57,59.05,NO,,NO,,
LTAP_831,MINARET,BUILDING,405139.69N,0353052.78E,2018.42,49.21,NO,,NO,,
LTAP_832,BUILDING,BUILDING,405226.52N,0353155.55E,2034.97,54.13,NO,,NO,,
LTAP_833,BUILDING,BUILDING,405224.93N,0353157.05E,2018.11,44.29,NO,,NO,,
LTAP_834,BUILDING,BUILDING,405225.41N,0353156.37E,2010.15,34.45,NO,,NO,,
LTAP_835,BUILDING,BUILDING,405227.77N,0353220.44E,2033.31,54.13,NO,,NO,,
LTAP_836,BUILDING,BUILDING,405227.91N,0353222.46E,2024.19,44.29,NO,,NO,,
LTAP_837,BUILDING,BUILDING,405227.70N,0353221.55E,2013.37,34.45,NO,,NO,,
LTAP_838,SILO,BUILDING,405226.95N,0353224.37E,2003.10,29.53,NO,,NO,,
LTAP_839,SILO,BUILDING,405227.46N,0353224.30E,2005.80,29.53,NO,,NO,,
LTAP_840,SILO,BUILDING,405228.08N,0353224.30E,2009.77,29.53,NO,,NO,,
LTAP_841,MOSQUE,BUILDING,404504.49N,0352123.86E,3207.76,44.29,NO,,NO,,
LTAP_842,MINARET,BUILDING,404504.85N,0352124.02E,3229.70,68.90,NO,,NO,,
LTAP_843,BUILDING,BUILDING,405200.63N,0353202.07E,1945.50,14.76,NO,,NO,,
LTAP_844,BUILDING,BUILDING,405202.79N,0353206.75E,1945.26,14.76,NO,,NO,,
LTAP_845,BUILDING,BUILDING,405202.96N,0353207.42E,1945.06,14.76,NO,,NO,,
