Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,,,
LTBF_130,BUILDING,BUILDING,393721.682N,0275247.676E,555.95,34.45,NO INFO,,NO,,,,
LTBF_131,BUILDING,BUILDING,393721.451N,0275248.728E,548.42,34.45,NO INFO,,NO,,,,
LTBF_132,BUILDING,BUILDING,393720.610N,0275248.315E,549.46,34.45,NO INFO,,NO,,,,
LTBF_133,BUILDING,BUILDING,393720.207N,0275247.728E,549.00,34.45,NO INFO,,NO,,,,
LTBF_134,BUILDING,BUILDING,393718.674N,0275246.957E,544.59,34.45,NO INFO,,NO,,,,
LTBF_135,BUILDING,BUILDING,393719.440N,0275247.363E,547.61,34.45,NO INFO,,NO,,,,
LTBF_136,BUILDING,BUILDING,393719.471N,0275245.768E,550.52,34.45,NO INFO,,NO,,,,
LTBF_137,BUILDING,BUILDING,393720.866N,0275246.029E,557.40,34.45,NO INFO,,NO,,,,
LTBF_138,BUILDING,BUILDING,393720.020N,0275245.741E,553.96,34.45,NO INFO,,NO,,,,
LTBF_139,BUILDING,BUILDING,393720.329N,0275246.029E,565.10,44.29,NO INFO,,NO,,,,
LTBF_140,BUILDING,BUILDING,393726.635N,0275245.613E,576.05,34.45,NO INFO,,NO,,,,
LTBF_141,BUILDING,BUILDING,393723.518N,0275245.150E,590.24,44.29,NO INFO,,NO,,,,
LTBF_142,BUILDING,BUILDING,393723.269N,0275245.659E,576.91,34.45,NO INFO,,NO,,,,
LTBF_143,BUILDING,BUILDING,393723.609N,0275245.754E,577.90,34.45,NO INFO,,NO,,,,
LTBF_144,BUILDING,BUILDING,393723.289N,0275246.397E,580.76,44.29,NO INFO,,NO,,,,
LTBF_145,BUILDING,BUILDING,393724.807N,0275245.875E,595.53,54.13,NO INFO,,NO,,,,
LTBF_146,BUILDING,BUILDING,393725.694N,0275246.208E,579.76,44.29,NO INFO,,NO,,,,
LTBF_147,BUILDING,BUILDING,393725.156N,0275244.596E,583.93,34.45,NO INFO,,NO,,,,
LTBF_148,BUILDING,BUILDING,393725.028N,0275245.044E,580.88,34.45,NO INFO,,NO,,,,
LTBF_149,BUILDING,BUILDING,393724.210N,0275244.606E,585.42,34.45,NO INFO,,NO,,,,
LTBF_150,BUILDING,BUILDING,393729.391N,0275240.251E,655.14,63.98,NO INFO,,NO,,,,
LTBF_151,BUILDING,BUILDING,393729.161N,0275239.367E,662.54,63.98,NO INFO,,NO,,,,
LTBF_152,BUILDING,BUILDING,393729.086N,0275238.210E,673.41,63.98,NO INFO,,NO,,,,
