Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTFO101,BUILDING,BUILDING,411005.50N,0405245.33E,622.61,24.61,NO INFO,,NO
LTFO102,BUILDING,BUILDING,411006.63N,0405244.72E,647.96,24.61,NO INFO,,NO
LTFO103,BUILDING,BUILDING,411004.99N,0405236.10E,612.25,24.61,NO INFO,,NO
LTFO104,BUILDING,BUILDING,411005.35N,0405236.55E,642.08,34.45,NO INFO,,NO
LTFO105,BUILDING,BUILDING,411005.38N,0405237.74E,661.69,24.61,NO INFO,,NO
LTFO106,BUILDING,BUILDING,411005.62N,0405238.29E,685.44,24.61,NO INFO,,NO
LTFO107,BUILDING,BUILDING,411006.71N,0405239.97E,691.49,24.61,NO INFO,,NO
LTFO108,BUILDING,BUILDING,411008.01N,0405240.24E,673.50,24.61,NO INFO,,NO
LTFO109,BUILDING,BUILDING,411006.41N,0405238.22E,707.12,34.45,NO INFO,,NO
LTFO110,BUILDING,BUILDING,411006.28N,0405237.96E,682.03,24.61,NO INFO,,NO
LTFO111,BUILDING,BUILDING,411010.38N,0405238.44E,680.77,24.61,NO INFO,,NO
LTFO112,BUILDING,BUILDING,411009.34N,0405240.05E,690.61,34.45,NO INFO,,NO
LTFO113,BUILDING,BUILDING,411010.04N,0405239.93E,690.61,34.45,NO INFO,,NO
LTFO114,BUILDING,BUILDING,411010.65N,0405237.70E,680.77,24.61,NO INFO,,NO
LTFO115,BUILDING,BUILDING,411012.34N,0405238.34E,661.27,24.61,NO INFO,,NO
LTFO116,BUILDING,BUILDING,411012.00N,0405231.53E,531.10,24.61,NO INFO,,NO
LTFO117,BUILDING,BUILDING,411013.02N,0405231.79E,535.50,24.61,NO INFO,,NO
LTFO118,BUILDING,BUILDING,411013.23N,0405228.50E,445.60,24.61,NO INFO,,NO
LTFO119,BUILDING,BUILDING,411015.23N,0405230.18E,516.73,24.61,NO INFO,,NO
LTFO120,BUILDING,BUILDING,411015.53N,0405227.50E,506.62,34.45,NO INFO,,NO
LTFO121,BUILDING,BUILDING,411014.72N,0405231.14E,526.57,34.45,NO INFO,,NO
LTFO122,BUILDING,BUILDING,411014.50N,0405230.62E,509.16,24.61,NO INFO,,NO
LTFO123,BUILDING,BUILDING,411009.86N,0405225.71E,360.14,24.61,NO INFO,,NO
LTFO124,BUILDING,BUILDING,411011.20N,0405224.35E,369.93,24.61,NO INFO,,NO
LTFO125,BUILDING,BUILDING,411010.32N,0405224.83E,373.78,34.45,NO INFO,,NO
LTFO126,BUILDING,BUILDING,411010.70N,0405224.58E,371.05,24.61,NO INFO,,NO
LTFO127,BUILDING,BUILDING,411011.82N,0405219.63E,305.59,34.45,NO INFO,,NO
LTFO128,BUILDING,BUILDING,411011.86N,0405220.00E,303.06,24.61,NO INFO,,NO
LTFO129,BUILDING,BUILDING,411011.64N,0405218.78E,286.35,24.61,NO INFO,,NO
LTFO130,BUILDING,BUILDING,411011.51N,0405219.29E,288.31,24.61,NO INFO,,NO
LTFO131,BUILDING,BUILDING,411011.57N,0405218.44E,276.38,24.61,NO INFO,,NO
LTFO132,BUILDING,BUILDING,411011.26N,0405222.64E,344.72,24.61,NO INFO,,NO
LTFO133,BUILDING,BUILDING,411011.49N,0405222.31E,342.85,24.61,NO INFO,,NO
LTFO134,BUILDING,BUILDING,411014.56N,0405216.45E,254.26,24.61,NO INFO,,NO
LTFO135,BUILDING,BUILDING,411014.73N,0405216.14E,254.26,24.61,NO INFO,,NO
LTFO136,BUILDING,BUILDING,411015.39N,0405216.02E,244.81,24.61,NO INFO,,NO
LTFO137,BUILDING,BUILDING,411014.98N,0405215.80E,247.69,24.61,NO INFO,,NO
LTFO138,BUILDING,BUILDING,411015.46N,0405215.28E,239.14,24.61,NO INFO,,NO
LTFO139,BUILDING,BUILDING,411017.35N,0405215.14E,221.45,24.61,NO INFO,,NO
LTFO140,BUILDING,BUILDING,411018.37N,0405214.75E,217.54,24.61,NO INFO,,NO
LTFO141,BUILDING,BUILDING,411017.99N,0405214.73E,221.45,24.61,NO INFO,,NO
LTFO142,BUILDING,BUILDING,411016.90N,0405214.92E,221.45,24.61,NO INFO,,NO
LTFO143,BUILDING,BUILDING,411033.89N,0405208.20E,216.39,24.61,NO INFO,,NO
LTFO144,BUILDING,BUILDING,411034.42N,0405210.54E,248.25,24.61,NO INFO,,NO
LTFO145,BUILDING,BUILDING,411034.65N,0405209.58E,252.75,24.61,NO INFO,,NO
LTFO146,BUILDING,BUILDING,411034.56N,0405208.79E,251.59,34.45,NO INFO,,NO
LTFO147,BUILDING,BUILDING,411036.02N,0405209.23E,243.78,34.45,NO INFO,,NO
LTFO148,BUILDING,BUILDING,411036.54N,0405208.98E,206.45,34.45,NO INFO,,NO
LTFO149,BUILDING,BUILDING,411035.82N,0405210.42E,263.91,24.61,NO INFO,,NO
LTFO150,BUILDING,BUILDING,411036.28N,0405208.69E,206.11,34.45,NO INFO,,NO
LTFO151,BUILDING,BUILDING,411037.35N,0405211.27E,264.25,34.45,NO INFO,,NO
LTFO152,BUILDING,BUILDING,411037.89N,0405211.38E,245.91,24.61,NO INFO,,NO
LTFO153,BUILDING,BUILDING,411037.27N,0405212.91E,284.70,24.61,NO INFO,,NO
LTFO154,BUILDING,BUILDING,411036.63N,0405213.62E,290.54,24.61,NO INFO,,NO
LTFO155,BUILDING,BUILDING,411036.28N,0405211.54E,284.52,34.45,NO INFO,,NO
LTFO156,BUILDING,BUILDING,411036.87N,0405212.45E,281.71,24.61,NO INFO,,NO
LTFO157,BUILDING,BUILDING,411036.56N,0405212.52E,287.07,24.61,NO INFO,,NO
LTFO158,BUILDING,BUILDING,411035.37N,0405215.32E,329.72,34.45,NO INFO,,NO
LTFO159,BUILDING,BUILDING,411034.66N,0405219.32E,383.04,34.45,NO INFO,,NO
LTFO160,BUILDING,BUILDING,411033.28N,0405220.59E,395.18,24.61,NO INFO,,NO
LTFO161,BUILDING,BUILDING,411033.19N,0405222.61E,431.04,24.61,NO INFO,,NO
