Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFG229,BUILDING,BUILDING,361843.028N,0321855.308E,257.51,24.61,NO INFO,,NO,
LTFG230,GREENHOUSE,BUILDING,361846.321N,0321900.452E,245.18,14.76,NO INFO,,NO,
LTFG231,GREENHOUSE,BUILDING,361847.610N,0321900.652E,252.02,14.76,NO INFO,,NO,
LTFG232,GREENHOUSE,BUILDING,361845.846N,0321903.758E,239.63,14.76,NO INFO,,NO,
LTFG233,MOSQUE,BUILDING,361849.372N,0321902.865E,254.28,24.61,NO INFO,,NO,
LTFG234,BUILDING,BUILDING,361847.218N,0321901.505E,250.85,24.61,NO INFO,,NO,
LTFG235,BUILDING,BUILDING,361850.274N,0321902.791E,254.28,24.61,NO INFO,,NO,
LTFG236,BUILDING,BUILDING,361854.635N,0321903.390E,238.20,24.61,NO INFO,,NO,
LTFG237,BUILDING,BUILDING,361855.791N,0321904.666E,248.83,24.61,NO INFO,,NO,
LTFG238,BUILDING,BUILDING,361857.095N,0321913.157E,358.71,34.45,NO INFO,,NO,
LTFG239,BUILDING,BUILDING,361916.658N,0321905.673E,241.79,24.61,NO INFO,,NO,
LTFG240,BUILDING,BUILDING,361916.542N,0321856.561E,258.35,24.61,NO INFO,,NO,
LTFG241,BUILDING,BUILDING,361912.602N,0321854.633E,250.10,24.61,NO INFO,,NO,
LTFG242,BUILDING,BUILDING,361909.776N,0321852.277E,261.25,24.61,NO INFO,,NO,
LTFG243,BUILDING,BUILDING,361909.385N,0321852.425E,251.90,24.61,NO INFO,,NO,
LTFG244,BUILDING,BUILDING,361908.454N,0321851.686E,251.67,24.61,NO INFO,,NO,
LTFG245,GREENHOUSE,BUILDING,361907.842N,0321843.531E,251.90,14.76,NO INFO,,NO,
LTFG246,BUILDING,BUILDING,361907.199N,0321851.123E,242.25,24.61,NO INFO,,NO,
LTFG247,BUILDING,BUILDING,361915.072N,0321855.816E,252.45,24.61,NO INFO,,NO,
LTFG248,BUILDING,BUILDING,361915.417N,0321806.460E,255.83,24.61,NO INFO,,NO,
LTFG249,BUILDING,BUILDING,361913.711N,0321806.727E,259.17,24.61,NO INFO,,NO,
LTFG250,BUILDING,BUILDING,361922.648N,0321830.659E,251.96,24.61,NO INFO,,NO,
LTFG251,BUILDING,BUILDING,361947.541N,0321847.617E,242.69,14.76,NO INFO,,NO,
LTFG252,GREENHOUSE,BUILDING,361953.423N,0321846.305E,247.45,14.76,NO INFO,,NO,
LTFG253,BUILDING,BUILDING,361936.139N,0321815.538E,261.71,24.61,NO INFO,,NO,
LTFG254,BUILDING,BUILDING,361858.040N,0321740.087E,245.13,24.61,NO INFO,,NO,
LTFG255,BUILDING,BUILDING,361900.729N,0321746.642E,243.80,24.61,NO INFO,,NO,
LTFG256,BUILDING,BUILDING,361900.477N,0321745.636E,244.43,14.76,NO INFO,,NO,
LTFG257,BUILDING,BUILDING,361853.682N,0321903.435E,256.74,34.45,NO INFO,,NO,
LTFG258,BUILDING,BUILDING,361833.502N,0321809.146E,247.72,34.45,NO INFO,,NO,
LTFG259,BUILDING,BUILDING,361837.221N,0321811.858E,260.12,34.45,NO INFO,,NO,
LTFG260,BUILDING,BUILDING,361835.644N,0321917.760E,363.19,34.45,NO INFO,,NO,
LTFG261,BUILDING,BUILDING,361910.706N,0321853.109E,260.48,24.61,NO INFO,,NO,
LTFG262,BUILDING,BUILDING,361910.089N,0321846.572E,245.90,34.45,NO INFO,,NO,
LTFG263,BUILDING,BUILDING,361909.438N,0321847.660E,252.16,24.61,NO INFO,,NO,
LTFG264,BUILDING,BUILDING,361907.828N,0321851.046E,242.95,14.76,NO INFO,,NO,
LTFG265,BUILDING,BUILDING,361850.583N,0321913.992E,303.19,34.45,NO INFO,,NO,
LTFG266,BUILDING,BUILDING,361849.472N,0321911.200E,281.46,34.45,NO INFO,,NO,
LTFG267,BUILDING,BUILDING,361833.120N,0321804.157E,240.62,14.76,NO INFO,,NO,
LTFG268,BUILDING,BUILDING,361842.411N,0321853.276E,254.28,24.61,NO INFO,,NO,
LTFG269,TRANSFORMER,BUILDING,361932.901N,0321917.190E,416.25,82.03,NO INFO,,NO,
LTFG270,BUILDING,BUILDING,361824.811N,0321606.765E,246.61,34.45,NO INFO,,NO,
LTFG271,BUILDING,BUILDING,361825.383N,0321607.237E,256.90,24.61,NO INFO,,NO,
LTFG272,BUILDING,BUILDING,361826.477N,0321603.513E,244.46,24.61,NO INFO,,NO,
LTFG273,BUILDING,BUILDING,361826.817N,0321602.732E,250.48,24.61,NO INFO,,NO,
LTFG274,GREENHOUSE,BUILDING,361827.421N,0321601.898E,244.43,14.76,NO INFO,,NO,
LTFG275,BUILDING,BUILDING,361825.118N,0321610.425E,250.65,14.76,NO INFO,,NO,
LTFG276,BUILDING,BUILDING,361946.068N,0321400.764E,574.67,34.45,NO INFO,,NO,
LTFG277,BUILDING,BUILDING,361941.921N,0321410.673E,498.79,34.45,NO INFO,,NO,
LTFG278,BUILDING,BUILDING,361941.909N,0321410.896E,493.32,24.61,NO INFO,,NO,
LTFG279,GREENHOUSE,BUILDING,361922.908N,0321418.611E,408.48,14.76,NO INFO,,NO,
LTFG280,GREENHOUSE,BUILDING,361922.727N,0321418.390E,408.48,14.76,NO INFO,,NO,
LTFG281,BUILDING,BUILDING,361904.903N,0321441.196E,290.61,14.76,NO INFO,,NO,
LTFG282,GREENHOUSE,BUILDING,361852.534N,0321504.573E,244.44,14.76,NO INFO,,NO,
LTFG283,BUILDING,BUILDING,362045.762N,0321600.472E,596.04,34.45,NO INFO,,NO,
LTFG284,BUILDING,BUILDING,362053.398N,0321555.384E,584.94,34.45,NO INFO,,NO,
LTFG285,BUILDING,BUILDING,362053.419N,0321554.622E,570.00,34.45,NO INFO,,NO,
LTFG286,TRANSFORMER,BUILDING,361900.966N,0321554.240E,1059.63,82.03,NO INFO,,NO,
LTFG287,TRANSFORMER,BUILDING,361848.170N,0321606.374E,847.03,82.03,NO INFO,,NO,
LTFG288,BUILDING,BUILDING,361458.414N,0321903.887E,514.00,24.61,NO INFO,,NO,
