Obstacle Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Colour of Lighting,Group,,,,
LTCI_212,TREE,TREE,382845.38N,0432040.44E,5487,12,NO INFO,,NO,,,,
LTCI_213,TREE,TREE,382845.13N,0432040.47E,5488,14,NO INFO,,NO,,,,
LTCI_214,TREE,TREE,382844.91N,0432040.52E,5490,16,NO INFO,,NO,,,,
LTCI_215,TREE,TREE,382844.93N,0432040.87E,5490,15,NO INFO,,NO,,,,
LTCI_216,TREE,TREE,382845.11N,0432040.80E,5487,13,NO INFO,,NO,,,,
LTCI_217,TREE,TREE,382845.22N,0432040.83E,5491,16,NO INFO,,NO,,,,
LTCI_218,TREE,TREE,382844.92N,0432041.15E,5489,14,NO INFO,,NO,,,,
LTCI_219,TREE,TREE,382845.00N,0432041.16E,5490,15,NO INFO,,NO,,,,
LTCI_220,TREE,TREE,382845.16N,0432041.36E,5488,13,NO INFO,,NO,,,,
LTCI_221,TREE,TREE,382845.24N,0432041.39E,5490,15,NO INFO,,NO,,,,
LTCI_222,TREE,TREE,382845.44N,0432041.39E,5488,13,NO INFO,,NO,,,,
LTCI_223,TREE,TREE,382845.39N,0432041.06E,5488,13,NO INFO,,NO,,,,
LTCI_224,TREE,TREE,382845.41N,0432041.67E,5490,15,NO INFO,,NO,,,,
LTCI_225,TREE,TREE,382844.81N,0432041.98E,5495,20,NO INFO,,NO,,,,
LTCI_226,TREE,TREE,382844.54N,0432041.78E,5494,19,NO INFO,,NO,,,,
LTCI_227,TREE,TREE,382844.57N,0432042.00E,5492,15,NO INFO,,NO,,,,
LTCI_228,TREE,TREE,382844.60N,0432042.33E,5496,19,NO INFO,,NO,,,,
LTCI_229,TREE,TREE,382844.36N,0432042.35E,5497,20,NO INFO,,NO,,,,
LTCI_230,TREE,TREE,382844.80N,0432042.51E,5500,23,NO INFO,,NO,,,,
LTCI_231,TREE,TREE,382845.04N,0432042.58E,5492,16,NO INFO,,NO,,,,
LTCI_232,TREE,TREE,382845.06N,0432042.25E,5493,17,NO INFO,,NO,,,,
LTCI_233,TREE,TREE,382844.98N,0432042.28E,5492,16,NO INFO,,NO,,,,
LTCI_234,TREE,TREE,382845.27N,0432042.57E,5492,15,NO INFO,,NO,,,,
LTCI_235,TREE,TREE,382845.28N,0432041.96E,5491,15,NO INFO,,NO,,,,
LTCI_236,TREE,TREE,382845.47N,0432042.27E,5491,15,NO INFO,,NO,,,,
LTCI_237,TREE,TREE,382845.67N,0432041.89E,5489,14,NO INFO,,NO,,,,
LTCI_238,TREE,TREE,382845.90N,0432041.85E,5497,22,NO INFO,,NO,,,,
LTCI_239,TREE,TREE,382845.95N,0432042.21E,5490,14,NO INFO,,NO,,,,
LTCI_240,TREE,TREE,382846.34N,0432042.14E,5492,17,NO INFO,,NO,,,,
LTCI_241,TREE,TREE,382846.57N,0432042.16E,5491,16,NO INFO,,NO,,,,
LTCI_242,TREE,TREE,382846.39N,0432042.33E,5490,15,NO INFO,,NO,,,,
LTCI_243,TREE,TREE,382843.89N,0432042.02E,5509,32,NO INFO,,NO,,,,
LTCI_244,TREE,TREE,382843.93N,0432042.43E,5501,24,NO INFO,,NO,,,,
LTCI_245,TREE,TREE,382843.87N,0432042.60E,5504,26,NO INFO,,NO,,,,
LTCI_246,TREE,TREE,382844.00N,0432042.59E,5499,22,NO INFO,,NO,,,,
LTCI_247,TREE,TREE,382843.95N,0432042.67E,5501,23,NO INFO,,NO,,,,
LTCI_248,TREE,TREE,382843.86N,0432041.99E,5510,32,NO INFO,,NO,,,,
LTCI_249,TREE,TREE,382843.82N,0432041.86E,5502,24,NO INFO,,NO,,,,
LTCI_250,TREE,TREE,382843.98N,0432041.99E,5507,30,NO INFO,,NO,,,,
LTCI_251,TREE,TREE,382843.93N,0432041.83E,5498,21,NO INFO,,NO,,,,
LTCI_252,TREE,TREE,382843.69N,0432042.12E,5498,20,NO INFO,,NO,,,,
LTCI_253,TREE,TREE,382843.57N,0432042.16E,5495,17,NO INFO,,NO,,,,
LTCI_254,TREE,TREE,382843.45N,0432041.98E,5494,15,NO INFO,,NO,,,,
LTCI_255,TREE,TREE,382844.14N,0432042.88E,5506,28,NO INFO,,NO,,,,
LTCI_256,TREE,TREE,382844.09N,0432042.86E,5504,26,NO INFO,,NO,,,,
