Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFH_309,TREE,TREE,411429.26N,0363515.96E,75,,NO,,NO,
LTFH_310,TREE,TREE,411429.19N,0363516.28E,77,,NO,,NO,
LTFH_311,TREE,TREE,411428.94N,0363516.64E,75,,NO,,NO,
LTFH_312,TREE,TREE,411428.75N,0363516.87E,76,,NO,,NO,
LTFH_313,TREE,TREE,411428.78N,0363517.37E,79,,NO,,NO,
LTFH_314,TREE,TREE,411429.12N,0363515.10E,76,,NO,,NO,
LTFH_315,TREE,TREE,411429.12N,0363514.81E,80,,NO,,NO,
LTFH_316,TREE,TREE,411429.07N,0363514.57E,79,,NO,,NO,
LTFH_317,TREE,TREE,411428.90N,0363513.99E,85,,NO,,NO,
LTFH_318,TREE,TREE,411429.84N,0363513.44E,87,,NO,,NO,
LTFH_319,TREE,TREE,411430.02N,0363513.38E,86,,NO,,NO,
LTFH_320,TREE,TREE,411429.71N,0363512.81E,88,,NO,,NO,
LTFH_321,TREE,TREE,411429.85N,0363512.49E,87,,NO,,NO,
LTFH_322,TREE,TREE,411430.01N,0363512.84E,87,,NO,,NO,
LTFH_323,TREE,TREE,411430.17N,0363513.11E,83,,NO,,NO,
LTFH_324,TREE,TREE,411429.75N,0363513.57E,85,,NO,,NO,
LTFH_325,TREE,TREE,411429.79N,0363514.28E,87,,NO,,NO,
LTFH_326,TREE,TREE,411429.84N,0363513.94E,86,,NO,,NO,
LTFH_327,TREE,TREE,411429.65N,0363514.43E,84,,NO,,NO,
LTFH_328,TREE,TREE,411429.38N,0363514.07E,78,,NO,,NO,
LTFH_329,TREE,TREE,411429.21N,0363513.74E,83,,NO,,NO,
LTFH_330,TREE,TREE,411429.42N,0363512.07E,86,,NO,,NO,
LTFH_331,TREE,TREE,411430.04N,0363511.23E,80,,NO,,NO,
LTFH_332,TREE,TREE,411429.99N,0363512.40E,85,,NO,,NO,
LTFH_333,TREE,TREE,411430.10N,0363514.42E,80,,NO,,NO,
LTFH_334,TREE,TREE,411430.27N,0363515.04E,85,,NO,,NO,
