Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAZ_123,HIGH VOLTAGE MAST,POLE,384821.937N,0343345.610E,3551.93,131.23,NO INFO,,NO
LTAZ_124,HIGH VOLTAGE MAST,POLE,384810.532N,0343419.655E,3608.88,131.23,NO INFO,,NO
LTAZ_125,HIGH VOLTAGE MAST,POLE,384809.610N,0343416.341E,3584.73,131.23,NO INFO,,NO
LTAZ_126,HIGH VOLTAGE MAST,POLE,384803.782N,0343429.569E,3569.67,131.23,NO INFO,,NO
LTAZ_127,HIGH VOLTAGE MAST,POLE,384805.296N,0343433.387E,3586.08,131.23,NO INFO,,NO
LTAZ_128,HIGH VOLTAGE MAST,POLE,384758.489N,0343442.641E,3436.41,131.23,NO INFO,,NO
LTAZ_129,HIGH VOLTAGE MAST,POLE,384743.994N,0343526.812E,3516.10,131.23,NO INFO,,NO
LTAZ_130,HIGH VOLTAGE MAST,POLE,384737.500N,0343532.781E,3496.25,131.23,NO INFO,,NO
LTAZ_131,HIGH VOLTAGE MAST,POLE,384732.111N,0343556.256E,3580.40,131.23,NO INFO,,NO
LTAZ_132,HIGH VOLTAGE MAST,POLE,384730.531N,0343555.694E,3558.81,131.23,NO INFO,,NO
LTAZ_133,HIGH VOLTAGE MAST,POLE,384728.760N,0343605.011E,3559.67,131.23,NO INFO,,NO
LTAZ_134,HIGH VOLTAGE MAST,POLE,384729.681N,0343610.298E,3562.36,131.23,NO INFO,,NO
LTAZ_135,HIGH VOLTAGE MAST,POLE,384726.321N,0343617.766E,3552.48,131.23,NO INFO,,NO
LTAZ_136,HIGH VOLTAGE MAST,POLE,384726.759N,0343626.564E,3570.92,131.23,NO INFO,,NO
LTAZ_137,HIGH VOLTAGE MAST,POLE,384724.231N,0343629.080E,3610.06,131.23,NO INFO,,NO
LTAZ_138,HIGH VOLTAGE MAST,POLE,384724.399N,0343639.890E,3608.88,131.23,NO INFO,,NO
LTAZ_139,HIGH VOLTAGE MAST,POLE,384722.275N,0343639.095E,3591.46,131.23,NO INFO,,NO
LTAZ_140,HIGH VOLTAGE MAST,POLE,384853.068N,0343226.916E,3460.46,131.23,NO INFO,,NO
LTAZ_141,HIGH VOLTAGE MAST,POLE,384857.338N,0343222.159E,3477.65,131.23,NO INFO,,NO
LTAZ_142,HIGH VOLTAGE MAST,POLE,384858.043N,0343214.873E,3477.65,131.23,NO INFO,,NO
LTAZ_143,HIGH VOLTAGE MAST,POLE,384903.073N,0343207.406E,3477.65,131.23,NO INFO,,NO
LTAZ_144,HIGH VOLTAGE MAST,POLE,384902.761N,0343202.773E,3461.24,131.23,NO INFO,,NO
LTAZ_145,HIGH VOLTAGE MAST,POLE,384907.352N,0343151.474E,3399.66,131.23,NO INFO,,NO
LTAZ_146,HIGH VOLTAGE MAST,POLE,384909.772N,0343150.458E,3402.25,131.23,NO INFO,,NO
LTAZ_147,HIGH VOLTAGE MAST,POLE,384910.041N,0343144.527E,3379.22,131.23,NO INFO,,NO
LTAZ_148,BUILDING,BUILDING,384756.106N,0343551.664E,3631.91,34.45,NO INFO,,NO
LTAZ_149,BUILDING,BUILDING,384754.683N,0343546.868E,3555.63,34.45,NO INFO,,NO
LTAZ_150,BUILDING,BUILDING,384752.897N,0343550.692E,3610.52,34.45,NO INFO,,NO
LTAZ_151,BUILDING,BUILDING,384752.148N,0343549.128E,3579.71,34.45,NO INFO,,NO
LTAZ_152,BUILDING,BUILDING,384753.152N,0343546.821E,3545.69,34.45,NO INFO,,NO
LTAZ_153,MINARET,BUILDING,384745.765N,0343547.981E,3542.58,42.65,NO INFO,,NO
LTAZ_154,BUILDING,BUILDING,384747.101N,0343541.921E,3479.45,34.45,NO INFO,,NO
LTAZ_155,BUILDING,BUILDING,384746.495N,0343548.540E,3570.89,63.98,NO INFO,,NO
LTAZ_156,BUILDING,BUILDING,384745.680N,0343543.801E,3501.73,34.45,NO INFO,,NO
LTAZ_157,BUILDING,BUILDING,384746.046N,0343549.219E,3540.08,34.45,NO INFO,,NO
LTAZ_158,BUILDING,BUILDING,384738.013N,0343545.426E,3424.66,24.61,NO INFO,,NO
LTAZ_159,HIGH VOLTAGE MAST,POLE,384919.083N,0343121.741E,3411.75,131.23,NO INFO,,NO
LTAZ_160,HIGH VOLTAGE MAST,POLE,384920.402N,0343123.609E,3412.03,131.23,NO INFO,,NO
LTAZ_161,HIGH VOLTAGE MAST,POLE,384914.522N,0343132.891E,3356.26,141.07,NO INFO,,NO
LTAZ_162,HIGH VOLTAGE MAST,POLE,384927.751N,0343104.825E,3420.66,141.07,NO INFO,,NO
LTAZ_163,HIGH VOLTAGE MAST,POLE,384925.450N,0343105.458E,3412.03,131.23,NO INFO,,NO
LTAZ_164,GSM MAST,POLE,384918.611N,0343244.548E,3578.30,164.04,NO INFO,,NO
LTAZ_165,GSM MAST,POLE,384919.092N,0343242.960E,3607.01,188.65,NO INFO,,NO
LTAZ_166,LOW VOLTAGE MAST,POLE,384910.921N,0343254.273E,3508.85,82.02,NO INFO,,NO
LTAZ_167,LOW VOLTAGE MAST,POLE,384909.168N,0343258.012E,3519.84,82.02,NO INFO,,NO
LTAZ_168,LOW VOLTAGE MAST,POLE,384907.276N,0343302.035E,3521.81,82.02,NO INFO,,NO
LTAZ_169,LOW VOLTAGE MAST,POLE,384905.428N,0343306.033E,3527.06,82.02,NO INFO,,NO
LTAZ_170,LOW VOLTAGE MAST,POLE,384903.597N,0343309.818E,3535.82,82.02,NO INFO,,NO
LTAZ_171,LOW VOLTAGE MAST,POLE,384901.818N,0343313.747E,3545.82,82.02,NO INFO,,NO
LTAZ_172,LOW VOLTAGE MAST,POLE,384859.902N,0343317.703E,3554.91,82.02,NO INFO,,NO
LTAZ_173,LOW VOLTAGE MAST,POLE,384857.929N,0343321.862E,3552.81,82.02,NO INFO,,NO
LTAZ_174,LOW VOLTAGE MAST,POLE,384856.142N,0343325.842E,3559.67,82.02,NO INFO,,NO
LTAZ_175,LOW VOLTAGE MAST,POLE,384854.511N,0343329.078E,3567.57,82.02,NO INFO,,NO
LTAZ_176,LOW VOLTAGE MAST,POLE,384853.094N,0343332.229E,3577.15,82.02,NO INFO,,NO
LTAZ_177,LOW VOLTAGE MAST,POLE,384850.393N,0343335.299E,3574.69,82.02,NO INFO,,NO
LTAZ_178,LOW VOLTAGE MAST,POLE,384847.712N,0343338.298E,3562.49,82.02,NO INFO,,NO
LTAZ_179,LOW VOLTAGE MAST,POLE,384845.650N,0343340.654E,3559.67,82.02,NO INFO,,NO
LTAZ_180,LOW VOLTAGE MAST,POLE,384843.060N,0343343.623E,3568.56,82.02,NO INFO,,NO
LTAZ_181,LOW VOLTAGE MAST,POLE,384824.762N,0343540.773E,3915.93,82.02,NO INFO,,NO
LTAZ_182,LOW VOLTAGE MAST,POLE,384822.649N,0343541.174E,3867.41,82.02,NO INFO,,NO
LTAZ_183,LOW VOLTAGE MAST,POLE,384820.891N,0343541.144E,3815.21,82.02,NO INFO,,NO
LTAZ_184,LOW VOLTAGE MAST,POLE,384819.852N,0343541.734E,3763.34,82.02,NO INFO,,NO
LTAZ_185,LOW VOLTAGE MAST,POLE,384817.045N,0343541.962E,3725.41,82.02,NO INFO,,NO
LTAZ_186,LOW VOLTAGE MAST,POLE,384816.113N,0343542.525E,3732.53,82.02,NO INFO,,NO
LTAZ_187,LOW VOLTAGE MAST,POLE,384815.179N,0343542.307E,3713.44,82.02,NO INFO,,NO
LTAZ_188,LOW VOLTAGE MAST,POLE,384812.079N,0343543.331E,3713.54,82.02,NO INFO,,NO
LTAZ_189,LOW VOLTAGE MAST,POLE,384811.959N,0343542.959E,3701.69,82.02,NO INFO,,NO
