Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCN139,MAST,POLE,373206.56N,0365634.27E,1653.03,33.78,YES,RED,NO
LTCN140,MAST,POLE,373206.81N,0365635.45E,1654.29,33.55,NO INFO,,NO
LTCN141,MAST,POLE,373207.06N,0365636.63E,1655.28,33.50,NO INFO,,NO
LTCN142,MAST,POLE,373207.31N,0365637.81E,1656.05,33.50,NO INFO,,NO
LTCN143,MAST,POLE,373207.56N,0365638.99E,1658.32,33.59,NO INFO,,NO
LTCN144,MAST,POLE,373207.81N,0365640.17E,1659.77,33.69,YES,RED,NO
LTCN145,MAST,POLE,373208.06N,0365641.35E,1661.31,33.99,NO INFO,,NO
LTCN146,MAST,POLE,373208.32N,0365642.53E,1662.92,34.05,NO INFO,,NO
LTCN147,MAST,POLE,373208.57N,0365643.71E,1664.24,34.15,NO INFO,,NO
LTCN148,MAST,POLE,373208.82N,0365644.89E,1665.91,34.25,NO INFO,,NO
LTCN149,SURVEILLANCE TWR,TOWER,373209.08N,0365645.43E,1657.93,23.09,YES,RED,NO
LTCN150,MAST,POLE,373209.07N,0365646.07E,1667.72,34.22,NO INFO,,NO
LTCN151,MAST,POLE,373209.32N,0365647.25E,1668.89,33.69,NO INFO,,NO
LTCN152,MAST,POLE,373209.57N,0365648.43E,1670.82,34.01,YES,RED,NO
LTCN153,MAST,POLE,373209.82N,0365649.61E,1672.27,33.95,NO INFO,,NO
LTCN154,MAST,POLE,373210.07N,0365650.79E,1673.61,33.85,NO INFO,,NO
LTCN155,MAST,POLE,373210.32N,0365651.97E,1675.21,33.90,NO INFO,,NO
LTCN156,MAST,POLE,373210.57N,0365653.15E,1677.03,34.15,NO INFO,,NO
LTCN157,MAST,POLE,373210.82N,0365654.33E,1678.70,34.05,YES,RED,NO
LTCN158,MAST,POLE,373211.07N,0365655.52E,1680.48,34.02,NO INFO,,NO
LTCN159,MAST,POLE,373211.32N,0365656.70E,1681.78,33.69,NO INFO,,NO
LTCN160,MAST,POLE,373211.57N,0365657.88E,1683.16,33.59,NO INFO,,NO
LTCN161,MAST,POLE,373211.82N,0365659.06E,1684.64,33.69,YES,RED,NO
LTCN162,MAST,POLE,373212.07N,0365700.24E,1685.75,33.66,NO INFO,,NO
LTCN163,MAST,POLE,373212.32N,0365701.42E,1686.74,33.59,NO INFO,,NO
LTCN164,MAST,POLE,373212.26N,0365702.63E,1688.54,33.55,NO INFO,,NO
LTCN165,MAST,POLE,373211.91N,0365704.46E,1690.22,33.26,NO INFO,,NO
LTCN166,SURVEILLANCE TWR,TOWER,373212.07N,0365704.44E,1681.53,22.80,YES,RED,NO
LTCN167,MAST,POLE,373212.25N,0365705.03E,1691.37,34.15,NO INFO,,NO
LTCN168,MAST,POLE,373212.73N,0365706.10E,1692.26,34.05,NO INFO,,NO
LTCN169,MAST,POLE,373213.13N,0365707.21E,1694.19,34.02,NO INFO,,NO
LTCN170,MAST,POLE,373213.52N,0365708.33E,1695.46,33.92,NO INFO,,NO
LTCN171,MAST,POLE,373213.82N,0365709.49E,1696.38,33.59,NO INFO,,NO
LTCN172,MAST,POLE,373214.12N,0365710.65E,1697.40,33.72,YES,RED,NO
LTCN173,MAST,POLE,373214.40N,0365711.82E,1698.90,33.69,NO INFO,,NO
LTCN174,MAST,POLE,373214.69N,0365712.99E,1700.10,33.85,NO INFO,,NO
LTCN175,MAST,POLE,373214.97N,0365714.16E,1701.28,33.69,NO INFO,,NO
LTCN176,MAST,POLE,373215.25N,0365715.33E,1703.21,33.66,NO INFO,,NO
LTCN177,SURVEILLANCE TWR,TOWER,373215.36N,0365715.86E,1694.32,22.60,YES,RED,NO
LTCN178,MAST,POLE,373215.53N,0365716.48E,1704.39,34.02,NO INFO,,NO
LTCN179,MAST,POLE,373215.78N,0365717.66E,1705.54,33.96,NO INFO,,NO
LTCN180,MAST,POLE,373216.03N,0365718.84E,1706.84,33.75,NO INFO,,NO
LTCN181,MAST,POLE,373216.28N,0365720.02E,1708.04,33.50,NO INFO,,NO
LTCN182,MAST,POLE,373216.53N,0365721.21E,1709.22,33.47,YES,RED,NO
LTCN183,MAST,POLE,373216.77N,0365722.39E,1710.73,33.47,NO INFO,,NO
LTCN184,MAST,POLE,373217.02N,0365723.57E,1712.04,33.44,NO INFO,,NO
LTCN185,MAST,POLE,373217.27N,0365724.75E,1713.41,33.59,NO INFO,,NO
LTCN186,MAST,POLE,373217.52N,0365725.93E,1714.77,33.92,NO INFO,,NO
LTCN187,MAST,POLE,373217.77N,0365727.11E,1716.26,33.85,YES,RED,NO
LTCN188,MAST,POLE,373218.02N,0365728.29E,1717.41,33.88,NO INFO,,NO
LTCN189,MAST,POLE,373218.27N,0365729.47E,1719.34,34.12,NO INFO,,NO
LTCN190,MAST,POLE,373218.52N,0365730.65E,1720.47,34.25,NO INFO,,NO
LTCN191,MAST,POLE,373218.77N,0365731.84E,1722.08,34.09,NO INFO,,NO
LTCN192,SURVEILLANCE TWR,TOWER,373219.89N,0365732.41E,1712.86,23.33,YES,RED,NO
LTCN193,MAST,POLE,373219.02N,0365733.02E,1723.81,34.31,NO INFO,,NO
LTCN194,MAST,POLE,373219.27N,0365734.20E,1725.29,34.25,NO INFO,,NO
LTCN195,MAST,POLE,373219.52N,0365735.38E,1726.14,33.92,NO INFO,,NO
LTCN196,MAST,POLE,373219.77N,0365736.56E,1727.46,34.02,NO INFO,,NO
LTCN197,MAST,POLE,373220.02N,0365737.74E,1729.00,34.09,YES,RED,NO
LTCN198,MAST,POLE,373220.26N,0365738.92E,1730.25,33.92,NO INFO,,NO
LTCN199,MAST,POLE,373220.51N,0365740.10E,1731.33,33.89,NO INFO,,NO
LTCN200,MAST,POLE,373220.76N,0365741.28E,1732.61,33.69,NO INFO,,NO
LTCN201,MAST,POLE,373221.01N,0365742.47E,1733.78,33.65,NO INFO,,NO
LTCN202,MAST,POLE,373221.26N,0365743.65E,1735.30,34.02,YES,RED,NO
LTCN203,MAST,POLE,373221.51N,0365744.83E,1736.61,33.92,NO INFO,,NO
LTCN204,MAST,POLE,373221.76N,0365746.01E,1738.12,33.95,NO INFO,,NO
LTCN205,MAST,POLE,373222.01N,0365747.19E,1739.83,34.15,NO INFO,,NO
LTCN206,MAST,POLE,373222.26N,0365748.37E,1741.08,34.12,NO INFO,,NO
LTCN207,SURVEILLANCE TWR,TOWER,373222.00N,0365749.81E,1736.71,23.26,YES,RED,NO
LTCN208,BUILDING,BUILDING,373221.97N,0365749.22E,1738.25,25.26,NO INFO,,NO
LTCN209,MAST,POLE,373221.42N,0365749.84E,1745.71,33.46,NO INFO,,NO
LTCN210,MAST,POLE,373221.58N,0365750.52E,1742.28,29.53,NO INFO,,NO
LTCN211,MAST,POLE,373221.75N,0365751.19E,1743.44,29.99,NO INFO,,NO
LTCN212,MAST,POLE,373221.86N,0365751.89E,1742.21,29.20,NO INFO,,NO
LTCN213,MAST,POLE,373221.28N,0365752.11E,1742.43,29.76,NO INFO,,NO
LTCN214,MAST,POLE,373220.80N,0365750.05E,1746.25,33.23,NO INFO,,NO
LTCN215,MAST,POLE,373221.64N,0365756.92E,1749.69,28.74,NO INFO,,NO
LTCN216,TWR,TOWER,373221.64N,0365756.39E,1783.07,61.29,YES,OTHER,NO
LTCN217,MAST,POLE,373222.94N,0365806.00E,1764.37,34.15,NO INFO,,NO
LTCN218,MAST,POLE,373223.87N,0365805.66E,1764.46,34.12,NO INFO,,NO
LTCN219,MAST,POLE,373224.26N,0365805.13E,1758.27,30.22,NO INFO,,NO
LTCN220,MAST,POLE,373223.75N,0365804.44E,1756.69,29.66,NO INFO,,NO
LTCN221,MAST,POLE,373223.24N,0365803.76E,1755.97,30.05,NO INFO,,NO
LTCN222,MAST,POLE,373222.77N,0365803.15E,1754.27,29.23,NO INFO,,NO
LTCN223,MAST,POLE,373223.47N,0365800.32E,1771.29,47.64,YES,RED,NO
LTCN224,BUILDING,BUILDING,373223.22N,0365759.38E,1748.16,24.34,NO INFO,,NO
LTCN225,MAST,POLE,373223.05N,0365758.34E,1770.24,47.77,YES,RED,NO
LTCN226,SURVEILLANCE TWR ,TOWER,373225.00N,0365804.52E,1751.38,23.10,YES,RED,NO
LTCN227,MAST,POLE,373220.58N,0365759.44E,1786.16,66.21,YES,RED,NO
LTCN228,MAST,POLE,373220.86N,0365800.78E,1789.24,66.12,YES,RED,NO
LTCN229,MAST,POLE,373219.41N,0365734.93E,1727.11,32.81,YES,RED,NO
LTCN230,MAST,POLE,373207.93N,0365640.94E,1656.80,32.81,YES,RED,NO
LTCN231,RVR,POLE,373220.20N,0365734.80E,1704.80,10.50,NO INFO,,NO
LTCN232,RVR,POLE,373219.86N,0365733.58E,1703.40,10.50,NO INFO,,NO
LTCN233,RVR,POLE,373208.66N,0365640.70E,1634.49,10.50,NO INFO,,NO
LTCN234,RVR,POLE,373208.40N,0365639.55E,1633.36,10.50,NO INFO,,NO
LTCN235,WDI,POLE,373219.84N,0365739.53E,1716.00,23.46,YES,RED,NO
LTCN236,BUILDING,BUILDING,373527.26N,0365628.07E,2266.97,14.76,NO INFO,,NO
LTCN237,BUILDING,BUILDING,373506.90N,0365650.47E,2178.05,14.76,NO INFO,,NO
LTCN238,BUILDING,BUILDING,373507.38N,0365649.68E,2166.98,14.76,NO INFO,,NO
LTCN239,BUILDING,BUILDING,373418.38N,0365624.82E,1835.20,14.76,NO INFO,,NO
LTCN240,BUILDING,BUILDING,373433.30N,0365733.78E,1840.45,14.76,NO INFO,,NO
LTCN241,BUILDING,BUILDING,373432.88N,0365733.70E,1849.22,24.61,NO INFO,,NO
