Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,
LTCA_55,BUILDING,BUILDING,383819.41N,0391528.90E,3193,34,NO INFO,,NO,,,,,,,,
LTCA_56,BUILDING,BUILDING,383823.00N,0391531.69E,3256,84,NO INFO,,NO,,,,,,,,
LTCA_57,BUILDING,BUILDING,383822.17N,0391532.16E,3199,25,NO INFO,,NO,,,,,,,,
LTCA_58,BUILDING,BUILDING,383823.94N,0391531.69E,3236,64,NO INFO,,NO,,,,,,,,
LTCA_59,BUILDING,BUILDING,383823.95N,0391531.95E,3236,64,NO INFO,,NO,,,,,,,,
LTCA_60,MOSQUE,BUILDING,383822.26N,0391512.36E,3258,89,NO INFO,,NO,,,,,,,,
LTCA_61,BUILDING,BUILDING,383824.48N,0391614.87E,3285,34,NO INFO,,NO,,,,,,,,
LTCA_62,BUILDING,BUILDING,383825.56N,0391512.87E,3270,15,NO INFO,,NO,,,,,,,,
LTCA_63,BUILDING,BUILDING,383825.32N,0391512.16E,3281,44,NO INFO,,NO,,,,,,,,
LTCA_64,BUILDING,BUILDING,383821.34N,0391341.96E,3380,34,NO INFO,,NO,,,,,,,,
LTCA_65,BUILDING,BUILDING,383822.99N,0391342.81E,3380,34,NO INFO,,NO,,,,,,,,
LTCA_66,BUILDING,BUILDING,383822.50N,0391342.79E,3361,15,NO INFO,,NO,,,,,,,,
LTCA_67,BUILDING,BUILDING,383825.10N,0391341.28E,3370,25,NO INFO,,NO,,,,,,,,
LTCA_68,GREEN HOUSE,BUILDING,383818.87N,0391352.11E,3321,15,NO INFO,,NO,,,,,,,,
LTCA_69,BUILDING,BUILDING,383816.82N,0391414.71E,3275,44,NO INFO,,NO,,,,,,,,
LTCA_70,BUILDING,BUILDING,383819.36N,0391407.77E,3288,34,NO INFO,,NO,,,,,,,,
LTCA_71,BUILDING,BUILDING,383817.46N,0391909.00E,3141,25,NO INFO,,NO,,,,,,,,
LTCA_72,BUILDING,BUILDING,383817.57N,0391909.23E,3130,15,NO INFO,,NO,,,,,,,,
LTCA_73,BUILDING,BUILDING,383817.29N,0391909.90E,3127,15,NO INFO,,NO,,,,,,,,
LTCA_74,BUILDING,BUILDING,383817.19N,0391911.17E,3121,15,NO INFO,,NO,,,,,,,,
LTCA_75,BUILDING,BUILDING,383816.45N,0391911.32E,3121,15,NO INFO,,NO,,,,,,,,
LTCA_76,HIGH VOLTAGE MAST,POLE,383825.29N,0391820.58E,3518,131,NO INFO,,NO,,,,,,,,
LTCA_77,HIGH VOLTAGE MAST,POLE,383818.03N,0391758.22E,3641,131,NO INFO,,NO,,,,,,,,
LTCA_78,HIGH VOLTAGE MAST,POLE,383822.41N,0391811.94E,3576,131,NO INFO,,NO,,,,,,,,
LTCA_79,LOW VOLTAGE MAST,POLE,383816.66N,0391550.50E,3287,66,NO INFO,,NO,,,,,,,,
LTCA_80,MEDIUM VOLTAGE MAST,POLE,383816.40N,0391550.95E,3320,98,NO INFO,,NO,,,,,,,,
LTCA_81,MEDIUM VOLTAGE MAST,POLE,383818.62N,0391549.34E,3343,98,NO INFO,,NO,,,,,,,,
LTCA_82,LOW VOLTAGE MAST,POLE,383817.59N,0391552.11E,3307,66,NO INFO,,NO,,,,,,,,
LTCA_83,MEDIUM VOLTAGE MAST,POLE,383820.65N,0391551.64E,3346,98,NO INFO,,NO,,,,,,,,
LTCA_84,MEDIUM VOLTAGE MAST,POLE,383821.40N,0391552.84E,3353,98,NO INFO,,NO,,,,,,,,
LTCA_85,LOW VOLTAGE MAST,POLE,383821.49N,0391553.43E,3328,66,NO INFO,,NO,,,,,,,,
LTCA_86,MEDIUM VOLTAGE MAST,POLE,383821.70N,0391554.53E,3377,98,NO INFO,,NO,,,,,,,,
LTCA_87,MEDIUM VOLTAGE MAST,POLE,383819.49N,0391551.29E,3346,98,NO INFO,,NO,,,,,,,,
LTCA_88,HIGH VOLTAGE MAST,POLE,383823.55N,0391556.97E,3444,131,NO INFO,,NO,,,,,,,,
LTCA_89,MEDIUM VOLTAGE MAST,POLE,383826.48N,0391552.09E,3330,98,NO INFO,,NO,,,,,,,,
LTCA_90,LOW VOLTAGE MAST,POLE,383823.06N,0391553.51E,3324,66,NO INFO,,NO,,,,,,,,
LTCA_91,LOW VOLTAGE MAST,POLE,383823.15N,0391551.20E,3302,66,NO INFO,,NO,,,,,,,,
LTCA_92,MEDIUM VOLTAGE MAST,POLE,383825.54N,0391840.39E,3405,98,NO INFO,,NO,,,,,,,,
LTCA_93,LOW VOLTAGE MAST,POLE,383822.64N,0391847.07E,3310,66,NO INFO,,NO,,,,,,,,
LTCA_94,BUILDING,BUILDING,383807.50N,0391534.10E,3211,29,NO INFO,,NO,,,,,,,,
LTCA_95,BUILDING,BUILDING,383807.30N,0391531.50E,3176,27,NO INFO,,NO,,,,,,,,
LTCA_96,MAST,POLE,383807.90N,0391532.70E,3185,26,NO INFO,,NO,,,,,,,,
LTCA_97,BUILDING,BUILDING,383808.90N,0391549.50E,3197,30,NO INFO,,NO,,,,,,,,
LTCA_98,BUILDING,BUILDING,383808.15N,0391413.70E,3282,34,NO INFO,,NO,,,,,,,,
LTCA_99,BUILDING,BUILDING,383810.58N,0391401.93E,3342,34,NO INFO,,NO,,,,,,,,
LTCA_100,BUILDING,BUILDING,383810.25N,0391422.84E,3225,15,NO INFO,,NO,,,,,,,,
LTCA_101,BUILDING,BUILDING,383811.55N,0391422.88E,3240,34,NO INFO,,NO,,,,,,,,
LTCA_102,BUILDING,BUILDING,383812.99N,0391422.73E,3249,44,NO INFO,,NO,,,,,,,,
LTCA_103,BUILDING,BUILDING,383809.24N,0391425.75E,3238,34,NO INFO,,NO,,,,,,,,
LTCA_104,BUILDING,BUILDING,383807.99N,0391526.94E,3134,25,NO INFO,,NO,,,,,,,,
LTCA_105,BUILDING,BUILDING,383806.19N,0391534.70E,3205,39,NO INFO,,NO,,,,,,,,
LTCA_106,BUILDING,BUILDING,383809.07N,0391554.33E,3175,34,NO INFO,,NO,,,,,,,,
LTCA_107,BUILDING,BUILDING,383807.00N,0391602.18E,3176,34,NO INFO,,NO,,,,,,,,
LTCA_108,BUILDING,BUILDING,383807.26N,0391602.27E,3187,44,NO INFO,,NO,,,,,,,,
LTCA_109,BUILDING,BUILDING,383806.36N,0391611.28E,3180,34,NO INFO,,NO,,,,,,,,
LTCA_110,BUILDING,BUILDING,383809.74N,0391539.27E,3192,34,NO INFO,,NO,,,,,,,,
LTCA_111,BUILDING,BUILDING,383808.51N,0391541.63E,3186,34,NO INFO,,NO,,,,,,,,
LTCA_112,BUILDING,BUILDING,383806.80N,0391445.99E,3173,25,NO INFO,,NO,,,,,,,,
LTCA_113,BUILDING,BUILDING,383810.50N,0391554.78E,3184,34,NO INFO,,NO,,,,,,,,
LTCA_114,BUILDING,BUILDING,383808.50N,0391914.35E,3097,15,NO INFO,,NO,,,,,,,,
LTCA_115,BUILDING,BUILDING,383805.81N,0391916.54E,3087,15,NO INFO,,NO,,,,,,,,
LTCA_116,BUILDING,BUILDING,383805.51N,0391915.07E,3098,15,NO INFO,,NO,,,,,,,,
LTCA_117,HIGH VOLTAGE MAST,POLE,383808.97N,0391730.33E,3632,131,NO INFO,,NO,,,,,,,,
LTCA_118,HIGH VOLTAGE MAST,POLE,383810.97N,0391736.74E,3641,131,NO INFO,,NO,,,,,,,,
LTCA_119,HIGH VOLTAGE MAST,POLE,383814.59N,0391747.69E,3641,131,NO INFO,,NO,,,,,,,,
LTCA_120,HIGH VOLTAGE MAST,POLE,383807.67N,0391722.29E,3608,131,NO INFO,,NO,,,,,,,,
LTCA_121,HIGH VOLTAGE MAST,POLE,383806.09N,0391711.95E,3608,131,NO INFO,,NO,,,,,,,,
LTCA_122,MEDIUM VOLTAGE MAST,POLE,383806.43N,0391556.92E,3226,98,NO INFO,,NO,,,,,,,,
LTCA_123,HIGH VOLTAGE MAST,POLE,383806.57N,0391555.18E,3256,131,NO INFO,,NO,,,,,,,,
LTCA_124,LOW VOLTAGE MAST,POLE,383816.27N,0391550.39E,3282,66,NO INFO,,NO,,,,,,,,
LTCA_125,LOW VOLTAGE MAST,POLE,383816.16N,0391550.06E,3280,66,NO INFO,,NO,,,,,,,,
LTCA_126,HIGH VOLTAGE MAST,POLE,383812.60N,0391402.14E,3444,131,NO INFO,,NO,,,,,,,,
LTCA_127,HIGH VOLTAGE MAST,POLE,383806.14N,0391433.32E,3324,131,NO INFO,,NO,,,,,,,,
LTCA_128,HIGH VOLTAGE MAST,POLE,383806.96N,0391419.83E,3357,131,NO INFO,,NO,,,,,,,,
LTCA_129,HIGH VOLTAGE MAST,POLE,383812.52N,0391413.53E,3398,131,NO INFO,,NO,,,,,,,,
LTCA_130,HIGH VOLTAGE MAST,POLE,383812.10N,0391436.88E,3298,131,NO INFO,,NO,,,,,,,,
LTCA_131,MEDIUM VOLTAGE MAST,POLE,383805.94N,0391556.09E,3221,98,NO INFO,,NO,,,,,,,,
LTCA_132,MAST,POLE,383802.90N,0391531.20E,3199,91,NO INFO,,NO,,,,,,,,
LTCA_133,MAST,POLE,383801.40N,0391552.90E,3227,126,NO INFO,,NO,,,,,,,,
LTCA_134,MAST,POLE,383800.30N,0391636.10E,3323,119,NO INFO,,NO,,,,,,,,
LTCA_135,BUILDING,BUILDING,383805.20N,0391534.70E,3174,28,NO INFO,,NO,,,,,,,,
LTCA_136,MAST,POLE,383804.00N,0391534.00E,3166,39,NO INFO,,NO,,,,,,,,
LTCA_137,MAST,POLE,383804.80N,0391533.10E,3171,26,NO INFO,,NO,,,,,,,,
LTCA_138,BUILDING,BUILDING,383805.90N,0391529.50E,3160,32,NO INFO,,NO,,,,,,,,
LTCA_139,BUILDING,BUILDING,383759.80N,0391548.30E,3167,72,YES,RED,NO,,,,,,,,
LTCA_140,BUILDING,BUILDING,383800.50N,0391523.00E,3144,75,NO INFO,,NO,,,,,,,,
LTCA_141,MAST,POLE,383758.00N,0391553.00E,3189,98,NO INFO,,NO,,,,,,,,
LTCA_142,MAST,POLE,383758.00N,0391601.00E,3202,98,NO INFO,,NO,,,,,,,,
LTCA_143,BUILDING,BUILDING,383755.23N,0391914.61E,3060,15,NO INFO,,NO,,,,,,,,
LTCA_144,MOSQUE,BUILDING,383759.45N,0391928.69E,3110,98,NO INFO,,NO,,,,,,,,
LTCA_145,BUILDING,BUILDING,383804.30N,0391439.44E,3187,15,NO INFO,,NO,,,,,,,,
LTCA_146,BUILDING,BUILDING,383756.03N,0391457.12E,3154,34,NO INFO,,NO,,,,,,,,
LTCA_147,BUILDING,BUILDING,383758.87N,0391458.65E,3150,34,NO INFO,,NO,,,,,,,,
LTCA_148,BUILDING,BUILDING,383803.95N,0391456.83E,3157,25,NO INFO,,NO,,,,,,,,
LTCA_149,BUILDING,BUILDING,383803.58N,0391456.84E,3157,25,NO INFO,,NO,,,,,,,,
LTCA_150,BUILDING,BUILDING,383802.91N,0391456.35E,3151,15,NO INFO,,NO,,,,,,,,
