Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ40,BUILDING,BUILDING,381806.146N,0270745.141E,653.64,9.84,NO INFO,,NO
LTBJ41,BUILDING,BUILDING,381808.065N,0270755.676E,566.30,10.03,NO INFO,,NO
LTBJ42,BUILDING,BUILDING,381803.553N,0270732.328E,658.99,9.84,NO INFO,,NO
LTBJ43,BUILDING,BUILDING,381805.973N,0270746.086E,645.98,9.84,NO INFO,,NO
LTBJ44,BUILDING,BUILDING,381811.342N,0270747.996E,624.65,9.84,NO INFO,,NO
LTBJ45,BUILDING,BUILDING,381811.037N,0270746.110E,648.62,9.84,NO INFO,,NO
LTBJ46,BUILDING,BUILDING,381811.316N,0270746.951E,633.19,9.84,NO INFO,,NO
LTBJ47,BUILDING,BUILDING,381806.172N,0270749.029E,621.86,9.84,NO INFO,,NO
LTBJ48,BUILDING,BUILDING,381805.800N,0270747.057E,638.60,9.84,NO INFO,,NO
LTBJ49,BUILDING,BUILDING,381806.236N,0270749.681E,618.55,9.84,NO INFO,,NO
LTBJ50,BUILDING,BUILDING,381805.281N,0270745.061E,665.56,9.84,NO INFO,,NO
LTBJ51,BUILDING,BUILDING,381803.817N,0270737.722E,652.66,9.84,NO INFO,,NO
LTBJ52,BUILDING,BUILDING,381805.531N,0270747.043E,643.67,9.84,NO INFO,,NO
LTBJ53,BUILDING,BUILDING,381805.841N,0270749.547E,627.44,9.84,NO INFO,,NO
LTBJ54,BUILDING,BUILDING,381805.156N,0270745.934E,654.45,9.84,NO INFO,,NO
LTBJ55,BUILDING,BUILDING,381805.846N,0270750.097E,622.80,9.84,NO INFO,,NO
LTBJ56,BUILDING,BUILDING,381812.095N,0270747.228E,638.40,9.84,NO INFO,,NO
LTBJ57,BUILDING,BUILDING,381804.656N,0270744.921E,666.00,9.84,NO INFO,,NO
LTBJ58,BUILDING,BUILDING,381813.004N,0270751.349E,607.54,9.12,NO INFO,,NO
LTBJ59,BUILDING,BUILDING,381812.578N,0270748.970E,616.64,9.84,NO INFO,,NO
LTBJ60,BUILDING,BUILDING,381804.914N,0270747.558E,638.48,9.84,NO INFO,,NO
